date,attention
2016-10-01,5.0
2016-10-02,3.0
2016-10-03,13.0
2016-10-04,17.0
2016-10-05,14.0
2016-10-06,16.0
2016-10-07,12.0
2016-10-08,3.0
2016-10-09,2.0
2016-10-10,17.0
2016-10-11,27.0
2016-10-12,21.0
2016-10-13,20.0
2016-10-14,17.0
2016-10-15,4.0
2016-10-16,3.0
2016-10-17,15.0
2016-10-18,17.0
2016-10-19,14.0
2016-10-20,14.0
2016-10-21,16.0
2016-10-22,4.0
2016-10-23,4.0
2016-10-24,17.0
2016-10-25,43.0
2016-10-26,48.0
2016-10-27,29.0
2016-10-28,20.0
2016-10-29,5.0
2016-10-30,4.0
2016-10-31,16.0
2016-11-01,17.0
2016-11-02,15.0
2016-11-03,17.0
2016-11-04,15.0
2016-11-05,3.0
2016-11-06,2.0
2016-11-07,14.0
2016-11-08,16.0
2016-11-09,31.0
2016-11-10,24.0
2016-11-11,16.0
2016-11-12,5.0
2016-11-13,2.0
2016-11-14,18.0
2016-11-15,18.0
2016-11-16,18.0
2016-11-17,15.0
2016-11-18,14.0
2016-11-19,3.0
2016-11-20,4.0
2016-11-21,13.0
2016-11-22,14.0
2016-11-23,13.0
2016-11-24,4.0
2016-11-25,8.0
2016-11-26,3.0
2016-11-27,2.0
2016-11-28,11.0
2016-11-29,11.0
2016-11-30,12.0
2016-12-01,11.0
2016-12-02,12.0
2016-12-03,3.0
2016-12-04,2.0
2016-12-05,11.0
2016-12-06,12.0
2016-12-07,12.0
2016-12-08,13.0
2016-12-09,13.0
2016-12-10,5.0
2016-12-11,3.0
2016-12-12,13.0
2016-12-13,15.0
2016-12-14,14.0
2016-12-15,13.0
2016-12-16,12.0
2016-12-17,3.0
2016-12-18,3.0
2016-12-19,14.0
2016-12-20,12.0
2016-12-21,15.0
2016-12-22,13.0
2016-12-23,10.0
2016-12-24,3.0
2016-12-25,2.0
2016-12-26,4.0
2016-12-27,11.0
2016-12-28,11.0
2016-12-29,11.0
2016-12-30,10.0
2016-12-31,3.0
2017-01-01,2.0
2017-01-02,5.0
2017-01-03,11.0
2017-01-04,10.0
2017-01-05,13.0
2017-01-06,15.0
2017-01-07,4.0
2017-01-08,2.0
2017-01-09,14.0
2017-01-10,13.0
2017-01-11,15.0
2017-01-12,14.0
2017-01-13,13.0
2017-01-14,2.0
2017-01-15,2.0
2017-01-16,5.0
2017-01-17,12.0
2017-01-18,15.0
2017-01-19,12.0
2017-01-20,11.0
2017-01-21,2.0
2017-01-22,3.0
2017-01-23,14.0
2017-01-24,13.0
2017-01-25,18.0
2017-01-26,15.0
2017-01-27,15.0
2017-01-28,7.0
2017-01-29,3.0
2017-01-30,19.0
2017-01-31,50.0
2017-02-01,64.0
2017-02-02,28.0
2017-02-03,20.0
2017-02-04,6.0
2017-02-05,3.0
2017-02-06,16.0
2017-02-07,19.0
2017-02-08,18.0
2017-02-09,16.0
2017-02-10,16.0
2017-02-11,5.0
2017-02-12,4.0
2017-02-13,21.0
2017-02-14,25.0
2017-02-15,27.0
2017-02-16,21.0
2017-02-17,15.0
2017-02-18,4.0
2017-02-19,3.0
2017-02-20,6.0
2017-02-21,19.0
2017-02-22,15.0
2017-02-23,17.0
2017-02-24,16.0
2017-02-25,6.0
2017-02-26,3.0
2017-02-27,17.0
2017-02-28,17.0
2017-03-01,19.0
2017-03-02,18.0
2017-03-03,15.0
2017-03-04,6.0
2017-03-05,3.0
2017-03-06,15.0
2017-03-07,15.0
2017-03-08,13.0
2017-03-09,13.0
2017-03-10,13.0
2017-03-11,4.0
2017-03-12,1.0
2017-03-13,13.0
2017-03-14,13.0
2017-03-15,14.0
2017-03-16,15.0
2017-03-17,15.0
2017-03-18,3.0
2017-03-19,3.0
2017-03-20,15.0
2017-03-21,20.0
2017-03-22,18.0
2017-03-23,15.0
2017-03-24,15.0
2017-03-25,6.0
2017-03-26,2.0
2017-03-27,16.0
2017-03-28,19.0
2017-03-29,17.0
2017-03-30,13.0
2017-03-31,15.0
2017-04-01,4.0
2017-04-02,3.0
2017-04-03,16.0
2017-04-04,11.0
2017-04-05,16.0
2017-04-06,15.0
2017-04-07,13.0
2017-04-08,2.0
2017-04-09,1.0
2017-04-10,11.0
2017-04-11,13.0
2017-04-12,11.0
2017-04-13,14.0
2017-04-14,6.0
2017-04-15,3.0
2017-04-16,1.0
2017-04-17,10.0
2017-04-18,13.0
2017-04-19,13.0
2017-04-20,12.0
2017-04-21,10.0
2017-04-22,3.0
2017-04-23,3.0
2017-04-24,16.0
2017-04-25,18.0
2017-04-26,14.0
2017-04-27,16.0
2017-04-28,14.0
2017-04-29,3.0
2017-04-30,2.0
2017-05-01,23.0
2017-05-02,57.0
2017-05-03,40.0
2017-05-04,21.0
2017-05-05,20.0
2017-05-06,5.0
2017-05-07,4.0
2017-05-08,24.0
2017-05-09,24.0
2017-05-10,21.0
2017-05-11,20.0
2017-05-12,20.0
2017-05-13,5.0
2017-05-14,4.0
2017-05-15,20.0
2017-05-16,19.0
2017-05-17,21.0
2017-05-18,21.0
2017-05-19,18.0
2017-05-20,5.0
2017-05-21,3.0
2017-05-22,15.0
2017-05-23,15.0
