date,attention
2016-10-01,20.0
2016-10-02,17.0
2016-10-03,42.0
2016-10-04,34.0
2016-10-05,41.0
2016-10-06,42.0
2016-10-07,29.0
2016-10-08,17.0
2016-10-09,22.0
2016-10-10,28.0
2016-10-11,39.0
2016-10-12,36.0
2016-10-13,34.0
2016-10-14,31.0
2016-10-15,25.0
2016-10-16,21.0
2016-10-17,30.0
2016-10-18,46.0
2016-10-19,47.0
2016-10-20,48.0
2016-10-21,36.0
2016-10-22,18.0
2016-10-23,17.0
2016-10-24,41.0
2016-10-25,45.0
2016-10-26,40.0
2016-10-27,34.0
2016-10-28,41.0
2016-10-29,17.0
2016-10-30,15.0
2016-10-31,36.0
2016-11-01,38.0
2016-11-02,37.0
2016-11-03,43.0
2016-11-04,45.0
2016-11-05,26.0
2016-11-06,18.0
2016-11-07,36.0
2016-11-08,50.0
2016-11-09,43.0
2016-11-10,38.0
2016-11-11,38.0
2016-11-12,20.0
2016-11-13,23.0
2016-11-14,50.0
2016-11-15,61.0
2016-11-16,48.0
2016-11-17,42.0
2016-11-18,47.0
2016-11-19,21.0
2016-11-20,26.0
2016-11-21,44.0
2016-11-22,43.0
2016-11-23,35.0
2016-11-24,39.0
2016-11-25,37.0
2016-11-26,30.0
2016-11-27,21.0
2016-11-28,39.0
2016-11-29,45.0
2016-11-30,45.0
2016-12-01,45.0
2016-12-02,38.0
2016-12-03,17.0
2016-12-04,24.0
2016-12-05,39.0
2016-12-06,37.0
2016-12-07,42.0
2016-12-08,45.0
2016-12-09,35.0
2016-12-10,17.0
2016-12-11,15.0
2016-12-12,34.0
2016-12-13,38.0
2016-12-14,39.0
2016-12-15,38.0
2016-12-16,32.0
2016-12-17,22.0
2016-12-18,22.0
2016-12-19,33.0
2016-12-20,44.0
2016-12-21,39.0
2016-12-22,38.0
2016-12-23,30.0
2016-12-24,18.0
2016-12-25,15.0
2016-12-26,25.0
2016-12-27,38.0
2016-12-28,34.0
2016-12-29,32.0
2016-12-30,26.0
2016-12-31,19.0
2017-01-01,17.0
2017-01-02,24.0
2017-01-03,47.0
2017-01-04,48.0
2017-01-05,36.0
2017-01-06,41.0
2017-01-07,24.0
2017-01-08,17.0
2017-01-09,40.0
2017-01-10,44.0
2017-01-11,44.0
2017-01-12,34.0
2017-01-13,39.0
2017-01-14,24.0
2017-01-15,22.0
2017-01-16,36.0
2017-01-17,41.0
2017-01-18,41.0
2017-01-19,37.0
2017-01-20,40.0
2017-01-21,18.0
2017-01-22,24.0
2017-01-23,42.0
2017-01-24,48.0
2017-01-25,46.0
2017-01-26,45.0
2017-01-27,37.0
2017-01-28,23.0
2017-01-29,20.0
2017-01-30,46.0
2017-01-31,47.0
2017-02-01,45.0
2017-02-02,47.0
2017-02-03,48.0
