date,attention
2016-10-01,43.0
2016-10-02,32.0
2016-10-03,41.0
2016-10-04,38.0
2016-10-05,37.0
2016-10-06,34.0
2016-10-07,36.0
2016-10-08,31.0
2016-10-09,30.0
2016-10-10,35.0
2016-10-11,37.0
2016-10-12,39.0
2016-10-13,39.0
2016-10-14,39.0
2016-10-15,35.0
2016-10-16,36.0
2016-10-17,38.0
2016-10-18,34.0
2016-10-19,42.0
2016-10-20,42.0
2016-10-21,45.0
2016-10-22,42.0
2016-10-23,35.0
2016-10-24,38.0
2016-10-25,34.0
2016-10-26,38.0
2016-10-27,37.0
2016-10-28,40.0
2016-10-29,34.0
2016-10-30,28.0
2016-10-31,37.0
2016-11-01,45.0
2016-11-02,39.0
2016-11-03,36.0
2016-11-04,36.0
2016-11-05,34.0
2016-11-06,33.0
2016-11-07,36.0
2016-11-08,32.0
2016-11-09,33.0
2016-11-10,41.0
2016-11-11,38.0
2016-11-12,32.0
2016-11-13,41.0
2016-11-14,35.0
2016-11-15,36.0
2016-11-16,39.0
2016-11-17,33.0
2016-11-18,39.0
2016-11-19,33.0
2016-11-20,31.0
2016-11-21,34.0
2016-11-22,35.0
2016-11-23,35.0
2016-11-24,30.0
2016-11-25,30.0
2016-11-26,32.0
2016-11-27,32.0
2016-11-28,35.0
2016-11-29,35.0
2016-11-30,36.0
2016-12-01,39.0
2016-12-02,40.0
2016-12-03,37.0
2016-12-04,36.0
2016-12-05,36.0
2016-12-06,39.0
2016-12-07,35.0
2016-12-08,34.0
2016-12-09,35.0
2016-12-10,32.0
2016-12-11,32.0
2016-12-12,38.0
2016-12-13,39.0
2016-12-14,38.0
2016-12-15,39.0
2016-12-16,42.0
2016-12-17,39.0
2016-12-18,30.0
2016-12-19,38.0
2016-12-20,38.0
2016-12-21,41.0
2016-12-22,37.0
2016-12-23,43.0
2016-12-24,31.0
2016-12-25,28.0
2016-12-26,34.0
2016-12-27,42.0
2016-12-28,46.0
2016-12-29,46.0
2016-12-30,52.0
2016-12-31,37.0
2017-01-01,38.0
2017-01-02,40.0
2017-01-03,41.0
2017-01-04,40.0
2017-01-05,41.0
2017-01-06,45.0
2017-01-07,37.0
2017-01-08,43.0
2017-01-09,39.0
2017-01-10,43.0
2017-01-11,40.0
2017-01-12,38.0
2017-01-13,41.0
2017-01-14,36.0
2017-01-15,33.0
2017-01-16,30.0
2017-01-17,33.0
2017-01-18,36.0
2017-01-19,35.0
2017-01-20,39.0
2017-01-21,32.0
2017-01-22,35.0
2017-01-23,38.0
2017-01-24,34.0
2017-01-25,39.0
2017-01-26,35.0
2017-01-27,40.0
2017-01-28,36.0
2017-01-29,30.0
2017-01-30,38.0
2017-01-31,42.0
2017-02-01,39.0
2017-02-02,41.0
2017-02-03,35.0
2017-02-04,36.0
2017-02-05,35.0
2017-02-06,33.0
2017-02-07,32.0
2017-02-08,33.0
2017-02-09,33.0
2017-02-10,38.0
2017-02-11,32.0
2017-02-12,37.0
2017-02-13,33.0
2017-02-14,32.0
2017-02-15,31.0
2017-02-16,38.0
2017-02-17,38.0
2017-02-18,37.0
2017-02-19,30.0
2017-02-20,38.0
2017-02-21,38.0
2017-02-22,40.0
2017-02-23,39.0
2017-02-24,41.0
2017-02-25,33.0
2017-02-26,31.0
2017-02-27,37.0
2017-02-28,44.0
2017-03-01,41.0
2017-03-02,32.0
2017-03-03,37.0
2017-03-04,32.0
2017-03-05,33.0
2017-03-06,36.0
2017-03-07,33.0
2017-03-08,33.0
2017-03-09,39.0
2017-03-10,33.0
2017-03-11,38.0
2017-03-12,36.0
2017-03-13,37.0
2017-03-14,33.0
2017-03-15,34.0
2017-03-16,36.0
2017-03-17,38.0
2017-03-18,33.0
2017-03-19,31.0
2017-03-20,34.0
2017-03-21,34.0
