date,attention
2016-10-01,44.0
2016-10-02,41.0
2016-10-03,38.0
2016-10-04,41.0
2016-10-05,43.0
2016-10-06,41.0
2016-10-07,40.0
2016-10-08,42.0
2016-10-09,37.0
2016-10-10,41.0
2016-10-11,41.0
2016-10-12,43.0
2016-10-13,39.0
2016-10-14,45.0
2016-10-15,41.0
2016-10-16,40.0
2016-10-17,42.0
2016-10-18,43.0
2016-10-19,41.0
2016-10-20,45.0
2016-10-21,39.0
2016-10-22,41.0
2016-10-23,44.0
2016-10-24,43.0
2016-10-25,45.0
2016-10-26,42.0
2016-10-27,43.0
2016-10-28,45.0
2016-10-29,44.0
2016-10-30,44.0
2016-10-31,42.0
2016-11-01,42.0
2016-11-02,42.0
2016-11-03,43.0
2016-11-04,42.0
2016-11-05,41.0
2016-11-06,43.0
2016-11-07,43.0
2016-11-08,39.0
2016-11-09,37.0
2016-11-10,43.0
2016-11-11,40.0
2016-11-12,40.0
2016-11-13,40.0
2016-11-14,43.0
2016-11-15,42.0
2016-11-16,42.0
2016-11-17,46.0
2016-11-18,46.0
2016-11-19,47.0
2016-11-20,42.0
2016-11-21,45.0
2016-11-22,44.0
2016-11-23,43.0
2016-11-24,49.0
2016-11-25,58.0
2016-11-26,52.0
2016-11-27,53.0
2016-11-28,50.0
2016-11-29,50.0
2016-11-30,47.0
2016-12-01,45.0
2016-12-02,43.0
2016-12-03,47.0
2016-12-04,44.0
2016-12-05,43.0
2016-12-06,44.0
2016-12-07,47.0
2016-12-08,50.0
2016-12-09,52.0
2016-12-10,50.0
2016-12-11,46.0
2016-12-12,49.0
2016-12-13,60.0
2016-12-14,58.0
2016-12-15,52.0
2016-12-16,51.0
2016-12-17,52.0
2016-12-18,47.0
2016-12-19,49.0
2016-12-20,50.0
2016-12-21,50.0
2016-12-22,50.0
2016-12-23,47.0
2016-12-24,47.0
2016-12-25,53.0
2016-12-26,52.0
2016-12-27,56.0
2016-12-28,52.0
2016-12-29,57.0
2016-12-30,49.0
2016-12-31,47.0
2017-01-01,44.0
2017-01-02,47.0
2017-01-03,51.0
2017-01-04,49.0
2017-01-05,61.0
2017-01-06,53.0
2017-01-07,51.0
2017-01-08,52.0
2017-01-09,48.0
2017-01-10,51.0
2017-01-11,49.0
2017-01-12,50.0
2017-01-13,47.0
2017-01-14,48.0
2017-01-15,45.0
2017-01-16,47.0
2017-01-17,46.0
2017-01-18,45.0
2017-01-19,45.0
2017-01-20,45.0
2017-01-21,45.0
2017-01-22,42.0
2017-01-23,45.0
2017-01-24,46.0
2017-01-25,49.0
2017-01-26,45.0
2017-01-27,47.0
2017-01-28,46.0
2017-01-29,46.0
2017-01-30,44.0
2017-01-31,51.0
2017-02-01,52.0
2017-02-02,51.0
2017-02-03,48.0
2017-02-04,48.0
2017-02-05,45.0
2017-02-06,50.0
2017-02-07,48.0
2017-02-08,50.0
2017-02-09,51.0
2017-02-10,52.0
2017-02-11,50.0
2017-02-12,47.0
2017-02-13,48.0
2017-02-14,47.0
2017-02-15,50.0
2017-02-16,47.0
2017-02-17,49.0
2017-02-18,49.0
2017-02-19,50.0
2017-02-20,49.0
2017-02-21,52.0
2017-02-22,72.0
2017-02-23,80.0
2017-02-24,64.0
2017-02-25,63.0
2017-02-26,65.0
2017-02-27,70.0
2017-02-28,77.0
2017-03-01,68.0
2017-03-02,85.0
2017-03-03,75.0
2017-03-04,58.0
2017-03-05,55.0
2017-03-06,58.0
2017-03-07,55.0
2017-03-08,51.0
2017-03-09,52.0
2017-03-10,57.0
2017-03-11,48.0
2017-03-12,55.0
2017-03-13,55.0
2017-03-14,53.0
2017-03-15,50.0
2017-03-16,53.0
2017-03-17,51.0
2017-03-18,49.0
2017-03-19,44.0
2017-03-20,53.0
2017-03-21,52.0
2017-03-22,46.0
2017-03-23,48.0
2017-03-24,48.0
2017-03-25,51.0
2017-03-26,45.0
2017-03-27,43.0
2017-03-28,44.0
2017-03-29,46.0
2017-03-30,44.0
2017-03-31,49.0
2017-04-01,46.0
2017-04-02,46.0
2017-04-03,45.0
2017-04-04,46.0
2017-04-05,46.0
2017-04-06,52.0
2017-04-07,46.0
2017-04-08,43.0
2017-04-09,43.0
2017-04-10,45.0
2017-04-11,55.0
2017-04-12,51.0
2017-04-13,50.0
2017-04-14,51.0
2017-04-15,43.0
2017-04-16,46.0
2017-04-17,44.0
2017-04-18,51.0
2017-04-19,47.0
2017-04-20,46.0
2017-04-21,44.0
2017-04-22,45.0
2017-04-23,43.0
2017-04-24,46.0
2017-04-25,49.0
2017-04-26,45.0
2017-04-27,43.0
2017-04-28,48.0
2017-04-29,43.0
2017-04-30,50.0
2017-05-01,52.0
2017-05-02,60.0
2017-05-03,56.0
2017-05-04,52.0
2017-05-05,52.0
2017-05-06,43.0
2017-05-07,43.0
2017-05-08,46.0
2017-05-09,45.0
2017-05-10,51.0
2017-05-11,47.0
2017-05-12,46.0
2017-05-13,43.0
2017-05-14,43.0
2017-05-15,48.0
2017-05-16,54.0
2017-05-17,55.0
2017-05-18,54.0
2017-05-19,45.0
2017-05-20,41.0
2017-05-21,41.0
2017-05-22,44.0
2017-05-23,48.0
2017-05-24,42.0
2017-05-25,45.0
2017-05-26,42.0
2017-05-27,43.0
2017-05-28,39.0
2017-05-29,43.0
2017-05-30,51.0
2017-05-31,50.0
2017-06-01,46.0
2017-06-02,48.0
2017-06-03,41.0
2017-06-04,44.0
2017-06-05,48.0
2017-06-06,51.0
2017-06-07,54.0
2017-06-08,51.0
2017-06-09,50.0
2017-06-10,44.0
2017-06-11,42.0
2017-06-12,52.0
2017-06-13,48.0
2017-06-14,50.0
2017-06-15,49.0
2017-06-16,50.0
2017-06-17,47.0
2017-06-18,42.0
2017-06-19,50.0
2017-06-20,52.0
2017-06-21,58.0
2017-06-22,57.0
2017-06-23,55.0
2017-06-24,46.0
2017-06-25,44.0
2017-06-26,51.0
2017-06-27,51.0
2017-06-28,53.0
2017-06-29,50.0
2017-06-30,45.0
2017-07-01,48.0
2017-07-02,43.0
2017-07-03,44.0
2017-07-04,45.0
2017-07-05,45.0
2017-07-06,50.0
2017-07-07,47.0
2017-07-08,47.0
2017-07-09,45.0
2017-07-10,46.0
2017-07-11,50.0
2017-07-12,50.0
2017-07-13,56.0
2017-07-14,50.0
2017-07-15,49.0
2017-07-16,46.0
2017-07-17,48.0
2017-07-18,46.0
2017-07-19,47.0
2017-07-20,49.0
2017-07-21,48.0
2017-07-22,43.0
2017-07-23,41.0
2017-07-24,49.0
2017-07-25,57.0
2017-07-26,63.0
2017-07-27,55.0
2017-07-28,50.0
2017-07-29,47.0
2017-07-30,50.0
2017-07-31,60.0
2017-08-01,53.0
2017-08-02,50.0
2017-08-03,51.0
2017-08-04,51.0
2017-08-05,49.0
2017-08-06,46.0
2017-08-07,48.0
2017-08-08,50.0
2017-08-09,51.0
2017-08-10,53.0
2017-08-11,59.0
2017-08-12,48.0
2017-08-13,47.0
2017-08-14,61.0
2017-08-15,52.0
2017-08-16,46.0
2017-08-17,47.0
2017-08-18,47.0
2017-08-19,47.0
2017-08-20,47.0
2017-08-21,46.0
2017-08-22,44.0
2017-08-23,46.0
2017-08-24,47.0
2017-08-25,46.0
2017-08-26,48.0
2017-08-27,43.0
2017-08-28,47.0
2017-08-29,49.0
2017-08-30,48.0
2017-08-31,45.0
2017-09-01,49.0
2017-09-02,49.0
2017-09-03,46.0
2017-09-04,44.0
2017-09-05,46.0
2017-09-06,44.0
2017-09-07,45.0
2017-09-08,44.0
2017-09-09,44.0
2017-09-10,43.0
2017-09-11,43.0
2017-09-12,49.0
2017-09-13,45.0
2017-09-14,43.0
2017-09-15,42.0
2017-09-16,44.0
2017-09-17,43.0
2017-09-18,47.0
2017-09-19,44.0
2017-09-20,49.0
2017-09-21,55.0
2017-09-22,45.0
2017-09-23,45.0
2017-09-24,45.0
2017-09-25,47.0
2017-09-26,46.0
2017-09-27,44.0
2017-09-28,41.0
2017-09-29,44.0
2017-09-30,44.0
2017-10-01,40.0
2017-10-02,45.0
2017-10-03,46.0
2017-10-04,42.0
2017-10-05,47.0
2017-10-06,46.0
2017-10-07,46.0
2017-10-08,41.0
2017-10-09,45.0
2017-10-10,43.0
2017-10-11,41.0
2017-10-12,44.0
2017-10-13,46.0
2017-10-14,43.0
2017-10-15,43.0
2017-10-16,43.0
2017-10-17,46.0
2017-10-18,43.0
2017-10-19,44.0
2017-10-20,41.0
2017-10-21,44.0
2017-10-22,42.0
2017-10-23,44.0
2017-10-24,54.0
2017-10-25,56.0
2017-10-26,49.0
2017-10-27,51.0
2017-10-28,47.0
2017-10-29,44.0
2017-10-30,47.0
2017-10-31,48.0
2017-11-01,47.0
2017-11-02,48.0
2017-11-03,51.0
2017-11-04,48.0
2017-11-05,46.0
2017-11-06,50.0
2017-11-07,52.0
2017-11-08,48.0
2017-11-09,50.0
2017-11-10,47.0
2017-11-11,45.0
2017-11-12,47.0
2017-11-13,45.0
2017-11-14,45.0
2017-11-15,45.0
2017-11-16,46.0
2017-11-17,46.0
2017-11-18,47.0
2017-11-19,47.0
2017-11-20,49.0
2017-11-21,51.0
2017-11-22,46.0
2017-11-23,51.0
2017-11-24,66.0
2017-11-25,58.0
2017-11-26,51.0
2017-11-27,55.0
2017-11-28,52.0
2017-11-29,52.0
2017-11-30,47.0
2017-12-01,48.0
2017-12-02,46.0
2017-12-03,45.0
2017-12-04,48.0
2017-12-05,48.0
2017-12-06,48.0
2017-12-07,46.0
2017-12-08,43.0
2017-12-09,48.0
2017-12-10,47.0
2017-12-11,48.0
2017-12-12,48.0
2017-12-13,50.0
2017-12-14,45.0
2017-12-15,45.0
2017-12-16,47.0
2017-12-17,45.0
2017-12-18,48.0
2017-12-19,50.0
2017-12-20,47.0
2017-12-21,47.0
2017-12-22,50.0
2017-12-23,45.0
2017-12-24,44.0
2017-12-25,50.0
2017-12-26,51.0
2017-12-27,49.0
2017-12-28,47.0
2017-12-29,48.0
2017-12-30,44.0
2017-12-31,43.0
2018-01-01,45.0
2018-01-02,49.0
2018-01-03,67.0
2018-01-04,73.0
2018-01-05,63.0
2018-01-06,54.0
2018-01-07,53.0
2018-01-08,60.0
2018-01-09,60.0
2018-01-10,56.0
2018-01-11,56.0
2018-01-12,52.0
2018-01-13,51.0
2018-01-14,47.0
2018-01-15,47.0
2018-01-16,49.0
2018-01-17,45.0
2018-01-18,50.0
2018-01-19,49.0
2018-01-20,45.0
2018-01-21,47.0
2018-01-22,48.0
2018-01-23,48.0
2018-01-24,48.0
2018-01-25,44.0
2018-01-26,48.0
2018-01-27,46.0
2018-01-28,47.0
2018-01-29,49.0
2018-01-30,53.0
2018-01-31,53.0
2018-02-01,51.0
2018-02-02,46.0
2018-02-03,48.0
2018-02-04,41.0
2018-02-05,46.0
2018-02-06,45.0
2018-02-07,43.0
2018-02-08,45.0
2018-02-09,41.0
2018-02-10,47.0
2018-02-11,39.0
2018-02-12,47.0
2018-02-13,44.0
2018-02-14,43.0
2018-02-15,44.0
2018-02-16,43.0
2018-02-17,47.0
2018-02-18,41.0
2018-02-19,39.0
2018-02-20,42.0
2018-02-21,44.0
2018-02-22,44.0
2018-02-23,41.0
2018-02-24,45.0
2018-02-25,41.0
2018-02-26,41.0
2018-02-27,40.0
2018-02-28,41.0
2018-03-01,39.0
2018-03-02,40.0
2018-03-03,41.0
2018-03-04,39.0
2018-03-05,41.0
2018-03-06,41.0
2018-03-07,44.0
2018-03-08,42.0
2018-03-09,41.0
2018-03-10,46.0
2018-03-11,41.0
2018-03-12,41.0
2018-03-13,43.0
2018-03-14,46.0
2018-03-15,44.0
2018-03-16,42.0
2018-03-17,42.0
2018-03-18,38.0
2018-03-19,40.0
2018-03-20,44.0
2018-03-21,41.0
2018-03-22,41.0
2018-03-23,40.0
2018-03-24,39.0
2018-03-25,42.0
2018-03-26,43.0
2018-03-27,44.0
2018-03-28,44.0
2018-03-29,45.0
2018-03-30,44.0
2018-03-31,38.0
2018-04-01,40.0
2018-04-02,44.0
2018-04-03,43.0
2018-04-04,42.0
2018-04-05,40.0
2018-04-06,43.0
2018-04-07,39.0
2018-04-08,39.0
2018-04-09,41.0
2018-04-10,39.0
2018-04-11,37.0
2018-04-12,37.0
2018-04-13,41.0
2018-04-14,39.0
2018-04-15,40.0
2018-04-16,41.0
2018-04-17,42.0
2018-04-18,40.0
2018-04-19,39.0
2018-04-20,39.0
2018-04-21,37.0
2018-04-22,38.0
2018-04-23,41.0
2018-04-24,40.0
2018-04-25,43.0
2018-04-26,49.0
2018-04-27,44.0
2018-04-28,40.0
2018-04-29,36.0
2018-04-30,40.0
2018-05-01,39.0
2018-05-02,39.0
2018-05-03,39.0
2018-05-04,40.0
2018-05-05,37.0
2018-05-06,35.0
2018-05-07,40.0
2018-05-08,41.0
2018-05-09,37.0
2018-05-10,40.0
2018-05-11,40.0
2018-05-12,34.0
2018-05-13,37.0
2018-05-14,39.0
2018-05-15,37.0
2018-05-16,39.0
2018-05-17,44.0
2018-05-18,40.0
2018-05-19,38.0
2018-05-20,38.0
2018-05-21,41.0
2018-05-22,37.0
2018-05-23,40.0
2018-05-24,37.0
2018-05-25,41.0
2018-05-26,38.0
2018-05-27,37.0
2018-05-28,37.0
2018-05-29,37.0
2018-05-30,39.0
2018-05-31,39.0
2018-06-01,41.0
2018-06-02,39.0
2018-06-03,39.0
2018-06-04,38.0
2018-06-05,42.0
2018-06-06,49.0
2018-06-07,45.0
2018-06-08,44.0
2018-06-09,38.0
2018-06-10,39.0
2018-06-11,43.0
2018-06-12,42.0
2018-06-13,43.0
2018-06-14,42.0
2018-06-15,39.0
2018-06-16,38.0
2018-06-17,34.0
2018-06-18,42.0
2018-06-19,41.0
2018-06-20,39.0
2018-06-21,41.0
2018-06-22,39.0
2018-06-23,38.0
2018-06-24,35.0
2018-06-25,42.0
2018-06-26,37.0
2018-06-27,38.0
2018-06-28,38.0
2018-06-29,40.0
2018-06-30,35.0
2018-07-01,34.0
2018-07-02,36.0
2018-07-03,36.0
2018-07-04,35.0
2018-07-05,40.0
2018-07-06,40.0
2018-07-07,38.0
2018-07-08,34.0
2018-07-09,41.0
2018-07-10,38.0
2018-07-11,39.0
2018-07-12,39.0
2018-07-13,39.0
2018-07-14,38.0
2018-07-15,35.0
2018-07-16,40.0
2018-07-17,45.0
2018-07-18,43.0
2018-07-19,41.0
2018-07-20,41.0
2018-07-21,38.0
2018-07-22,39.0
2018-07-23,42.0
2018-07-24,41.0
2018-07-25,48.0
2018-07-26,51.0
2018-07-27,48.0
2018-07-28,45.0
2018-07-29,39.0
2018-07-30,43.0
2018-07-31,45.0
2018-08-01,45.0
2018-08-02,42.0
2018-08-03,41.0
2018-08-04,40.0
2018-08-05,41.0
2018-08-06,44.0
2018-08-07,44.0
2018-08-08,41.0
2018-08-09,43.0
2018-08-10,41.0
2018-08-11,40.0
2018-08-12,39.0
2018-08-13,44.0
2018-08-14,45.0
2018-08-15,43.0
2018-08-16,42.0
2018-08-17,42.0
2018-08-18,42.0
2018-08-19,40.0
2018-08-20,40.0
2018-08-21,42.0
2018-08-22,45.0
2018-08-23,48.0
2018-08-24,53.0
2018-08-25,44.0
2018-08-26,42.0
2018-08-27,57.0
2018-08-28,56.0
2018-08-29,53.0
2018-08-30,50.0
2018-08-31,47.0
2018-09-01,42.0
2018-09-02,42.0
2018-09-03,39.0
2018-09-04,49.0
2018-09-05,52.0
2018-09-06,47.0
2018-09-07,44.0
2018-09-08,41.0
2018-09-09,39.0
2018-09-10,48.0
2018-09-11,51.0
2018-09-12,56.0
2018-09-13,55.0
2018-09-14,54.0
2018-09-15,41.0
2018-09-16,39.0
2018-09-17,50.0
2018-09-18,48.0
2018-09-19,48.0
2018-09-20,44.0
2018-09-21,46.0
2018-09-22,43.0
2018-09-23,38.0
2018-09-24,46.0
2018-09-25,47.0
2018-09-26,43.0
2018-09-27,46.0
2018-09-28,44.0
2018-09-29,42.0
2018-09-30,38.0
2018-10-01,46.0
2018-10-02,49.0
2018-10-03,52.0
2018-10-04,44.0
2018-10-05,45.0
2018-10-06,38.0
2018-10-07,37.0
2018-10-08,45.0
2018-10-09,44.0
2018-10-10,46.0
2018-10-11,47.0
2018-10-12,48.0
2018-10-13,43.0
2018-10-14,43.0
2018-10-15,44.0
2018-10-16,44.0
2018-10-17,43.0
2018-10-18,41.0
2018-10-19,46.0
2018-10-20,41.0
2018-10-21,39.0
2018-10-22,46.0
2018-10-23,44.0
2018-10-24,52.0
2018-10-25,56.0
2018-10-26,45.0
2018-10-27,41.0
2018-10-28,38.0
2018-10-29,45.0
2018-10-30,45.0
2018-10-31,43.0
2018-11-01,46.0
2018-11-02,46.0
2018-11-03,38.0
2018-11-04,40.0
2018-11-05,43.0
2018-11-06,52.0
2018-11-07,48.0
2018-11-08,44.0
2018-11-09,46.0
2018-11-10,42.0
2018-11-11,41.0
2018-11-12,46.0
2018-11-13,46.0
2018-11-14,46.0
2018-11-15,47.0
2018-11-16,48.0
2018-11-17,43.0
2018-11-18,44.0
2018-11-19,49.0
2018-11-20,50.0
2018-11-21,47.0
2018-11-22,47.0
2018-11-23,59.0
2018-11-24,49.0
2018-11-25,45.0
2018-11-26,52.0
2018-11-27,48.0
2018-11-28,45.0
2018-11-29,45.0
2018-11-30,44.0
2018-12-01,43.0
2018-12-02,43.0
2018-12-03,51.0
2018-12-04,47.0
2018-12-05,44.0
2018-12-06,49.0
2018-12-07,48.0
2018-12-08,42.0
2018-12-09,43.0
2018-12-10,47.0
2018-12-11,45.0
2018-12-12,44.0
2018-12-13,46.0
2018-12-14,44.0
2018-12-15,44.0
2018-12-16,39.0
2018-12-17,45.0
2018-12-18,44.0
2018-12-19,45.0
2018-12-20,44.0
2018-12-21,44.0
2018-12-22,43.0
2018-12-23,42.0
2018-12-24,44.0
2018-12-25,45.0
2018-12-26,49.0
2018-12-27,48.0
2018-12-28,48.0
2018-12-29,49.0
2018-12-30,42.0
2018-12-31,39.0
2019-01-01,41.0
2019-01-02,50.0
2019-01-03,49.0
2019-01-04,49.0
2019-01-05,48.0
2019-01-06,46.0
2019-01-07,53.0
2019-01-08,52.0
2019-01-09,74.0
2019-01-10,57.0
