date,attention
2016-10-01,63.0
2016-10-02,82.0
2016-10-03,80.0
2016-10-04,69.0
2016-10-05,75.0
2016-10-06,83.0
2016-10-07,84.0
2016-10-08,85.0
2016-10-09,83.0
2016-10-10,84.0
2016-10-11,92.0
2016-10-12,82.0
2016-10-13,68.0
2016-10-14,73.0
2016-10-15,91.0
2016-10-16,75.0
2016-10-17,87.0
2016-10-18,91.0
2016-10-19,78.0
2016-10-20,59.0
2016-10-21,84.0
2016-10-22,75.0
2016-10-23,88.0
2016-10-24,80.0
2016-10-25,68.0
2016-10-26,79.0
2016-10-27,82.0
2016-10-28,83.0
2016-10-29,64.0
2016-10-30,84.0
2016-10-31,76.0
2016-11-01,78.0
2016-11-02,91.0
2016-11-03,92.0
2016-11-04,87.0
2016-11-05,96.0
2016-11-06,81.0
2016-11-07,90.0
2016-11-08,88.0
2016-11-09,78.0
2016-11-10,87.0
2016-11-11,86.0
2016-11-12,83.0
2016-11-13,73.0
2016-11-14,81.0
2016-11-15,89.0
2016-11-16,98.0
2016-11-17,96.0
2016-11-18,95.0
2016-11-19,76.0
2016-11-20,93.0
2016-11-21,90.0
2016-11-22,77.0
2016-11-23,74.0
2016-11-24,81.0
2016-11-25,85.0
2016-11-26,75.0
2016-11-27,74.0
2016-11-28,96.0
2016-11-29,90.0
2016-11-30,82.0
2016-12-01,89.0
2016-12-02,83.0
2016-12-03,80.0
2016-12-04,70.0
2016-12-05,81.0
2016-12-06,86.0
2016-12-07,89.0
2016-12-08,89.0
2016-12-09,87.0
2016-12-10,81.0
2016-12-11,87.0
2016-12-12,85.0
2016-12-13,77.0
2016-12-14,88.0
2016-12-15,83.0
2016-12-16,73.0
2016-12-17,80.0
2016-12-18,75.0
2016-12-19,93.0
2016-12-20,88.0
2016-12-21,86.0
2016-12-22,76.0
2016-12-23,74.0
2016-12-24,79.0
2016-12-25,77.0
2016-12-26,79.0
2016-12-27,86.0
2016-12-28,84.0
2016-12-29,74.0
2016-12-30,82.0
2016-12-31,73.0
2017-01-01,73.0
2017-01-02,74.0
2017-01-03,92.0
2017-01-04,84.0
2017-01-05,76.0
2017-01-06,83.0
2017-01-07,66.0
2017-01-08,76.0
2017-01-09,76.0
2017-01-10,89.0
