date,attention
2016-10-01,41.0
2016-10-02,39.0
2016-10-03,33.0
2016-10-04,34.0
2016-10-05,33.0
2016-10-06,38.0
2016-10-07,40.0
2016-10-08,42.0
2016-10-09,39.0
2016-10-10,35.0
2016-10-11,34.0
2016-10-12,36.0
2016-10-13,39.0
2016-10-14,42.0
2016-10-15,44.0
2016-10-16,41.0
2016-10-17,35.0
2016-10-18,34.0
2016-10-19,33.0
2016-10-20,38.0
2016-10-21,34.0
2016-10-22,39.0
2016-10-23,39.0
2016-10-24,34.0
2016-10-25,35.0
2016-10-26,34.0
2016-10-27,37.0
2016-10-28,35.0
2016-10-29,37.0
2016-10-30,37.0
2016-10-31,34.0
2016-11-01,34.0
2016-11-02,37.0
2016-11-03,38.0
2016-11-04,37.0
2016-11-05,41.0
2016-11-06,40.0
2016-11-07,37.0
2016-11-08,34.0
2016-11-09,35.0
2016-11-10,50.0
2016-11-11,46.0
2016-11-12,48.0
2016-11-13,47.0
2016-11-14,42.0
2016-11-15,39.0
2016-11-16,36.0
2016-11-17,38.0
2016-11-18,34.0
2016-11-19,42.0
2016-11-20,42.0
2016-11-21,37.0
2016-11-22,37.0
2016-11-23,41.0
2016-11-24,40.0
2016-11-25,37.0
2016-11-26,42.0
2016-11-27,40.0
2016-11-28,35.0
2016-11-29,35.0
2016-11-30,39.0
2016-12-01,39.0
2016-12-02,37.0
2016-12-03,44.0
2016-12-04,42.0
2016-12-05,39.0
2016-12-06,36.0
2016-12-07,38.0
2016-12-08,42.0
2016-12-09,39.0
2016-12-10,43.0
2016-12-11,45.0
2016-12-12,37.0
2016-12-13,36.0
2016-12-14,37.0
2016-12-15,42.0
2016-12-16,44.0
2016-12-17,47.0
2016-12-18,43.0
2016-12-19,37.0
2016-12-20,41.0
2016-12-21,42.0
2016-12-22,43.0
2016-12-23,45.0
2016-12-24,51.0
2016-12-25,53.0
2016-12-26,44.0
2016-12-27,44.0
2016-12-28,44.0
2016-12-29,48.0
2016-12-30,47.0
2016-12-31,57.0
2017-01-01,54.0
2017-01-02,42.0
2017-01-03,37.0
2017-01-04,36.0
2017-01-05,42.0
2017-01-06,39.0
2017-01-07,43.0
2017-01-08,42.0
2017-01-09,36.0
2017-01-10,36.0
2017-01-11,36.0
2017-01-12,38.0
2017-01-13,38.0
2017-01-14,44.0
2017-01-15,40.0
2017-01-16,36.0
2017-01-17,37.0
2017-01-18,37.0
2017-01-19,42.0
2017-01-20,39.0
2017-01-21,44.0
2017-01-22,46.0
2017-01-23,42.0
2017-01-24,41.0
2017-01-25,40.0
2017-01-26,42.0
2017-01-27,41.0
2017-01-28,44.0
2017-01-29,42.0
2017-01-30,36.0
2017-01-31,38.0
2017-02-01,38.0
2017-02-02,43.0
2017-02-03,39.0
2017-02-04,41.0
2017-02-05,41.0
2017-02-06,36.0
2017-02-07,33.0
2017-02-08,33.0
2017-02-09,38.0
2017-02-10,38.0
2017-02-11,42.0
2017-02-12,42.0
2017-02-13,35.0
2017-02-14,36.0
2017-02-15,35.0
2017-02-16,39.0
2017-02-17,37.0
2017-02-18,41.0
2017-02-19,43.0
2017-02-20,34.0
2017-02-21,38.0
2017-02-22,38.0
2017-02-23,44.0
2017-02-24,51.0
2017-02-25,44.0
2017-02-26,42.0
2017-02-27,38.0
2017-02-28,34.0
2017-03-01,40.0
2017-03-02,41.0
2017-03-03,38.0
2017-03-04,40.0
2017-03-05,40.0
2017-03-06,35.0
2017-03-07,34.0
2017-03-08,36.0
2017-03-09,39.0
2017-03-10,37.0
2017-03-11,38.0
2017-03-12,39.0
2017-03-13,34.0
2017-03-14,38.0
2017-03-15,37.0
2017-03-16,39.0
2017-03-17,38.0
2017-03-18,39.0
2017-03-19,42.0
2017-03-20,37.0
2017-03-21,35.0
2017-03-22,35.0
2017-03-23,39.0
2017-03-24,38.0
2017-03-25,41.0
2017-03-26,41.0
2017-03-27,37.0
2017-03-28,36.0
2017-03-29,37.0
2017-03-30,40.0
2017-03-31,41.0
2017-04-01,42.0
2017-04-02,41.0
2017-04-03,35.0
2017-04-04,36.0
2017-04-05,35.0
2017-04-06,38.0
2017-04-07,36.0
2017-04-08,40.0
2017-04-09,38.0
2017-04-10,37.0
2017-04-11,35.0
2017-04-12,36.0
2017-04-13,47.0
2017-04-14,45.0
2017-04-15,40.0
2017-04-16,44.0
2017-04-17,38.0
2017-04-18,33.0
2017-04-19,33.0
2017-04-20,38.0
2017-04-21,38.0
2017-04-22,39.0
2017-04-23,38.0
2017-04-24,38.0
2017-04-25,89.0
2017-04-26,59.0
2017-04-27,48.0
2017-04-28,38.0
2017-04-29,38.0
2017-04-30,41.0
2017-05-01,38.0
2017-05-02,34.0
2017-05-03,34.0
2017-05-04,37.0
2017-05-05,36.0
2017-05-06,40.0
2017-05-07,39.0
2017-05-08,36.0
2017-05-09,34.0
2017-05-10,34.0
2017-05-11,39.0
2017-05-12,37.0
2017-05-13,40.0
2017-05-14,37.0
2017-05-15,34.0
2017-05-16,35.0
2017-05-17,35.0
2017-05-18,40.0
2017-05-19,39.0
2017-05-20,43.0
2017-05-21,39.0
2017-05-22,36.0
2017-05-23,35.0
2017-05-24,37.0
2017-05-25,43.0
2017-05-26,38.0
2017-05-27,41.0
2017-05-28,42.0
2017-05-29,37.0
2017-05-30,35.0
2017-05-31,36.0
2017-06-01,38.0
2017-06-02,34.0
2017-06-03,42.0
2017-06-04,39.0
2017-06-05,36.0
2017-06-06,36.0
2017-06-07,35.0
2017-06-08,42.0
2017-06-09,40.0
2017-06-10,41.0
2017-06-11,42.0
2017-06-12,37.0
2017-06-13,36.0
2017-06-14,42.0
2017-06-15,43.0
2017-06-16,42.0
2017-06-17,50.0
2017-06-18,55.0
2017-06-19,41.0
2017-06-20,39.0
2017-06-21,40.0
2017-06-22,44.0
2017-06-23,40.0
2017-06-24,45.0
2017-06-25,47.0
2017-06-26,40.0
2017-06-27,39.0
2017-06-28,42.0
2017-06-29,47.0
2017-06-30,41.0
2017-07-01,45.0
2017-07-02,43.0
2017-07-03,40.0
2017-07-04,41.0
2017-07-05,42.0
2017-07-06,44.0
2017-07-07,43.0
2017-07-08,51.0
2017-07-09,59.0
2017-07-10,46.0
2017-07-11,43.0
2017-07-12,44.0
2017-07-13,50.0
2017-07-14,45.0
2017-07-15,50.0
2017-07-16,51.0
2017-07-17,46.0
2017-07-18,45.0
2017-07-19,43.0
2017-07-20,49.0
2017-07-21,45.0
2017-07-22,49.0
2017-07-23,47.0
2017-07-24,43.0
2017-07-25,41.0
2017-07-26,42.0
2017-07-27,47.0
2017-07-28,43.0
2017-07-29,46.0
2017-07-30,46.0
2017-07-31,40.0
2017-08-01,41.0
2017-08-02,43.0
2017-08-03,45.0
2017-08-04,43.0
2017-08-05,46.0
2017-08-06,44.0
2017-08-07,42.0
2017-08-08,42.0
2017-08-09,41.0
2017-08-10,45.0
2017-08-11,45.0
2017-08-12,47.0
2017-08-13,47.0
2017-08-14,42.0
2017-08-15,40.0
2017-08-16,42.0
2017-08-17,50.0
2017-08-18,43.0
2017-08-19,47.0
2017-08-20,49.0
2017-08-21,42.0
2017-08-22,44.0
2017-08-23,50.0
2017-08-24,56.0
2017-08-25,100.0
2017-08-26,77.0
2017-08-27,57.0
2017-08-28,93.0
2017-08-29,69.0
2017-08-30,57.0
2017-08-31,56.0
2017-09-01,50.0
2017-09-02,50.0
2017-09-03,51.0
2017-09-04,46.0
2017-09-05,44.0
2017-09-06,41.0
2017-09-07,44.0
2017-09-08,40.0
2017-09-09,46.0
2017-09-10,45.0
2017-09-11,42.0
2017-09-12,41.0
2017-09-13,38.0
2017-09-14,47.0
2017-09-15,44.0
2017-09-16,46.0
2017-09-17,47.0
2017-09-18,38.0
2017-09-19,40.0
2017-09-20,37.0
2017-09-21,42.0
2017-09-22,41.0
2017-09-23,49.0
2017-09-24,45.0
2017-09-25,37.0
2017-09-26,42.0
2017-09-27,41.0
2017-09-28,41.0
2017-09-29,40.0
2017-09-30,45.0
2017-10-01,42.0
2017-10-02,36.0
2017-10-03,39.0
2017-10-04,41.0
2017-10-05,44.0
2017-10-06,40.0
2017-10-07,41.0
2017-10-08,40.0
2017-10-09,42.0
2017-10-10,34.0
2017-10-11,38.0
2017-10-12,39.0
2017-10-13,40.0
2017-10-14,45.0
2017-10-15,41.0
2017-10-16,39.0
2017-10-17,40.0
2017-10-18,37.0
2017-10-19,43.0
2017-10-20,43.0
2017-10-21,46.0
2017-10-22,40.0
2017-10-23,42.0
2017-10-24,41.0
2017-10-25,40.0
2017-10-26,45.0
2017-10-27,42.0
2017-10-28,48.0
2017-10-29,43.0
2017-10-30,40.0
2017-10-31,42.0
2017-11-01,43.0
2017-11-02,50.0
2017-11-03,45.0
2017-11-04,45.0
2017-11-05,43.0
2017-11-06,42.0
2017-11-07,38.0
2017-11-08,40.0
2017-11-09,46.0
2017-11-10,44.0
2017-11-11,46.0
2017-11-12,46.0
2017-11-13,41.0
2017-11-14,39.0
2017-11-15,42.0
2017-11-16,42.0
2017-11-17,39.0
2017-11-18,42.0
2017-11-19,42.0
2017-11-20,40.0
2017-11-21,40.0
2017-11-22,40.0
2017-11-23,46.0
2017-11-24,41.0
2017-11-25,46.0
2017-11-26,44.0
2017-11-27,41.0
2017-11-28,41.0
2017-11-29,41.0
2017-11-30,47.0
2017-12-01,45.0
2017-12-02,44.0
2017-12-03,46.0
2017-12-04,42.0
2017-12-05,42.0
2017-12-06,43.0
2017-12-07,45.0
2017-12-08,42.0
2017-12-09,48.0
2017-12-10,44.0
2017-12-11,40.0
2017-12-12,40.0
2017-12-13,42.0
2017-12-14,44.0
2017-12-15,45.0
2017-12-16,52.0
2017-12-17,50.0
2017-12-18,42.0
2017-12-19,44.0
2017-12-20,46.0
2017-12-21,53.0
2017-12-22,48.0
2017-12-23,51.0
2017-12-24,50.0
2017-12-25,56.0
2017-12-26,48.0
2017-12-27,51.0
2017-12-28,51.0
2017-12-29,48.0
2017-12-30,55.0
2017-12-31,55.0
2018-01-01,49.0
2018-01-02,45.0
2018-01-03,43.0
2018-01-04,47.0
2018-01-05,46.0
2018-01-06,48.0
2018-01-07,43.0
2018-01-08,41.0
2018-01-09,39.0
2018-01-10,39.0
2018-01-11,45.0
2018-01-12,44.0
2018-01-13,45.0
2018-01-14,44.0
2018-01-15,40.0
2018-01-16,40.0
2018-01-17,39.0
2018-01-18,46.0
2018-01-19,41.0
2018-01-20,44.0
2018-01-21,43.0
2018-01-22,38.0
2018-01-23,40.0
2018-01-24,42.0
2018-01-25,47.0
2018-01-26,50.0
2018-01-27,46.0
2018-01-28,47.0
2018-01-29,44.0
2018-01-30,40.0
2018-01-31,42.0
2018-02-01,50.0
2018-02-02,42.0
2018-02-03,43.0
2018-02-04,43.0
2018-02-05,42.0
2018-02-06,41.0
2018-02-07,41.0
2018-02-08,48.0
2018-02-09,46.0
2018-02-10,47.0
2018-02-11,47.0
2018-02-12,43.0
2018-02-13,46.0
2018-02-14,44.0
2018-02-15,47.0
2018-02-16,45.0
2018-02-17,49.0
2018-02-18,48.0
2018-02-19,40.0
2018-02-20,39.0
2018-02-21,41.0
2018-02-22,44.0
2018-02-23,46.0
2018-02-24,46.0
2018-02-25,44.0
2018-02-26,39.0
2018-02-27,41.0
2018-02-28,38.0
2018-03-01,49.0
2018-03-02,41.0
2018-03-03,47.0
2018-03-04,44.0
2018-03-05,38.0
2018-03-06,41.0
2018-03-07,40.0
2018-03-08,44.0
2018-03-09,41.0
2018-03-10,44.0
2018-03-11,47.0
2018-03-12,41.0
2018-03-13,40.0
2018-03-14,42.0
2018-03-15,46.0
2018-03-16,44.0
2018-03-17,44.0
2018-03-18,45.0
2018-03-19,45.0
2018-03-20,42.0
2018-03-21,44.0
2018-03-22,48.0
2018-03-23,46.0
2018-03-24,49.0
2018-03-25,51.0
2018-03-26,44.0
2018-03-27,42.0
2018-03-28,45.0
2018-03-29,49.0
2018-03-30,45.0
2018-03-31,45.0
2018-04-01,45.0
2018-04-02,40.0
2018-04-03,42.0
2018-04-04,41.0
2018-04-05,46.0
2018-04-06,43.0
2018-04-07,45.0
2018-04-08,43.0
2018-04-09,41.0
2018-04-10,39.0
2018-04-11,41.0
2018-04-12,46.0
2018-04-13,46.0
2018-04-14,52.0
2018-04-15,45.0
2018-04-16,38.0
2018-04-17,39.0
2018-04-18,41.0
2018-04-19,44.0
2018-04-20,42.0
2018-04-21,44.0
2018-04-22,45.0
2018-04-23,39.0
2018-04-24,41.0
2018-04-25,42.0
2018-04-26,48.0
2018-04-27,45.0
2018-04-28,46.0
2018-04-29,48.0
2018-04-30,42.0
2018-05-01,46.0
2018-05-02,45.0
2018-05-03,48.0
2018-05-04,48.0
2018-05-05,48.0
2018-05-06,44.0
2018-05-07,42.0
2018-05-08,44.0
2018-05-09,46.0
2018-05-10,48.0
2018-05-11,45.0
2018-05-12,46.0
2018-05-13,46.0
2018-05-14,42.0
2018-05-15,41.0
2018-05-16,43.0
2018-05-17,46.0
2018-05-18,43.0
2018-05-19,46.0
2018-05-20,47.0
2018-05-21,43.0
2018-05-22,43.0
2018-05-23,45.0
2018-05-24,48.0
2018-05-25,46.0
2018-05-26,51.0
2018-05-27,48.0
2018-05-28,48.0
2018-05-29,45.0
2018-05-30,46.0
2018-05-31,54.0
2018-06-01,50.0
2018-06-02,53.0
2018-06-03,52.0
2018-06-04,46.0
2018-06-05,44.0
2018-06-06,46.0
2018-06-07,51.0
2018-06-08,47.0
2018-06-09,54.0
2018-06-10,53.0
2018-06-11,52.0
2018-06-12,47.0
2018-06-13,48.0
2018-06-14,52.0
2018-06-15,47.0
2018-06-16,50.0
2018-06-17,62.0
2018-06-18,46.0
2018-06-19,46.0
2018-06-20,45.0
2018-06-21,52.0
2018-06-22,48.0
2018-06-23,49.0
2018-06-24,51.0
2018-06-25,48.0
2018-06-26,43.0
2018-06-27,47.0
2018-06-28,55.0
2018-06-29,52.0
2018-06-30,54.0
2018-07-01,54.0
2018-07-02,46.0
2018-07-03,48.0
2018-07-04,49.0
2018-07-05,55.0
2018-07-06,48.0
2018-07-07,54.0
2018-07-08,54.0
2018-07-09,50.0
2018-07-10,52.0
2018-07-11,50.0
2018-07-12,56.0
2018-07-13,53.0
2018-07-14,60.0
2018-07-15,56.0
2018-07-16,51.0
2018-07-17,52.0
2018-07-18,51.0
2018-07-19,59.0
2018-07-20,54.0
2018-07-21,59.0
2018-07-22,61.0
2018-07-23,58.0
2018-07-24,55.0
2018-07-25,59.0
2018-07-26,67.0
2018-07-27,71.0
2018-07-28,69.0
2018-07-29,68.0
2018-07-30,65.0
2018-07-31,58.0
2018-08-01,58.0
2018-08-02,66.0
2018-08-03,59.0
2018-08-04,65.0
2018-08-05,67.0
2018-08-06,61.0
2018-08-07,60.0
2018-08-08,59.0
2018-08-09,65.0
2018-08-10,62.0
2018-08-11,64.0
2018-08-12,66.0
2018-08-13,62.0
2018-08-14,62.0
2018-08-15,59.0
2018-08-16,61.0
2018-08-17,58.0
2018-08-18,66.0
2018-08-19,62.0
2018-08-20,61.0
2018-08-21,56.0
2018-08-22,56.0
2018-08-23,68.0
2018-08-24,61.0
2018-08-25,62.0
2018-08-26,62.0
2018-08-27,58.0
2018-08-28,54.0
2018-08-29,57.0
2018-08-30,62.0
2018-08-31,60.0
2018-09-01,62.0
2018-09-02,60.0
2018-09-03,55.0
2018-09-04,53.0
2018-09-05,55.0
2018-09-06,61.0
2018-09-07,59.0
2018-09-08,68.0
2018-09-09,66.0
2018-09-10,57.0
2018-09-11,58.0
2018-09-12,59.0
2018-09-13,61.0
2018-09-14,68.0
2018-09-15,72.0
2018-09-16,74.0
2018-09-17,72.0
2018-09-18,58.0
2018-09-19,56.0
2018-09-20,65.0
2018-09-21,62.0
2018-09-22,67.0
2018-09-23,68.0
2018-09-24,64.0
2018-09-25,61.0
2018-09-26,61.0
2018-09-27,66.0
2018-09-28,60.0
2018-09-29,64.0
2018-09-30,64.0
2018-10-01,54.0
2018-10-02,55.0
2018-10-03,56.0
2018-10-04,62.0
2018-10-05,57.0
2018-10-06,63.0
2018-10-07,61.0
2018-10-08,57.0
2018-10-09,60.0
2018-10-10,58.0
2018-10-11,61.0
2018-10-12,62.0
2018-10-13,66.0
2018-10-14,63.0
2018-10-15,57.0
2018-10-16,54.0
2018-10-17,58.0
2018-10-18,62.0
2018-10-19,59.0
2018-10-20,62.0
2018-10-21,63.0
2018-10-22,54.0
2018-10-23,56.0
2018-10-24,56.0
2018-10-25,62.0
2018-10-26,56.0
2018-10-27,61.0
2018-10-28,60.0
2018-10-29,59.0
2018-10-30,60.0
2018-10-31,58.0
2018-11-01,66.0
2018-11-02,64.0
2018-11-03,65.0
2018-11-04,62.0
2018-11-05,53.0
2018-11-06,55.0
2018-11-07,55.0
2018-11-08,62.0
2018-11-09,60.0
2018-11-10,62.0
2018-11-11,60.0
2018-11-12,56.0
2018-11-13,55.0
2018-11-14,54.0
2018-11-15,62.0
2018-11-16,59.0
2018-11-17,62.0
2018-11-18,63.0
2018-11-19,54.0
2018-11-20,56.0
2018-11-21,57.0
2018-11-22,64.0
2018-11-23,60.0
2018-11-24,62.0
2018-11-25,61.0
2018-11-26,56.0
2018-11-27,55.0
2018-11-28,57.0
2018-11-29,62.0
2018-11-30,58.0
2018-12-01,62.0
2018-12-02,61.0
2018-12-03,57.0
2018-12-04,56.0
2018-12-05,57.0
2018-12-06,64.0
2018-12-07,57.0
2018-12-08,62.0
2018-12-09,61.0
2018-12-10,52.0
2018-12-11,54.0
2018-12-12,57.0
2018-12-13,60.0
2018-12-14,58.0
2018-12-15,61.0
2018-12-16,61.0
2018-12-17,54.0
2018-12-18,52.0
2018-12-19,57.0
2018-12-20,65.0
2018-12-21,57.0
2018-12-22,63.0
2018-12-23,71.0
