date,attention
2016-10-01,21.0
2016-10-02,10.0
2016-10-03,17.0
2016-10-04,51.0
2016-10-05,18.0
2016-10-06,18.0
2016-10-07,9.0
2016-10-08,10.0
2016-10-09,0.0
2016-10-10,9.0
2016-10-11,18.0
2016-10-12,18.0
2016-10-13,27.0
2016-10-14,54.0
2016-10-15,20.0
2016-10-16,10.0
2016-10-17,18.0
2016-10-18,34.0
2016-10-19,17.0
2016-10-20,18.0
2016-10-21,27.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,26.0
2016-10-25,51.0
2016-10-26,35.0
2016-10-27,26.0
2016-10-28,19.0
2016-10-29,20.0
2016-10-30,30.0
2016-10-31,36.0
2016-11-01,9.0
2016-11-02,61.0
2016-11-03,18.0
2016-11-04,9.0
2016-11-05,0.0
2016-11-06,10.0
2016-11-07,9.0
2016-11-08,0.0
2016-11-09,8.0
2016-11-10,35.0
2016-11-11,18.0
2016-11-12,6.0
2016-11-13,11.0
2016-11-14,18.0
2016-11-15,10.0
2016-11-16,18.0
2016-11-17,13.0
2016-11-18,42.0
2016-11-19,20.0
2016-11-20,5.0
2016-11-21,11.0
2016-11-22,50.0
2016-11-23,25.0
2016-11-24,0.0
2016-11-25,10.0
2016-11-26,5.0
2016-11-27,46.0
2016-11-28,33.0
2016-11-29,11.0
2016-11-30,27.0
2016-12-01,24.0
2016-12-02,45.0
2016-12-03,9.0
2016-12-04,21.0
2016-12-05,16.0
2016-12-06,59.0
2016-12-07,52.0
2016-12-08,16.0
2016-12-09,51.0
2016-12-10,32.0
2016-12-11,15.0
2016-12-12,41.0
2016-12-13,15.0
2016-12-14,25.0
2016-12-15,25.0
2016-12-16,25.0
2016-12-17,0.0
2016-12-18,10.0
2016-12-19,21.0
2016-12-20,39.0
2016-12-21,47.0
2016-12-22,10.0
2016-12-23,6.0
2016-12-24,0.0
2016-12-25,12.0
2016-12-26,9.0
2016-12-27,10.0
2016-12-28,6.0
2016-12-29,15.0
2016-12-30,27.0
2016-12-31,18.0
2017-01-01,24.0
2017-01-02,15.0
2017-01-03,34.0
2017-01-04,22.0
2017-01-05,25.0
2017-01-06,32.0
2017-01-07,39.0
2017-01-08,65.0
2017-01-09,46.0
2017-01-10,38.0
2017-01-11,66.0
2017-01-12,23.0
2017-01-13,23.0
2017-01-14,15.0
2017-01-15,4.0
2017-01-16,13.0
2017-01-17,25.0
2017-01-18,25.0
2017-01-19,42.0
2017-01-20,28.0
2017-01-21,4.0
2017-01-22,27.0
2017-01-23,9.0
2017-01-24,27.0
2017-01-25,9.0
2017-01-26,23.0
2017-01-27,8.0
2017-01-28,24.0
2017-01-29,10.0
2017-01-30,28.0
2017-01-31,21.0
2017-02-01,38.0
2017-02-02,25.0
2017-02-03,69.0
2017-02-04,27.0
2017-02-05,21.0
2017-02-06,52.0
2017-02-07,19.0
2017-02-08,25.0
2017-02-09,78.0
2017-02-10,99.0
2017-02-11,10.0
2017-02-12,18.0
2017-02-13,32.0
2017-02-14,20.0
2017-02-15,26.0
2017-02-16,41.0
2017-02-17,41.0
2017-02-18,15.0
2017-02-19,30.0
2017-02-20,22.0
2017-02-21,31.0
2017-02-22,0.0
2017-02-23,21.0
2017-02-24,44.0
2017-02-25,24.0
2017-02-26,24.0
2017-02-27,10.0
2017-02-28,41.0
2017-03-01,30.0
2017-03-02,31.0
2017-03-03,65.0
2017-03-04,24.0
2017-03-05,12.0
2017-03-06,30.0
2017-03-07,40.0
2017-03-08,42.0
2017-03-09,10.0
2017-03-10,32.0
2017-03-11,24.0
2017-03-12,11.0
2017-03-13,68.0
2017-03-14,31.0
2017-03-15,93.0
2017-03-16,85.0
2017-03-17,100.0
2017-03-18,73.0
2017-03-19,12.0
2017-03-20,74.0
2017-03-21,74.0
2017-03-22,62.0
2017-03-23,53.0
2017-03-24,55.0
2017-03-25,62.0
2017-03-26,49.0
2017-03-27,31.0
2017-03-28,52.0
2017-03-29,32.0
2017-03-30,75.0
2017-03-31,44.0
2017-04-01,12.0
2017-04-02,61.0
2017-04-03,52.0
2017-04-04,21.0
2017-04-05,10.0
2017-04-06,32.0
2017-04-07,22.0
2017-04-08,25.0
2017-04-09,12.0
2017-04-10,11.0
2017-04-11,32.0
2017-04-12,64.0
2017-04-13,44.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,33.0
2017-04-18,21.0
2017-04-19,52.0
2017-04-20,32.0
2017-04-21,22.0
2017-04-22,24.0
2017-04-23,24.0
2017-04-24,21.0
2017-04-25,32.0
2017-04-26,52.0
2017-04-27,21.0
2017-04-28,11.0
2017-04-29,12.0
2017-04-30,35.0
2017-05-01,35.0
2017-05-02,15.0
2017-05-03,21.0
2017-05-04,25.0
2017-05-05,29.0
2017-05-06,26.0
2017-05-07,10.0
2017-05-08,34.0
2017-05-09,14.0
2017-05-10,16.0
2017-05-11,18.0
2017-05-12,14.0
2017-05-13,20.0
2017-05-14,20.0
2017-05-15,61.0
2017-05-16,29.0
2017-05-17,20.0
2017-05-18,33.0
2017-05-19,33.0
2017-05-20,0.0
2017-05-21,31.0
2017-05-22,84.0
2017-05-23,15.0
2017-05-24,38.0
2017-05-25,15.0
2017-05-26,30.0
2017-05-27,11.0
2017-05-28,0.0
2017-05-29,21.0
2017-05-30,52.0
2017-05-31,29.0
2017-06-01,6.0
2017-06-02,25.0
2017-06-03,21.0
2017-06-04,15.0
2017-06-05,47.0
2017-06-06,23.0
2017-06-07,17.0
2017-06-08,11.0
2017-06-09,36.0
2017-06-10,10.0
2017-06-11,0.0
2017-06-12,23.0
2017-06-13,33.0
2017-06-14,14.0
2017-06-15,18.0
2017-06-16,15.0
2017-06-17,7.0
2017-06-18,10.0
2017-06-19,31.0
2017-06-20,17.0
2017-06-21,15.0
2017-06-22,50.0
2017-06-23,21.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,48.0
2017-06-27,12.0
2017-06-28,33.0
2017-06-29,36.0
2017-06-30,3.0
2017-07-01,35.0
2017-07-02,25.0
2017-07-03,0.0
2017-07-04,22.0
2017-07-05,18.0
2017-07-06,31.0
2017-07-07,13.0
2017-07-08,6.0
2017-07-09,21.0
2017-07-10,6.0
2017-07-11,15.0
2017-07-12,15.0
2017-07-13,48.0
2017-07-14,21.0
2017-07-15,0.0
2017-07-16,14.0
2017-07-17,26.0
2017-07-18,39.0
2017-07-19,27.0
2017-07-20,38.0
2017-07-21,31.0
2017-07-22,0.0
2017-07-23,31.0
2017-07-24,46.0
2017-07-25,9.0
2017-07-26,26.0
2017-07-27,24.0
2017-07-28,31.0
2017-07-29,6.0
2017-07-30,13.0
2017-07-31,17.0
2017-08-01,44.0
2017-08-02,39.0
2017-08-03,20.0
2017-08-04,27.0
2017-08-05,14.0
2017-08-06,20.0
2017-08-07,9.0
2017-08-08,28.0
2017-08-09,24.0
2017-08-10,19.0
2017-08-11,46.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,13.0
2017-08-15,32.0
2017-08-16,50.0
2017-08-17,13.0
2017-08-18,26.0
2017-08-19,7.0
2017-08-20,7.0
2017-08-21,6.0
2017-08-22,0.0
2017-08-23,13.0
2017-08-24,13.0
2017-08-25,20.0
2017-08-26,7.0
2017-08-27,0.0
2017-08-28,19.0
2017-08-29,13.0
2017-08-30,19.0
2017-08-31,13.0
2017-09-01,6.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,13.0
2017-09-05,6.0
2017-09-06,31.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,7.0
2017-09-10,0.0
2017-09-11,6.0
2017-09-12,18.0
2017-09-13,31.0
2017-09-14,24.0
2017-09-15,0.0
2017-09-16,14.0
2017-09-17,7.0
2017-09-18,31.0
2017-09-19,18.0
2017-09-20,24.0
2017-09-21,31.0
2017-09-22,6.0
2017-09-23,7.0
2017-09-24,7.0
2017-09-25,6.0
2017-09-26,0.0
2017-09-27,18.0
2017-09-28,13.0
2017-09-29,19.0
2017-09-30,22.0
2017-10-01,7.0
2017-10-02,0.0
2017-10-03,12.0
2017-10-04,31.0
2017-10-05,19.0
2017-10-06,6.0
2017-10-07,7.0
2017-10-08,7.0
2017-10-09,24.0
2017-10-10,12.0
2017-10-11,18.0
2017-10-12,13.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,21.0
2017-10-16,16.0
2017-10-17,3.0
2017-10-18,3.0
2017-10-19,22.0
2017-10-20,32.0
2017-10-21,4.0
2017-10-22,17.0
2017-10-23,8.0
2017-10-24,29.0
2017-10-25,25.0
2017-10-26,15.0
2017-10-27,16.0
2017-10-28,7.0
2017-10-29,7.0
2017-10-30,10.0
2017-10-31,25.0
2017-11-01,18.0
2017-11-02,6.0
2017-11-03,12.0
2017-11-04,0.0
2017-11-05,2.0
2017-11-06,16.0
2017-11-07,17.0
2017-11-08,22.0
2017-11-09,10.0
2017-11-10,13.0
2017-11-11,9.0
2017-11-12,5.0
2017-11-13,9.0
2017-11-14,0.0
2017-11-15,8.0
2017-11-16,4.0
2017-11-17,14.0
2017-11-18,2.0
2017-11-19,2.0
2017-11-20,6.0
2017-11-21,2.0
2017-11-22,13.0
2017-11-23,5.0
2017-11-24,2.0
2017-11-25,0.0
2017-11-26,5.0
2017-11-27,10.0
2017-11-28,16.0
2017-11-29,12.0
2017-11-30,16.0
2017-12-01,4.0
2017-12-02,7.0
2017-12-03,0.0
2017-12-04,0.0
2017-12-05,9.0
2017-12-06,10.0
2017-12-07,18.0
2017-12-08,12.0
2017-12-09,8.0
2017-12-10,11.0
2017-12-11,16.0
2017-12-12,11.0
2017-12-13,15.0
2017-12-14,13.0
2017-12-15,14.0
2017-12-16,17.0
2017-12-17,4.0
2017-12-18,11.0
2017-12-19,9.0
2017-12-20,5.0
2017-12-21,8.0
2017-12-22,9.0
2017-12-23,6.0
2017-12-24,3.0
2017-12-25,0.0
2017-12-26,11.0
2017-12-27,12.0
2017-12-28,18.0
2017-12-29,11.0
2017-12-30,2.0
2017-12-31,0.0
2018-01-01,6.0
2018-01-02,8.0
2018-01-03,4.0
2018-01-04,15.0
2018-01-05,5.0
2018-01-06,14.0
2018-01-07,3.0
2018-01-08,2.0
2018-01-09,18.0
2018-01-10,8.0
2018-01-11,7.0
2018-01-12,10.0
2018-01-13,10.0
2018-01-14,13.0
2018-01-15,0.0
2018-01-16,21.0
2018-01-17,9.0
2018-01-18,16.0
2018-01-19,13.0
2018-01-20,2.0
2018-01-21,18.0
2018-01-22,10.0
2018-01-23,18.0
2018-01-24,10.0
2018-01-25,8.0
2018-01-26,20.0
2018-01-27,22.0
2018-01-28,0.0
2018-01-29,19.0
2018-01-30,27.0
2018-01-31,19.0
2018-02-01,12.0
2018-02-02,8.0
2018-02-03,4.0
2018-02-04,4.0
2018-02-05,4.0
2018-02-06,12.0
2018-02-07,15.0
2018-02-08,16.0
2018-02-09,8.0
2018-02-10,0.0
2018-02-11,4.0
2018-02-12,47.0
2018-02-13,20.0
2018-02-14,15.0
2018-02-15,24.0
2018-02-16,20.0
2018-02-17,5.0
2018-02-18,4.0
2018-02-19,7.0
2018-02-20,12.0
2018-02-21,23.0
2018-02-22,8.0
2018-02-23,8.0
2018-02-24,9.0
2018-02-25,4.0
2018-02-26,11.0
2018-02-27,15.0
2018-02-28,11.0
2018-03-01,4.0
2018-03-02,8.0
2018-03-03,9.0
2018-03-04,0.0
2018-03-05,11.0
2018-03-06,15.0
2018-03-07,15.0
2018-03-08,15.0
2018-03-09,8.0
2018-03-10,9.0
2018-03-11,8.0
2018-03-12,15.0
2018-03-13,30.0
2018-03-14,19.0
2018-03-15,15.0
2018-03-16,8.0
2018-03-17,4.0
2018-03-18,4.0
2018-03-19,15.0
2018-03-20,23.0
2018-03-21,7.0
2018-03-22,19.0
2018-03-23,24.0
2018-03-24,14.0
2018-03-25,18.0
2018-03-26,35.0
2018-03-27,27.0
2018-03-28,12.0
2018-03-29,20.0
2018-03-30,5.0
2018-03-31,9.0
2018-04-01,0.0
2018-04-02,29.0
2018-04-03,17.0
2018-04-04,20.0
2018-04-05,15.0
2018-04-06,32.0
2018-04-07,14.0
2018-04-08,8.0
2018-04-09,9.0
2018-04-10,18.0
2018-04-11,15.0
2018-04-12,26.0
2018-04-13,12.0
2018-04-14,5.0
2018-04-15,3.0
2018-04-16,6.0
2018-04-17,20.0
2018-04-18,21.0
2018-04-19,7.0
2018-04-20,12.0
2018-04-21,0.0
2018-04-22,8.0
2018-04-23,8.0
2018-04-24,13.0
2018-04-25,10.0
2018-04-26,7.0
2018-04-27,5.0
2018-04-28,14.0
2018-04-29,3.0
2018-04-30,6.0
2018-05-01,22.0
2018-05-02,19.0
2018-05-03,11.0
2018-05-04,12.0
2018-05-05,0.0
2018-05-06,8.0
2018-05-07,23.0
2018-05-08,16.0
2018-05-09,11.0
2018-05-10,11.0
2018-05-11,8.0
2018-05-12,18.0
2018-05-13,3.0
2018-05-14,12.0
2018-05-15,14.0
2018-05-16,0.0
2018-05-17,9.0
2018-05-18,8.0
2018-05-19,8.0
2018-05-20,17.0
2018-05-21,5.0
2018-05-22,23.0
2018-05-23,21.0
2018-05-24,17.0
2018-05-25,9.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,8.0
2018-05-29,15.0
2018-05-30,18.0
2018-05-31,6.0
2018-06-01,8.0
2018-06-02,11.0
2018-06-03,2.0
2018-06-04,16.0
2018-06-05,4.0
2018-06-06,2.0
2018-06-07,7.0
2018-06-08,18.0
2018-06-09,8.0
2018-06-10,9.0
2018-06-11,9.0
2018-06-12,13.0
2018-06-13,15.0
2018-06-14,18.0
2018-06-15,8.0
2018-06-16,3.0
2018-06-17,6.0
2018-06-18,20.0
2018-06-19,14.0
2018-06-20,4.0
2018-06-21,11.0
2018-06-22,14.0
2018-06-23,3.0
2018-06-24,8.0
2018-06-25,22.0
2018-06-26,9.0
2018-06-27,22.0
