date,attention
2016-10-01,7.0
2016-10-02,19.0
2016-10-03,27.0
2016-10-04,38.0
2016-10-05,43.0
2016-10-06,30.0
2016-10-07,25.0
2016-10-08,3.0
2016-10-09,5.0
2016-10-10,28.0
2016-10-11,37.0
2016-10-12,26.0
2016-10-13,43.0
2016-10-14,53.0
2016-10-15,17.0
2016-10-16,19.0
2016-10-17,39.0
2016-10-18,31.0
2016-10-19,29.0
2016-10-20,49.0
2016-10-21,18.0
2016-10-22,17.0
2016-10-23,19.0
2016-10-24,49.0
2016-10-25,42.0
2016-10-26,23.0
2016-10-27,32.0
2016-10-28,27.0
2016-10-29,33.0
2016-10-30,7.0
2016-10-31,30.0
2016-11-01,42.0
2016-11-02,28.0
2016-11-03,41.0
2016-11-04,17.0
2016-11-05,5.0
2016-11-06,9.0
2016-11-07,38.0
2016-11-08,25.0
2016-11-09,23.0
2016-11-10,32.0
2016-11-11,36.0
2016-11-12,10.0
2016-11-13,13.0
2016-11-14,30.0
2016-11-15,43.0
2016-11-16,39.0
2016-11-17,28.0
2016-11-18,26.0
2016-11-19,10.0
2016-11-20,31.0
2016-11-21,34.0
2016-11-22,38.0
2016-11-23,26.0
2016-11-24,21.0
2016-11-25,29.0
2016-11-26,15.0
2016-11-27,11.0
2016-11-28,33.0
2016-11-29,37.0
2016-11-30,42.0
2016-12-01,40.0
2016-12-02,31.0
2016-12-03,17.0
2016-12-04,11.0
2016-12-05,34.0
2016-12-06,31.0
2016-12-07,45.0
2016-12-08,44.0
2016-12-09,43.0
2016-12-10,14.0
2016-12-11,15.0
2016-12-12,39.0
2016-12-13,33.0
2016-12-14,31.0
2016-12-15,25.0
2016-12-16,38.0
2016-12-17,16.0
2016-12-18,8.0
2016-12-19,19.0
2016-12-20,42.0
2016-12-21,34.0
2016-12-22,22.0
2016-12-23,19.0
2016-12-24,12.0
2016-12-25,7.0
2016-12-26,13.0
2016-12-27,22.0
2016-12-28,25.0
2016-12-29,16.0
2016-12-30,30.0
2016-12-31,13.0
2017-01-01,11.0
2017-01-02,27.0
2017-01-03,27.0
2017-01-04,27.0
2017-01-05,22.0
2017-01-06,28.0
2017-01-07,11.0
2017-01-08,8.0
2017-01-09,37.0
2017-01-10,25.0
2017-01-11,28.0
2017-01-12,27.0
2017-01-13,20.0
2017-01-14,12.0
2017-01-15,13.0
2017-01-16,27.0
2017-01-17,28.0
