date,attention
2016-10-01,57.0
2016-10-02,58.0
2016-10-03,74.0
2016-10-04,72.0
2016-10-05,71.0
2016-10-06,66.0
2016-10-07,62.0
2016-10-08,49.0
2016-10-09,61.0
2016-10-10,71.0
2016-10-11,70.0
2016-10-12,69.0
2016-10-13,67.0
2016-10-14,71.0
2016-10-15,57.0
2016-10-16,60.0
2016-10-17,69.0
2016-10-18,66.0
2016-10-19,64.0
2016-10-20,66.0
2016-10-21,71.0
2016-10-22,54.0
2016-10-23,55.0
2016-10-24,71.0
2016-10-25,63.0
2016-10-26,68.0
2016-10-27,66.0
2016-10-28,72.0
2016-10-29,52.0
2016-10-30,58.0
2016-10-31,68.0
2016-11-01,63.0
2016-11-02,73.0
2016-11-03,71.0
2016-11-04,66.0
2016-11-05,56.0
2016-11-06,64.0
2016-11-07,67.0
2016-11-08,70.0
2016-11-09,56.0
2016-11-10,61.0
2016-11-11,66.0
2016-11-12,49.0
2016-11-13,63.0
2016-11-14,67.0
2016-11-15,71.0
2016-11-16,66.0
2016-11-17,67.0
2016-11-18,70.0
2016-11-19,53.0
2016-11-20,64.0
2016-11-21,67.0
2016-11-22,67.0
2016-11-23,66.0
2016-11-24,67.0
2016-11-25,66.0
2016-11-26,55.0
2016-11-27,61.0
2016-11-28,68.0
2016-11-29,66.0
2016-11-30,68.0
2016-12-01,67.0
2016-12-02,73.0
2016-12-03,57.0
2016-12-04,59.0
2016-12-05,71.0
2016-12-06,65.0
2016-12-07,66.0
2016-12-08,65.0
2016-12-09,70.0
2016-12-10,56.0
2016-12-11,66.0
2016-12-12,67.0
2016-12-13,72.0
2016-12-14,68.0
2016-12-15,67.0
2016-12-16,71.0
2016-12-17,55.0
2016-12-18,61.0
2016-12-19,65.0
2016-12-20,67.0
2016-12-21,66.0
2016-12-22,64.0
2016-12-23,61.0
2016-12-24,45.0
2016-12-25,51.0
2016-12-26,54.0
2016-12-27,62.0
2016-12-28,64.0
2016-12-29,58.0
2016-12-30,59.0
2016-12-31,46.0
2017-01-01,49.0
2017-01-02,65.0
2017-01-03,66.0
2017-01-04,68.0
2017-01-05,65.0
2017-01-06,65.0
2017-01-07,54.0
2017-01-08,61.0
2017-01-09,67.0
2017-01-10,65.0
2017-01-11,68.0
2017-01-12,69.0
2017-01-13,70.0
2017-01-14,53.0
2017-01-15,63.0
2017-01-16,72.0
2017-01-17,72.0
2017-01-18,68.0
2017-01-19,67.0
2017-01-20,63.0
2017-01-21,52.0
2017-01-22,56.0
2017-01-23,65.0
2017-01-24,63.0
2017-01-25,63.0
2017-01-26,62.0
2017-01-27,59.0
2017-01-28,49.0
2017-01-29,56.0
2017-01-30,66.0
2017-01-31,63.0
2017-02-01,61.0
2017-02-02,66.0
2017-02-03,63.0
2017-02-04,53.0
2017-02-05,58.0
2017-02-06,68.0
2017-02-07,67.0
2017-02-08,63.0
2017-02-09,64.0
2017-02-10,65.0
2017-02-11,48.0
2017-02-12,57.0
2017-02-13,65.0
2017-02-14,62.0
2017-02-15,64.0
2017-02-16,68.0
2017-02-17,65.0
2017-02-18,50.0
2017-02-19,59.0
2017-02-20,69.0
2017-02-21,62.0
