date,attention
2017-01-01,21.0
2017-01-02,32.0
2017-01-03,43.0
2017-01-04,28.0
2017-01-05,23.0
2017-01-06,25.0
2017-01-07,18.0
2017-01-08,20.0
2017-01-09,31.0
2017-01-10,41.0
2017-01-11,28.0
2017-01-12,25.0
2017-01-13,24.0
2017-01-14,26.0
2017-01-15,27.0
2017-01-16,25.0
2017-01-17,33.0
2017-01-18,24.0
2017-01-19,45.0
2017-01-20,38.0
2017-01-21,16.0
2017-01-22,20.0
2017-01-23,20.0
2017-01-24,25.0
2017-01-25,20.0
2017-01-26,17.0
2017-01-27,30.0
2017-01-28,23.0
2017-01-29,24.0
2017-01-30,22.0
2017-01-31,31.0
2017-02-01,13.0
2017-02-02,29.0
2017-02-03,22.0
2017-02-04,26.0
2017-02-05,17.0
2017-02-06,29.0
2017-02-07,35.0
2017-02-08,31.0
2017-02-09,50.0
2017-02-10,22.0
2017-02-11,23.0
2017-02-12,17.0
2017-02-13,28.0
2017-02-14,30.0
2017-02-15,30.0
2017-02-16,28.0
2017-02-17,43.0
2017-02-18,37.0
2017-02-19,26.0
2017-02-20,22.0
2017-02-21,17.0
2017-02-22,35.0
2017-02-23,41.0
2017-02-24,32.0
2017-02-25,22.0
2017-02-26,27.0
2017-02-27,21.0
2017-02-28,28.0
2017-03-01,27.0
2017-03-02,23.0
2017-03-03,29.0
2017-03-04,16.0
2017-03-05,31.0
2017-03-06,25.0
2017-03-07,25.0
2017-03-08,30.0
2017-03-09,25.0
2017-03-10,24.0
2017-03-11,17.0
2017-03-12,18.0
2017-03-13,48.0
2017-03-14,18.0
2017-03-15,33.0
2017-03-16,31.0
2017-03-17,35.0
2017-03-18,19.0
2017-03-19,30.0
2017-03-20,42.0
2017-03-21,32.0
2017-03-22,28.0
2017-03-23,26.0
2017-03-24,36.0
2017-03-25,11.0
2017-03-26,11.0
2017-03-27,54.0
2017-03-28,28.0
2017-03-29,48.0
2017-03-30,35.0
2017-03-31,37.0
2017-04-01,19.0
2017-04-02,35.0
2017-04-03,42.0
2017-04-04,19.0
2017-04-05,28.0
2017-04-06,24.0
2017-04-07,27.0
2017-04-08,22.0
2017-04-09,11.0
2017-04-10,38.0
2017-04-11,28.0
2017-04-12,29.0
2017-04-13,10.0
2017-04-14,38.0
2017-04-15,17.0
2017-04-16,25.0
2017-04-17,17.0
2017-04-18,37.0
2017-04-19,16.0
2017-04-20,28.0
2017-04-21,27.0
2017-04-22,38.0
2017-04-23,24.0
2017-04-24,23.0
2017-04-25,33.0
2017-04-26,28.0
2017-04-27,35.0
2017-04-28,39.0
2017-04-29,14.0
2017-04-30,19.0
2017-05-01,30.0
2017-05-02,33.0
2017-05-03,27.0
2017-05-04,29.0
2017-05-05,41.0
2017-05-06,24.0
2017-05-07,22.0
2017-05-08,31.0
2017-05-09,40.0
2017-05-10,40.0
2017-05-11,50.0
2017-05-12,30.0
2017-05-13,25.0
2017-05-14,34.0
2017-05-15,41.0
2017-05-16,37.0
2017-05-17,49.0
2017-05-18,53.0
2017-05-19,35.0
2017-05-20,19.0
2017-05-21,23.0
2017-05-22,44.0
2017-05-23,58.0
2017-05-24,45.0
2017-05-25,53.0
2017-05-26,34.0
2017-05-27,17.0
2017-05-28,37.0
2017-05-29,26.0
2017-05-30,41.0
2017-05-31,39.0
2017-06-01,32.0
2017-06-02,29.0
2017-06-03,16.0
2017-06-04,35.0
2017-06-05,36.0
2017-06-06,32.0
2017-06-07,23.0
2017-06-08,22.0
2017-06-09,33.0
2017-06-10,35.0
2017-06-11,25.0
2017-06-12,49.0
2017-06-13,38.0
2017-06-14,43.0
2017-06-15,24.0
2017-06-16,37.0
2017-06-17,26.0
2017-06-18,12.0
2017-06-19,34.0
2017-06-20,34.0
2017-06-21,34.0
2017-06-22,22.0
2017-06-23,23.0
2017-06-24,35.0
2017-06-25,24.0
2017-06-26,38.0
2017-06-27,30.0
2017-06-28,40.0
2017-06-29,31.0
2017-06-30,42.0
2017-07-01,30.0
2017-07-02,22.0
2017-07-03,22.0
2017-07-04,20.0
2017-07-05,30.0
2017-07-06,31.0
2017-07-07,22.0
2017-07-08,19.0
2017-07-09,16.0
2017-07-10,32.0
2017-07-11,34.0
2017-07-12,34.0
2017-07-13,30.0
2017-07-14,31.0
2017-07-15,11.0
2017-07-16,19.0
2017-07-17,23.0
2017-07-18,36.0
2017-07-19,34.0
2017-07-20,31.0
2017-07-21,33.0
2017-07-22,10.0
2017-07-23,33.0
2017-07-24,26.0
2017-07-25,25.0
2017-07-26,27.0
2017-07-27,37.0
2017-07-28,26.0
2017-07-29,9.0
2017-07-30,21.0
2017-07-31,22.0
2017-08-01,23.0
2017-08-02,27.0
2017-08-03,36.0
2017-08-04,36.0
2017-08-05,22.0
2017-08-06,19.0
2017-08-07,30.0
2017-08-08,30.0
2017-08-09,35.0
2017-08-10,25.0
2017-08-11,29.0
2017-08-12,18.0
2017-08-13,21.0
2017-08-14,28.0
2017-08-15,34.0
2017-08-16,25.0
2017-08-17,46.0
2017-08-18,29.0
2017-08-19,29.0
2017-08-20,29.0
2017-08-21,10.0
2017-08-22,37.0
2017-08-23,25.0
2017-08-24,33.0
2017-08-25,29.0
2017-08-26,24.0
2017-08-27,11.0
2017-08-28,20.0
2017-08-29,22.0
2017-08-30,33.0
2017-08-31,20.0
2017-09-01,32.0
2017-09-02,12.0
2017-09-03,12.0
2017-09-04,16.0
2017-09-05,15.0
2017-09-06,19.0
2017-09-07,13.0
2017-09-08,28.0
2017-09-09,26.0
2017-09-10,23.0
2017-09-11,31.0
2017-09-12,49.0
2017-09-13,27.0
2017-09-14,17.0
2017-09-15,39.0
2017-09-16,11.0
2017-09-17,87.0
2017-09-18,100.0
2017-09-19,80.0
2017-09-20,71.0
2017-09-21,54.0
2017-09-22,54.0
2017-09-23,26.0
2017-09-24,36.0
2017-09-25,17.0
2017-09-26,44.0
2017-09-27,54.0
2017-09-28,32.0
2017-09-29,44.0
2017-09-30,26.0
2017-10-01,34.0
2017-10-02,27.0
2017-10-03,34.0
2017-10-04,41.0
2017-10-05,47.0
2017-10-06,36.0
2017-10-07,8.0
2017-10-08,45.0
2017-10-09,29.0
2017-10-10,38.0
2017-10-11,34.0
2017-10-12,27.0
2017-10-13,44.0
2017-10-14,23.0
2017-10-15,14.0
2017-10-16,29.0
2017-10-17,30.0
2017-10-18,35.0
2017-10-19,28.0
2017-10-20,38.0
2017-10-21,28.0
2017-10-22,18.0
2017-10-23,32.0
2017-10-24,43.0
2017-10-25,46.0
2017-10-26,31.0
2017-10-27,30.0
2017-10-28,21.0
2017-10-29,26.0
2017-10-30,32.0
2017-10-31,22.0
2017-11-01,32.0
2017-11-02,19.0
2017-11-03,27.0
2017-11-04,21.0
2017-11-05,37.0
2017-11-06,36.0
2017-11-07,39.0
2017-11-08,57.0
2017-11-09,32.0
2017-11-10,24.0
2017-11-11,23.0
2017-11-12,26.0
2017-11-13,24.0
2017-11-14,29.0
2017-11-15,31.0
2017-11-16,35.0
2017-11-17,29.0
2017-11-18,17.0
2017-11-19,24.0
2017-11-20,21.0
2017-11-21,31.0
2017-11-22,28.0
2017-11-23,25.0
2017-11-24,26.0
2017-11-25,21.0
2017-11-26,24.0
2017-11-27,31.0
2017-11-28,29.0
