date,attention
2016-10-01,98.0
2016-10-02,95.0
2016-10-03,86.0
2016-10-04,82.0
2016-10-05,83.0
2016-10-06,82.0
2016-10-07,86.0
2016-10-08,97.0
2016-10-09,94.0
2016-10-10,83.0
2016-10-11,83.0
2016-10-12,84.0
2016-10-13,81.0
2016-10-14,86.0
2016-10-15,98.0
2016-10-16,90.0
2016-10-17,82.0
2016-10-18,83.0
2016-10-19,81.0
2016-10-20,83.0
2016-10-21,85.0
2016-10-22,94.0
2016-10-23,92.0
2016-10-24,83.0
2016-10-25,83.0
2016-10-26,81.0
2016-10-27,85.0
2016-10-28,86.0
2016-10-29,95.0
2016-10-30,91.0
2016-10-31,84.0
2016-11-01,82.0
2016-11-02,85.0
2016-11-03,83.0
2016-11-04,85.0
2016-11-05,93.0
2016-11-06,90.0
2016-11-07,78.0
2016-11-08,78.0
2016-11-09,74.0
2016-11-10,81.0
2016-11-11,78.0
2016-11-12,90.0
2016-11-13,87.0
2016-11-14,79.0
2016-11-15,78.0
2016-11-16,80.0
2016-11-17,79.0
2016-11-18,80.0
2016-11-19,90.0
2016-11-20,88.0
2016-11-21,79.0
2016-11-22,79.0
2016-11-23,78.0
2016-11-24,81.0
2016-11-25,81.0
2016-11-26,89.0
2016-11-27,85.0
2016-11-28,76.0
2016-11-29,73.0
2016-11-30,76.0
2016-12-01,78.0
2016-12-02,83.0
2016-12-03,94.0
2016-12-04,88.0
2016-12-05,75.0
2016-12-06,80.0
2016-12-07,79.0
2016-12-08,83.0
2016-12-09,86.0
2016-12-10,92.0
2016-12-11,89.0
2016-12-12,81.0
2016-12-13,80.0
2016-12-14,79.0
2016-12-15,82.0
2016-12-16,86.0
2016-12-17,94.0
2016-12-18,89.0
2016-12-19,82.0
2016-12-20,82.0
2016-12-21,88.0
2016-12-22,86.0
2016-12-23,87.0
2016-12-24,96.0
2016-12-25,100.0
2016-12-26,87.0
2016-12-27,84.0
2016-12-28,85.0
2016-12-29,85.0
2016-12-30,87.0
2016-12-31,100.0
2017-01-01,97.0
2017-01-02,86.0
2017-01-03,80.0
2017-01-04,82.0
2017-01-05,83.0
2017-01-06,83.0
2017-01-07,89.0
2017-01-08,87.0
2017-01-09,78.0
2017-01-10,79.0
2017-01-11,78.0
2017-01-12,79.0
2017-01-13,81.0
2017-01-14,88.0
2017-01-15,87.0
2017-01-16,78.0
2017-01-17,78.0
2017-01-18,76.0
2017-01-19,76.0
2017-01-20,79.0
2017-01-21,89.0
2017-01-22,85.0
2017-01-23,76.0
2017-01-24,77.0
2017-01-25,77.0
2017-01-26,78.0
2017-01-27,83.0
2017-01-28,87.0
2017-01-29,85.0
2017-01-30,75.0
2017-01-31,76.0
2017-02-01,76.0
2017-02-02,79.0
2017-02-03,81.0
2017-02-04,87.0
2017-02-05,85.0
2017-02-06,76.0
2017-02-07,75.0
2017-02-08,76.0
2017-02-09,78.0
2017-02-10,82.0
2017-02-11,90.0
2017-02-12,85.0
2017-02-13,75.0
2017-02-14,79.0
2017-02-15,80.0
2017-02-16,76.0
2017-02-17,76.0
2017-02-18,87.0
2017-02-19,87.0
2017-02-20,77.0
2017-02-21,77.0
2017-02-22,76.0
2017-02-23,75.0
2017-02-24,81.0
2017-02-25,85.0
2017-02-26,84.0
2017-02-27,75.0
2017-02-28,75.0
2017-03-01,72.0
2017-03-02,77.0
2017-03-03,77.0
2017-03-04,83.0
2017-03-05,83.0
2017-03-06,73.0
2017-03-07,73.0
2017-03-08,75.0
2017-03-09,76.0
2017-03-10,76.0
2017-03-11,83.0
2017-03-12,80.0
2017-03-13,70.0
2017-03-14,75.0
2017-03-15,74.0
2017-03-16,72.0
2017-03-17,77.0
2017-03-18,85.0
2017-03-19,83.0
2017-03-20,73.0
2017-03-21,75.0
2017-03-22,76.0
2017-03-23,76.0
2017-03-24,79.0
2017-03-25,85.0
2017-03-26,83.0
2017-03-27,74.0
2017-03-28,76.0
2017-03-29,77.0
2017-03-30,76.0
2017-03-31,78.0
2017-04-01,85.0
2017-04-02,82.0
2017-04-03,75.0
2017-04-04,74.0
2017-04-05,75.0
2017-04-06,75.0
2017-04-07,76.0
2017-04-08,88.0
2017-04-09,82.0
2017-04-10,74.0
2017-04-11,78.0
2017-04-12,76.0
2017-04-13,80.0
2017-04-14,86.0
2017-04-15,85.0
2017-04-16,85.0
2017-04-17,79.0
2017-04-18,76.0
2017-04-19,72.0
2017-04-20,76.0
2017-04-21,77.0
2017-04-22,84.0
2017-04-23,84.0
2017-04-24,73.0
2017-04-25,74.0
2017-04-26,74.0
2017-04-27,77.0
2017-04-28,80.0
2017-04-29,83.0
2017-04-30,83.0
2017-05-01,78.0
2017-05-02,75.0
2017-05-03,76.0
2017-05-04,74.0
2017-05-05,76.0
2017-05-06,81.0
2017-05-07,81.0
2017-05-08,74.0
2017-05-09,73.0
2017-05-10,71.0
2017-05-11,76.0
2017-05-12,76.0
2017-05-13,85.0
2017-05-14,82.0
2017-05-15,75.0
2017-05-16,74.0
2017-05-17,72.0
2017-05-18,73.0
2017-05-19,74.0
2017-05-20,80.0
2017-05-21,81.0
2017-05-22,74.0
2017-05-23,73.0
2017-05-24,74.0
2017-05-25,76.0
2017-05-26,79.0
2017-05-27,85.0
2017-05-28,83.0
2017-05-29,76.0
2017-05-30,72.0
2017-05-31,72.0
2017-06-01,75.0
2017-06-02,75.0
2017-06-03,82.0
2017-06-04,77.0
2017-06-05,72.0
2017-06-06,73.0
2017-06-07,72.0
2017-06-08,71.0
2017-06-09,74.0
2017-06-10,84.0
2017-06-11,80.0
2017-06-12,72.0
2017-06-13,73.0
2017-06-14,74.0
2017-06-15,74.0
2017-06-16,77.0
2017-06-17,82.0
2017-06-18,81.0
2017-06-19,73.0
2017-06-20,70.0
2017-06-21,70.0
2017-06-22,69.0
2017-06-23,70.0
2017-06-24,79.0
2017-06-25,76.0
2017-06-26,72.0
2017-06-27,72.0
2017-06-28,73.0
2017-06-29,73.0
2017-06-30,73.0
2017-07-01,80.0
2017-07-02,79.0
2017-07-03,73.0
2017-07-04,75.0
2017-07-05,74.0
2017-07-06,74.0
2017-07-07,74.0
2017-07-08,80.0
2017-07-09,78.0
2017-07-10,72.0
2017-07-11,70.0
2017-07-12,70.0
2017-07-13,72.0
2017-07-14,71.0
2017-07-15,79.0
2017-07-16,76.0
2017-07-17,69.0
2017-07-18,70.0
2017-07-19,69.0
2017-07-20,68.0
2017-07-21,69.0
2017-07-22,76.0
2017-07-23,75.0
2017-07-24,66.0
2017-07-25,68.0
2017-07-26,68.0
2017-07-27,68.0
2017-07-28,69.0
2017-07-29,77.0
2017-07-30,74.0
2017-07-31,68.0
2017-08-01,64.0
2017-08-02,63.0
2017-08-03,66.0
2017-08-04,67.0
2017-08-05,73.0
2017-08-06,77.0
2017-08-07,67.0
2017-08-08,63.0
2017-08-09,64.0
2017-08-10,65.0
2017-08-11,65.0
2017-08-12,72.0
2017-08-13,75.0
2017-08-14,65.0
2017-08-15,67.0
2017-08-16,63.0
2017-08-17,66.0
2017-08-18,66.0
2017-08-19,76.0
2017-08-20,74.0
2017-08-21,65.0
2017-08-22,63.0
2017-08-23,66.0
2017-08-24,63.0
2017-08-25,65.0
2017-08-26,79.0
2017-08-27,73.0
2017-08-28,65.0
2017-08-29,65.0
2017-08-30,65.0
2017-08-31,67.0
2017-09-01,69.0
2017-09-02,75.0
2017-09-03,73.0
2017-09-04,65.0
2017-09-05,64.0
2017-09-06,64.0
2017-09-07,62.0
2017-09-08,65.0
