date,attention
2017-01-01,24.0
2017-01-02,22.0
2017-01-03,36.0
2017-01-04,45.0
2017-01-05,89.0
2017-01-06,68.0
2017-01-07,15.0
2017-01-08,25.0
2017-01-09,51.0
2017-01-10,66.0
2017-01-11,60.0
2017-01-12,51.0
2017-01-13,49.0
2017-01-14,17.0
2017-01-15,6.0
2017-01-16,39.0
2017-01-17,46.0
2017-01-18,38.0
2017-01-19,65.0
2017-01-20,60.0
2017-01-21,20.0
2017-01-22,35.0
2017-01-23,48.0
2017-01-24,62.0
2017-01-25,17.0
2017-01-26,63.0
2017-01-27,76.0
2017-01-28,20.0
2017-01-29,20.0
2017-01-30,59.0
2017-01-31,52.0
2017-02-01,47.0
2017-02-02,59.0
2017-02-03,32.0
2017-02-04,32.0
2017-02-05,31.0
2017-02-06,61.0
2017-02-07,75.0
2017-02-08,61.0
2017-02-09,70.0
2017-02-10,51.0
2017-02-11,20.0
2017-02-12,28.0
2017-02-13,37.0
2017-02-14,56.0
2017-02-15,49.0
2017-02-16,52.0
2017-02-17,25.0
2017-02-18,35.0
2017-02-19,12.0
2017-02-20,28.0
2017-02-21,65.0
2017-02-22,58.0
2017-02-23,55.0
2017-02-24,100.0
2017-02-25,20.0
2017-02-26,19.0
2017-02-27,37.0
2017-02-28,90.0
2017-03-01,49.0
2017-03-02,43.0
2017-03-03,70.0
2017-03-04,54.0
2017-03-05,34.0
2017-03-06,78.0
2017-03-07,48.0
2017-03-08,74.0
2017-03-09,51.0
2017-03-10,61.0
2017-03-11,8.0
2017-03-12,26.0
2017-03-13,52.0
2017-03-14,68.0
2017-03-15,52.0
2017-03-16,92.0
2017-03-17,80.0
2017-03-18,40.0
2017-03-19,39.0
2017-03-20,55.0
2017-03-21,72.0
2017-03-22,82.0
2017-03-23,45.0
2017-03-24,67.0
2017-03-25,52.0
2017-03-26,35.0
2017-03-27,69.0
2017-03-28,44.0
2017-03-29,70.0
2017-03-30,45.0
2017-03-31,51.0
2017-04-01,31.0
2017-04-02,14.0
2017-04-03,44.0
2017-04-04,44.0
2017-04-05,36.0
2017-04-06,51.0
2017-04-07,67.0
2017-04-08,20.0
2017-04-09,20.0
2017-04-10,47.0
2017-04-11,61.0
2017-04-12,75.0
2017-04-13,81.0
2017-04-14,58.0
2017-04-15,12.0
2017-04-16,20.0
2017-04-17,44.0
2017-04-18,36.0
2017-04-19,57.0
2017-04-20,48.0
2017-04-21,61.0
2017-04-22,28.0
2017-04-23,25.0
2017-04-24,57.0
2017-04-25,75.0
2017-04-26,52.0
2017-04-27,55.0
2017-04-28,51.0
2017-04-29,34.0
2017-04-30,12.0
2017-05-01,55.0
2017-05-02,40.0
2017-05-03,49.0
2017-05-04,67.0
2017-05-05,41.0
2017-05-06,12.0
2017-05-07,40.0
2017-05-08,22.0
2017-05-09,54.0
2017-05-10,41.0
2017-05-11,52.0
2017-05-12,43.0
2017-05-13,32.0
2017-05-14,16.0
2017-05-15,39.0
2017-05-16,51.0
2017-05-17,68.0
2017-05-18,73.0
2017-05-19,44.0
2017-05-20,43.0
2017-05-21,21.0
2017-05-22,60.0
2017-05-23,58.0
2017-05-24,48.0
2017-05-25,43.0
2017-05-26,37.0
2017-05-27,42.0
2017-05-28,18.0
2017-05-29,36.0
2017-05-30,49.0
2017-05-31,69.0
2017-06-01,73.0
2017-06-02,65.0
2017-06-03,19.0
2017-06-04,30.0
2017-06-05,47.0
2017-06-06,74.0
2017-06-07,55.0
2017-06-08,45.0
2017-06-09,51.0
2017-06-10,39.0
2017-06-11,32.0
2017-06-12,48.0
2017-06-13,62.0
2017-06-14,53.0
2017-06-15,63.0
2017-06-16,51.0
2017-06-17,48.0
2017-06-18,25.0
2017-06-19,57.0
2017-06-20,38.0
2017-06-21,36.0
2017-06-22,35.0
2017-06-23,41.0
2017-06-24,34.0
2017-06-25,32.0
2017-06-26,46.0
2017-06-27,61.0
2017-06-28,48.0
2017-06-29,48.0
2017-06-30,59.0
2017-07-01,15.0
2017-07-02,13.0
2017-07-03,51.0
2017-07-04,38.0
2017-07-05,40.0
2017-07-06,43.0
2017-07-07,50.0
2017-07-08,43.0
2017-07-09,5.0
2017-07-10,39.0
2017-07-11,39.0
2017-07-12,43.0
2017-07-13,37.0
2017-07-14,23.0
2017-07-15,47.0
2017-07-16,39.0
2017-07-17,37.0
2017-07-18,58.0
2017-07-19,25.0
2017-07-20,29.0
2017-07-21,60.0
2017-07-22,21.0
2017-07-23,25.0
2017-07-24,39.0
2017-07-25,39.0
2017-07-26,57.0
2017-07-27,69.0
2017-07-28,53.0
2017-07-29,50.0
2017-07-30,8.0
2017-07-31,39.0
2017-08-01,31.0
2017-08-02,38.0
2017-08-03,45.0
2017-08-04,33.0
2017-08-05,21.0
2017-08-06,33.0
2017-08-07,35.0
2017-08-08,30.0
2017-08-09,56.0
2017-08-10,51.0
2017-08-11,76.0
2017-08-12,28.0
2017-08-13,21.0
2017-08-14,39.0
2017-08-15,25.0
2017-08-16,49.0
2017-08-17,68.0
2017-08-18,54.0
2017-08-19,16.0
2017-08-20,16.0
2017-08-21,41.0
2017-08-22,41.0
2017-08-23,49.0
2017-08-24,32.0
2017-08-25,25.0
2017-08-26,37.0
2017-08-27,32.0
2017-08-28,39.0
2017-08-29,72.0
2017-08-30,42.0
2017-08-31,49.0
2017-09-01,78.0
2017-09-02,54.0
2017-09-03,33.0
2017-09-04,33.0
2017-09-05,62.0
2017-09-06,58.0
2017-09-07,39.0
2017-09-08,54.0
2017-09-09,23.0
2017-09-10,16.0
2017-09-11,61.0
2017-09-12,31.0
2017-09-13,51.0
2017-09-14,48.0
2017-09-15,58.0
2017-09-16,50.0
2017-09-17,24.0
2017-09-18,43.0
2017-09-19,36.0
2017-09-20,42.0
2017-09-21,41.0
2017-09-22,43.0
2017-09-23,36.0
2017-09-24,24.0
2017-09-25,36.0
2017-09-26,51.0
2017-09-27,51.0
2017-09-28,34.0
2017-09-29,40.0
2017-09-30,28.0
2017-10-01,6.0
2017-10-02,42.0
2017-10-03,55.0
2017-10-04,39.0
2017-10-05,34.0
2017-10-06,35.0
2017-10-07,23.0
2017-10-08,13.0
2017-10-09,30.0
2017-10-10,56.0
2017-10-11,36.0
2017-10-12,51.0
2017-10-13,50.0
2017-10-14,23.0
2017-10-15,12.0
2017-10-16,36.0
2017-10-17,37.0
2017-10-18,53.0
2017-10-19,28.0
2017-10-20,47.0
2017-10-21,29.0
2017-10-22,20.0
2017-10-23,41.0
2017-10-24,26.0
2017-10-25,36.0
2017-10-26,48.0
2017-10-27,18.0
2017-10-28,36.0
2017-10-29,21.0
2017-10-30,32.0
2017-10-31,32.0
2017-11-01,50.0
2017-11-02,37.0
2017-11-03,40.0
2017-11-04,58.0
2017-11-05,22.0
2017-11-06,54.0
2017-11-07,39.0
2017-11-08,31.0
2017-11-09,52.0
2017-11-10,54.0
2017-11-11,22.0
2017-11-12,18.0
2017-11-13,23.0
2017-11-14,39.0
2017-11-15,36.0
2017-11-16,57.0
2017-11-17,49.0
2017-11-18,38.0
2017-11-19,25.0
2017-11-20,39.0
2017-11-21,33.0
2017-11-22,48.0
2017-11-23,21.0
2017-11-24,44.0
2017-11-25,26.0
2017-11-26,20.0
2017-11-27,35.0
2017-11-28,54.0
2017-11-29,41.0
2017-11-30,30.0
2017-12-01,47.0
2017-12-02,39.0
2017-12-03,17.0
2017-12-04,33.0
2017-12-05,21.0
2017-12-06,30.0
2017-12-07,63.0
2017-12-08,58.0
2017-12-09,46.0
2017-12-10,22.0
2017-12-11,43.0
2017-12-12,78.0
2017-12-13,63.0
2017-12-14,73.0
2017-12-15,62.0
2017-12-16,30.0
2017-12-17,45.0
2017-12-18,64.0
2017-12-19,68.0
2017-12-20,91.0
2017-12-21,83.0
2017-12-22,63.0
2017-12-23,34.0
2017-12-24,49.0
2017-12-25,23.0
2017-12-26,60.0
2017-12-27,70.0
2017-12-28,70.0
2017-12-29,85.0
2017-12-30,52.0
2017-12-31,40.0
2018-01-01,36.0
2018-01-02,83.0
2018-01-03,58.0
2018-01-04,70.0
2018-01-05,56.0
2018-01-06,49.0
2018-01-07,69.0
2018-01-08,46.0
2018-01-09,60.0
2018-01-10,61.0
2018-01-11,57.0
2018-01-12,55.0
2018-01-13,45.0
2018-01-14,55.0
2018-01-15,22.0
2018-01-16,55.0
2018-01-17,53.0
2018-01-18,42.0
2018-01-19,62.0
2018-01-20,73.0
2018-01-21,20.0
2018-01-22,31.0
2018-01-23,59.0
2018-01-24,66.0
2018-01-25,70.0
2018-01-26,88.0
2018-01-27,24.0
2018-01-28,48.0
2018-01-29,59.0
2018-01-30,80.0
2018-01-31,39.0
2018-02-01,39.0
2018-02-02,58.0
2018-02-03,32.0
2018-02-04,39.0
2018-02-05,49.0
2018-02-06,73.0
2018-02-07,17.0
2018-02-08,53.0
2018-02-09,47.0
2018-02-10,36.0
2018-02-11,48.0
2018-02-12,32.0
2018-02-13,32.0
2018-02-14,42.0
2018-02-15,83.0
2018-02-16,51.0
2018-02-17,33.0
2018-02-18,28.0
2018-02-19,39.0
2018-02-20,17.0
2018-02-21,45.0
2018-02-22,39.0
2018-02-23,47.0
2018-02-24,32.0
2018-02-25,35.0
2018-02-26,41.0
2018-02-27,83.0
2018-02-28,40.0
2018-03-01,40.0
2018-03-02,61.0
2018-03-03,50.0
2018-03-04,16.0
2018-03-05,38.0
2018-03-06,24.0
2018-03-07,41.0
2018-03-08,29.0
2018-03-09,55.0
2018-03-10,37.0
2018-03-11,18.0
2018-03-12,34.0
2018-03-13,18.0
2018-03-14,23.0
2018-03-15,50.0
2018-03-16,46.0
2018-03-17,23.0
2018-03-18,16.0
2018-03-19,37.0
2018-03-20,34.0
2018-03-21,43.0
2018-03-22,56.0
2018-03-23,62.0
2018-03-24,46.0
2018-03-25,31.0
2018-03-26,63.0
2018-03-27,35.0
2018-03-28,45.0
2018-03-29,36.0
2018-03-30,26.0
2018-03-31,35.0
2018-04-01,19.0
2018-04-02,22.0
2018-04-03,35.0
2018-04-04,58.0
2018-04-05,43.0
2018-04-06,30.0
2018-04-07,29.0
2018-04-08,31.0
2018-04-09,24.0
2018-04-10,41.0
2018-04-11,39.0
2018-04-12,42.0
2018-04-13,58.0
2018-04-14,32.0
2018-04-15,16.0
2018-04-16,43.0
2018-04-17,44.0
2018-04-18,34.0
2018-04-19,31.0
2018-04-20,32.0
2018-04-21,43.0
2018-04-22,38.0
2018-04-23,32.0
2018-04-24,25.0
2018-04-25,29.0
2018-04-26,51.0
2018-04-27,42.0
2018-04-28,32.0
2018-04-29,50.0
2018-04-30,32.0
2018-05-01,53.0
2018-05-02,30.0
2018-05-03,37.0
2018-05-04,52.0
2018-05-05,20.0
2018-05-06,25.0
2018-05-07,25.0
2018-05-08,35.0
2018-05-09,24.0
2018-05-10,34.0
2018-05-11,34.0
2018-05-12,21.0
2018-05-13,21.0
2018-05-14,31.0
2018-05-15,34.0
2018-05-16,26.0
2018-05-17,14.0
2018-05-18,40.0
2018-05-19,32.0
2018-05-20,44.0
2018-05-21,18.0
2018-05-22,33.0
2018-05-23,41.0
2018-05-24,27.0
2018-05-25,39.0
2018-05-26,32.0
2018-05-27,38.0
2018-05-28,33.0
2018-05-29,34.0
2018-05-30,34.0
2018-05-31,21.0
2018-06-01,41.0
2018-06-02,29.0
2018-06-03,18.0
2018-06-04,31.0
2018-06-05,26.0
2018-06-06,18.0
2018-06-07,49.0
2018-06-08,30.0
2018-06-09,28.0
2018-06-10,17.0
2018-06-11,25.0
2018-06-12,27.0
2018-06-13,30.0
2018-06-14,51.0
2018-06-15,46.0
2018-06-16,41.0
2018-06-17,37.0
2018-06-18,29.0
2018-06-19,26.0
2018-06-20,29.0
2018-06-21,38.0
2018-06-22,40.0
2018-06-23,48.0
2018-06-24,48.0
2018-06-25,21.0
2018-06-26,37.0
2018-06-27,51.0
2018-06-28,32.0
2018-06-29,31.0
2018-06-30,37.0
2018-07-01,40.0
2018-07-02,29.0
2018-07-03,29.0
2018-07-04,24.0
2018-07-05,39.0
2018-07-06,26.0
2018-07-07,23.0
2018-07-08,21.0
2018-07-09,26.0
2018-07-10,37.0
2018-07-11,41.0
2018-07-12,24.0
2018-07-13,28.0
2018-07-14,31.0
2018-07-15,24.0
2018-07-16,24.0
2018-07-17,23.0
2018-07-18,30.0
2018-07-19,27.0
2018-07-20,50.0
2018-07-21,18.0
2018-07-22,32.0
2018-07-23,33.0
2018-07-24,24.0
2018-07-25,18.0
2018-07-26,30.0
2018-07-27,24.0
2018-07-28,10.0
2018-07-29,14.0
2018-07-30,32.0
2018-07-31,26.0
2018-08-01,26.0
2018-08-02,22.0
2018-08-03,28.0
2018-08-04,17.0
2018-08-05,10.0
2018-08-06,23.0
2018-08-07,34.0
2018-08-08,21.0
2018-08-09,34.0
2018-08-10,15.0
2018-08-11,26.0
2018-08-12,30.0
2018-08-13,26.0
2018-08-14,21.0
2018-08-15,51.0
2018-08-16,30.0
2018-08-17,36.0
2018-08-18,31.0
2018-08-19,10.0
2018-08-20,33.0
2018-08-21,39.0
2018-08-22,29.0
2018-08-23,18.0
2018-08-24,39.0
2018-08-25,23.0
2018-08-26,11.0
2018-08-27,26.0
2018-08-28,37.0
2018-08-29,18.0
2018-08-30,17.0
2018-08-31,30.0
2018-09-01,16.0
2018-09-02,9.0
2018-09-03,17.0
2018-09-04,17.0
2018-09-05,31.0
2018-09-06,20.0
2018-09-07,45.0
2018-09-08,24.0
2018-09-09,41.0
2018-09-10,23.0
2018-09-11,17.0
2018-09-12,14.0
2018-09-13,15.0
2018-09-14,24.0
2018-09-15,18.0
2018-09-16,20.0
2018-09-17,23.0
2018-09-18,33.0
2018-09-19,21.0
2018-09-20,26.0
2018-09-21,37.0
2018-09-22,13.0
2018-09-23,5.0
2018-09-24,28.0
2018-09-25,27.0
2018-09-26,21.0
2018-09-27,27.0
2018-09-28,51.0
2018-09-29,32.0
2018-09-30,13.0
2018-10-01,22.0
2018-10-02,36.0
2018-10-03,29.0
2018-10-04,27.0
2018-10-05,33.0
2018-10-06,24.0
2018-10-07,21.0
2018-10-08,28.0
2018-10-09,33.0
2018-10-10,48.0
2018-10-11,43.0
2018-10-12,65.0
2018-10-13,23.0
2018-10-14,9.0
2018-10-15,41.0
2018-10-16,45.0
2018-10-17,28.0
2018-10-18,47.0
2018-10-19,47.0
2018-10-20,34.0
2018-10-21,26.0
2018-10-22,26.0
2018-10-23,43.0
2018-10-24,39.0
2018-10-25,35.0
2018-10-26,44.0
2018-10-27,26.0
2018-10-28,28.0
2018-10-29,45.0
2018-10-30,27.0
2018-10-31,31.0
2018-11-01,40.0
2018-11-02,48.0
2018-11-03,32.0
2018-11-04,13.0
2018-11-05,38.0
2018-11-06,26.0
2018-11-07,27.0
2018-11-08,30.0
2018-11-09,56.0
2018-11-10,37.0
2018-11-11,23.0
2018-11-12,21.0
2018-11-13,24.0
2018-11-14,22.0
2018-11-15,37.0
2018-11-16,35.0
2018-11-17,21.0
2018-11-18,30.0
2018-11-19,24.0
2018-11-20,36.0
2018-11-21,33.0
2018-11-22,14.0
2018-11-23,42.0
2018-11-24,36.0
2018-11-25,17.0
2018-11-26,17.0
2018-11-27,23.0
2018-11-28,27.0
2018-11-29,48.0
2018-11-30,24.0
2018-12-01,31.0
2018-12-02,21.0
2018-12-03,42.0
2018-12-04,42.0
2018-12-05,5.0
2018-12-06,14.0
2018-12-07,53.0
2018-12-08,28.0
2018-12-09,15.0
2018-12-10,32.0
2018-12-11,45.0
2018-12-12,27.0
2018-12-13,39.0
2018-12-14,24.0
2018-12-15,41.0
2018-12-16,25.0
2018-12-17,38.0
2018-12-18,31.0
2018-12-19,51.0
2018-12-20,66.0
2018-12-21,24.0
2018-12-22,35.0
2018-12-23,6.0
2018-12-24,35.0
2018-12-25,31.0
2018-12-26,72.0
2018-12-27,43.0
2018-12-28,50.0
2018-12-29,43.0
2018-12-30,32.0
2018-12-31,31.0
2019-01-01,13.0
2019-01-02,36.0
2019-01-03,30.0
2019-01-04,81.0
2019-01-05,27.0
2019-01-06,36.0
2019-01-07,43.0
2019-01-08,23.0
2019-01-09,48.0
2019-01-10,38.0
2019-01-11,25.0
2019-01-12,30.0
2019-01-13,27.0
2019-01-14,34.0
2019-01-15,29.0
2019-01-16,39.0
2019-01-17,26.0
2019-01-18,38.0
2019-01-19,24.0
2019-01-20,11.0
2019-01-21,29.0
2019-01-22,47.0
2019-01-23,41.0
2019-01-24,23.0
2019-01-25,32.0
2019-01-26,30.0
2019-01-27,9.0
2019-01-28,15.0
2019-01-29,41.0
2019-01-30,41.0
2019-01-31,47.0
2019-02-01,53.0
2019-02-02,18.0
2019-02-03,14.0
2019-02-04,39.0
2019-02-05,29.0
2019-02-06,36.0
2019-02-07,46.0
2019-02-08,42.0
2019-02-09,19.0
2019-02-10,30.0
2019-02-11,25.0
2019-02-12,32.0
2019-02-13,24.0
2019-02-14,19.0
2019-02-15,36.0
2019-02-16,15.0
2019-02-17,19.0
2019-02-18,26.0
2019-02-19,45.0
2019-02-20,50.0
2019-02-21,41.0
2019-02-22,34.0
2019-02-23,25.0
2019-02-24,22.0
2019-02-25,36.0
2019-02-26,36.0
2019-02-27,21.0
2019-02-28,35.0
2019-03-01,36.0
2019-03-02,43.0
2019-03-03,18.0
2019-03-04,37.0
2019-03-05,30.0
2019-03-06,32.0
2019-03-07,33.0
2019-03-08,52.0
2019-03-09,19.0
2019-03-10,23.0
2019-03-11,35.0
2019-03-12,42.0
2019-03-13,37.0
2019-03-14,23.0
2019-03-15,19.0
2019-03-16,27.0
2019-03-17,16.0
2019-03-18,34.0
2019-03-19,26.0
2019-03-20,42.0
2019-03-21,42.0
2019-03-22,49.0
2019-03-23,36.0
2019-03-24,20.0
2019-03-25,43.0
2019-03-26,35.0
2019-03-27,41.0
2019-03-28,24.0
2019-03-29,30.0
2019-03-30,29.0
2019-03-31,21.0
2019-04-01,36.0
2019-04-02,41.0
2019-04-03,29.0
2019-04-04,35.0
2019-04-05,41.0
2019-04-06,21.0
2019-04-07,30.0
2019-04-08,24.0
2019-04-09,28.0
2019-04-10,22.0
2019-04-11,23.0
2019-04-12,29.0
2019-04-13,39.0
