date,attention
2017-01-01,18.0
2017-01-02,24.0
2017-01-03,31.0
2017-01-04,31.0
2017-01-05,29.0
2017-01-06,25.0
2017-01-07,24.0
2017-01-08,16.0
2017-01-09,38.0
2017-01-10,37.0
2017-01-11,25.0
2017-01-12,31.0
2017-01-13,44.0
2017-01-14,11.0
2017-01-15,18.0
2017-01-16,18.0
2017-01-17,40.0
2017-01-18,33.0
2017-01-19,35.0
2017-01-20,32.0
2017-01-21,32.0
2017-01-22,24.0
2017-01-23,31.0
2017-01-24,33.0
2017-01-25,32.0
2017-01-26,34.0
2017-01-27,44.0
2017-01-28,23.0
2017-01-29,25.0
2017-01-30,41.0
2017-01-31,37.0
2017-02-01,28.0
2017-02-02,41.0
2017-02-03,38.0
2017-02-04,32.0
2017-02-05,14.0
2017-02-06,32.0
2017-02-07,37.0
2017-02-08,55.0
2017-02-09,42.0
2017-02-10,43.0
2017-02-11,28.0
2017-02-12,17.0
2017-02-13,40.0
2017-02-14,32.0
2017-02-15,29.0
2017-02-16,36.0
2017-02-17,31.0
2017-02-18,19.0
2017-02-19,28.0
2017-02-20,27.0
2017-02-21,44.0
2017-02-22,30.0
2017-02-23,31.0
2017-02-24,41.0
2017-02-25,16.0
2017-02-26,17.0
2017-02-27,26.0
2017-02-28,22.0
2017-03-01,28.0
2017-03-02,28.0
2017-03-03,24.0
2017-03-04,14.0
2017-03-05,31.0
2017-03-06,31.0
2017-03-07,33.0
2017-03-08,19.0
2017-03-09,29.0
2017-03-10,20.0
2017-03-11,15.0
2017-03-12,19.0
2017-03-13,30.0
2017-03-14,28.0
2017-03-15,27.0
2017-03-16,33.0
2017-03-17,31.0
2017-03-18,24.0
2017-03-19,20.0
2017-03-20,27.0
2017-03-21,24.0
2017-03-22,39.0
2017-03-23,26.0
2017-03-24,29.0
2017-03-25,19.0
2017-03-26,15.0
2017-03-27,25.0
2017-03-28,31.0
2017-03-29,29.0
2017-03-30,28.0
2017-03-31,19.0
2017-04-01,28.0
2017-04-02,20.0
2017-04-03,37.0
2017-04-04,21.0
2017-04-05,23.0
2017-04-06,34.0
2017-04-07,35.0
2017-04-08,24.0
2017-04-09,17.0
2017-04-10,30.0
2017-04-11,33.0
2017-04-12,28.0
2017-04-13,40.0
2017-04-14,21.0
2017-04-15,21.0
2017-04-16,25.0
2017-04-17,35.0
2017-04-18,25.0
2017-04-19,32.0
2017-04-20,20.0
2017-04-21,35.0
2017-04-22,20.0
2017-04-23,13.0
2017-04-24,19.0
2017-04-25,35.0
2017-04-26,30.0
2017-04-27,27.0
2017-04-28,31.0
2017-04-29,14.0
2017-04-30,23.0
2017-05-01,35.0
2017-05-02,21.0
2017-05-03,31.0
2017-05-04,21.0
2017-05-05,33.0
2017-05-06,18.0
2017-05-07,24.0
2017-05-08,27.0
2017-05-09,25.0
2017-05-10,27.0
2017-05-11,27.0
2017-05-12,25.0
2017-05-13,20.0
2017-05-14,19.0
2017-05-15,22.0
2017-05-16,21.0
2017-05-17,27.0
2017-05-18,31.0
2017-05-19,34.0
2017-05-20,17.0
2017-05-21,17.0
2017-05-22,22.0
2017-05-23,17.0
2017-05-24,26.0
2017-05-25,21.0
2017-05-26,29.0
2017-05-27,19.0
2017-05-28,26.0
2017-05-29,28.0
2017-05-30,32.0
2017-05-31,20.0
2017-06-01,21.0
