date,attention
2016-10-01,15.0
2016-10-02,24.0
2016-10-03,17.0
2016-10-04,14.0
2016-10-05,14.0
2016-10-06,14.0
2016-10-07,13.0
2016-10-08,21.0
2016-10-09,16.0
2016-10-10,14.0
2016-10-11,14.0
2016-10-12,14.0
2016-10-13,16.0
2016-10-14,14.0
2016-10-15,19.0
2016-10-16,16.0
2016-10-17,15.0
2016-10-18,14.0
2016-10-19,13.0
2016-10-20,14.0
2016-10-21,15.0
2016-10-22,27.0
2016-10-23,16.0
2016-10-24,16.0
2016-10-25,18.0
2016-10-26,15.0
2016-10-27,14.0
2016-10-28,18.0
2016-10-29,19.0
2016-10-30,15.0
2016-10-31,15.0
2016-11-01,16.0
2016-11-02,16.0
2016-11-03,14.0
2016-11-04,24.0
2016-11-05,16.0
2016-11-06,16.0
2016-11-07,15.0
2016-11-08,16.0
2016-11-09,14.0
2016-11-10,16.0
2016-11-11,16.0
2016-11-12,15.0
2016-11-13,17.0
2016-11-14,16.0
2016-11-15,14.0
2016-11-16,15.0
2016-11-17,16.0
2016-11-18,15.0
2016-11-19,18.0
2016-11-20,58.0
2016-11-21,21.0
2016-11-22,15.0
2016-11-23,16.0
2016-11-24,15.0
2016-11-25,21.0
2016-11-26,18.0
2016-11-27,15.0
2016-11-28,15.0
2016-11-29,16.0
2016-11-30,17.0
2016-12-01,16.0
2016-12-02,16.0
2016-12-03,15.0
2016-12-04,21.0
2016-12-05,15.0
2016-12-06,17.0
2016-12-07,16.0
2016-12-08,15.0
2016-12-09,16.0
2016-12-10,14.0
2016-12-11,20.0
2016-12-12,16.0
2016-12-13,15.0
2016-12-14,17.0
2016-12-15,14.0
2016-12-16,16.0
2016-12-17,15.0
2016-12-18,19.0
2016-12-19,14.0
2016-12-20,15.0
2016-12-21,17.0
2016-12-22,16.0
2016-12-23,16.0
2016-12-24,15.0
2016-12-25,21.0
2016-12-26,16.0
2016-12-27,16.0
2016-12-28,20.0
2016-12-29,18.0
2016-12-30,15.0
2016-12-31,14.0
2017-01-01,14.0
2017-01-02,15.0
2017-01-03,16.0
2017-01-04,16.0
2017-01-05,16.0
2017-01-06,16.0
2017-01-07,16.0
2017-01-08,17.0
2017-01-09,18.0
2017-01-10,16.0
2017-01-11,15.0
2017-01-12,15.0
2017-01-13,16.0
2017-01-14,20.0
2017-01-15,15.0
2017-01-16,15.0
2017-01-17,17.0
2017-01-18,16.0
2017-01-19,16.0
2017-01-20,15.0
2017-01-21,19.0
2017-01-22,16.0
2017-01-23,15.0
2017-01-24,19.0
2017-01-25,16.0
2017-01-26,18.0
2017-01-27,16.0
2017-01-28,21.0
2017-01-29,17.0
2017-01-30,16.0
2017-01-31,15.0
2017-02-01,15.0
2017-02-02,15.0
2017-02-03,16.0
2017-02-04,20.0
2017-02-05,18.0
2017-02-06,15.0
2017-02-07,14.0
2017-02-08,15.0
2017-02-09,15.0
2017-02-10,15.0
2017-02-11,16.0
2017-02-12,24.0
2017-02-13,15.0
2017-02-14,16.0
2017-02-15,16.0
2017-02-16,16.0
2017-02-17,16.0
2017-02-18,21.0
2017-02-19,16.0
2017-02-20,15.0
2017-02-21,16.0
2017-02-22,14.0
2017-02-23,16.0
2017-02-24,17.0
2017-02-25,16.0
2017-02-26,17.0
2017-02-27,44.0
2017-02-28,18.0
2017-03-01,16.0
2017-03-02,15.0
2017-03-03,16.0
2017-03-04,16.0
2017-03-05,16.0
2017-03-06,18.0
2017-03-07,16.0
2017-03-08,16.0
2017-03-09,15.0
2017-03-10,13.0
2017-03-11,21.0
2017-03-12,18.0
2017-03-13,14.0
2017-03-14,16.0
2017-03-15,16.0
2017-03-16,15.0
2017-03-17,16.0
2017-03-18,24.0
2017-03-19,17.0
2017-03-20,15.0
2017-03-21,17.0
2017-03-22,15.0
2017-03-23,14.0
2017-03-24,14.0
2017-03-25,17.0
2017-03-26,16.0
2017-03-27,16.0
2017-03-28,14.0
2017-03-29,14.0
2017-03-30,15.0
2017-03-31,15.0
2017-04-01,15.0
2017-04-02,17.0
2017-04-03,19.0
2017-04-04,16.0
2017-04-05,15.0
2017-04-06,14.0
2017-04-07,14.0
2017-04-08,14.0
2017-04-09,16.0
2017-04-10,20.0
2017-04-11,16.0
2017-04-12,15.0
2017-04-13,15.0
2017-04-14,15.0
2017-04-15,14.0
2017-04-16,14.0
2017-04-17,16.0
2017-04-18,16.0
2017-04-19,15.0
2017-04-20,14.0
2017-04-21,15.0
2017-04-22,17.0
2017-04-23,51.0
2017-04-24,19.0
2017-04-25,16.0
2017-04-26,14.0
2017-04-27,13.0
2017-04-28,13.0
2017-04-29,14.0
2017-04-30,15.0
2017-05-01,18.0
2017-05-02,17.0
2017-05-03,15.0
2017-05-04,14.0
2017-05-05,16.0
2017-05-06,18.0
2017-05-07,17.0
2017-05-08,16.0
2017-05-09,14.0
2017-05-10,14.0
2017-05-11,15.0
2017-05-12,14.0
2017-05-13,15.0
2017-05-14,19.0
2017-05-15,16.0
2017-05-16,14.0
2017-05-17,17.0
2017-05-18,14.0
2017-05-19,17.0
2017-05-20,16.0
2017-05-21,16.0
2017-05-22,16.0
2017-05-23,17.0
2017-05-24,15.0
2017-05-25,16.0
2017-05-26,14.0
2017-05-27,16.0
2017-05-28,17.0
2017-05-29,18.0
2017-05-30,17.0
2017-05-31,15.0
2017-06-01,15.0
2017-06-02,19.0
2017-06-03,18.0
2017-06-04,16.0
2017-06-05,20.0
2017-06-06,16.0
2017-06-07,16.0
2017-06-08,19.0
2017-06-09,17.0
2017-06-10,21.0
2017-06-11,16.0
2017-06-12,17.0
2017-06-13,21.0
2017-06-14,16.0
2017-06-15,18.0
2017-06-16,17.0
2017-06-17,18.0
2017-06-18,18.0
2017-06-19,19.0
2017-06-20,18.0
2017-06-21,16.0
2017-06-22,16.0
2017-06-23,16.0
2017-06-24,16.0
2017-06-25,15.0
2017-06-26,16.0
2017-06-27,16.0
2017-06-28,18.0
2017-06-29,18.0
2017-06-30,16.0
2017-07-01,17.0
2017-07-02,20.0
2017-07-03,16.0
2017-07-04,16.0
2017-07-05,17.0
2017-07-06,15.0
2017-07-07,17.0
2017-07-08,19.0
2017-07-09,17.0
2017-07-10,18.0
2017-07-11,16.0
2017-07-12,17.0
2017-07-13,23.0
2017-07-14,19.0
2017-07-15,17.0
2017-07-16,17.0
2017-07-17,17.0
2017-07-18,17.0
2017-07-19,20.0
2017-07-20,34.0
2017-07-21,18.0
2017-07-22,16.0
2017-07-23,16.0
2017-07-24,16.0
2017-07-25,16.0
2017-07-26,17.0
2017-07-27,17.0
2017-07-28,16.0
2017-07-29,16.0
2017-07-30,16.0
2017-07-31,18.0
2017-08-01,17.0
2017-08-02,17.0
2017-08-03,17.0
2017-08-04,17.0
2017-08-05,25.0
2017-08-06,17.0
2017-08-07,17.0
2017-08-08,18.0
2017-08-09,17.0
2017-08-10,16.0
2017-08-11,15.0
2017-08-12,17.0
2017-08-13,16.0
2017-08-14,23.0
2017-08-15,22.0
2017-08-16,18.0
2017-08-17,16.0
2017-08-18,17.0
2017-08-19,24.0
2017-08-20,20.0
2017-08-21,16.0
2017-08-22,17.0
2017-08-23,17.0
2017-08-24,17.0
2017-08-25,26.0
2017-08-26,21.0
2017-08-27,16.0
2017-08-28,15.0
2017-08-29,17.0
2017-08-30,17.0
2017-08-31,17.0
2017-09-01,16.0
