date,attention
2017-01-01,7.0
2017-01-02,12.0
2017-01-03,27.0
2017-01-04,13.0
2017-01-05,22.0
2017-01-06,28.0
2017-01-07,2.0
2017-01-08,6.0
2017-01-09,9.0
2017-01-10,19.0
2017-01-11,28.0
2017-01-12,39.0
2017-01-13,23.0
2017-01-14,12.0
2017-01-15,10.0
2017-01-16,5.0
2017-01-17,26.0
2017-01-18,21.0
2017-01-19,9.0
2017-01-20,32.0
2017-01-21,12.0
2017-01-22,14.0
2017-01-23,24.0
2017-01-24,32.0
2017-01-25,35.0
2017-01-26,21.0
2017-01-27,35.0
2017-01-28,18.0
2017-01-29,4.0
2017-01-30,20.0
2017-01-31,33.0
2017-02-01,17.0
2017-02-02,23.0
2017-02-03,33.0
2017-02-04,8.0
2017-02-05,11.0
2017-02-06,9.0
2017-02-07,12.0
2017-02-08,28.0
2017-02-09,16.0
2017-02-10,30.0
2017-02-11,10.0
2017-02-12,6.0
2017-02-13,35.0
2017-02-14,17.0
2017-02-15,16.0
2017-02-16,32.0
2017-02-17,36.0
2017-02-18,12.0
2017-02-19,4.0
2017-02-20,12.0
2017-02-21,23.0
2017-02-22,30.0
2017-02-23,17.0
2017-02-24,28.0
2017-02-25,15.0
2017-02-26,0.0
2017-02-27,16.0
2017-02-28,29.0
2017-03-01,29.0
2017-03-02,26.0
2017-03-03,27.0
2017-03-04,15.0
2017-03-05,4.0
2017-03-06,29.0
2017-03-07,12.0
2017-03-08,29.0
2017-03-09,7.0
2017-03-10,13.0
2017-03-11,11.0
2017-03-12,25.0
2017-03-13,21.0
2017-03-14,16.0
2017-03-15,7.0
2017-03-16,20.0
2017-03-17,21.0
2017-03-18,4.0
2017-03-19,11.0
2017-03-20,20.0
2017-03-21,33.0
2017-03-22,56.0
2017-03-23,23.0
2017-03-24,20.0
2017-03-25,12.0
2017-03-26,8.0
2017-03-27,16.0
2017-03-28,20.0
2017-03-29,13.0
2017-03-30,17.0
2017-03-31,24.0
2017-04-01,4.0
2017-04-02,8.0
2017-04-03,30.0
2017-04-04,13.0
2017-04-05,40.0
2017-04-06,37.0
2017-04-07,17.0
2017-04-08,12.0
2017-04-09,8.0
2017-04-10,7.0
2017-04-11,20.0
2017-04-12,30.0
2017-04-13,29.0
2017-04-14,4.0
2017-04-15,16.0
2017-04-16,4.0
2017-04-17,28.0
2017-04-18,29.0
2017-04-19,26.0
2017-04-20,16.0
2017-04-21,48.0
2017-04-22,8.0
2017-04-23,0.0
2017-04-24,7.0
2017-04-25,20.0
2017-04-26,42.0
2017-04-27,26.0
2017-04-28,17.0
2017-04-29,4.0
2017-04-30,16.0
2017-05-01,23.0
2017-05-02,27.0
2017-05-03,18.0
2017-05-04,20.0
2017-05-05,16.0
2017-05-06,6.0
2017-05-07,2.0
2017-05-08,25.0
2017-05-09,23.0
2017-05-10,32.0
2017-05-11,24.0
2017-05-12,25.0
2017-05-13,8.0
2017-05-14,8.0
2017-05-15,19.0
2017-05-16,22.0
2017-05-17,31.0
2017-05-18,27.0
2017-05-19,23.0
2017-05-20,19.0
2017-05-21,29.0
2017-05-22,18.0
2017-05-23,16.0
2017-05-24,24.0
2017-05-25,24.0
2017-05-26,19.0
2017-05-27,9.0
2017-05-28,17.0
2017-05-29,17.0
2017-05-30,28.0
2017-05-31,23.0
2017-06-01,29.0
2017-06-02,31.0
2017-06-03,15.0
2017-06-04,8.0
2017-06-05,16.0
2017-06-06,34.0
2017-06-07,9.0
2017-06-08,30.0
2017-06-09,20.0
2017-06-10,4.0
2017-06-11,10.0
2017-06-12,33.0
2017-06-13,28.0
2017-06-14,18.0
2017-06-15,28.0
2017-06-16,15.0
2017-06-17,2.0
2017-06-18,6.0
2017-06-19,19.0
2017-06-20,29.0
2017-06-21,31.0
2017-06-22,12.0
2017-06-23,20.0
2017-06-24,14.0
2017-06-25,23.0
2017-06-26,31.0
2017-06-27,18.0
2017-06-28,37.0
2017-06-29,41.0
2017-06-30,34.0
2017-07-01,0.0
2017-07-02,17.0
2017-07-03,28.0
2017-07-04,13.0
2017-07-05,6.0
2017-07-06,20.0
2017-07-07,25.0
2017-07-08,19.0
2017-07-09,8.0
2017-07-10,12.0
2017-07-11,7.0
2017-07-12,7.0
2017-07-13,20.0
2017-07-14,13.0
2017-07-15,4.0
2017-07-16,11.0
2017-07-17,25.0
2017-07-18,18.0
2017-07-19,11.0
2017-07-20,20.0
2017-07-21,19.0
2017-07-22,15.0
2017-07-23,11.0
2017-07-24,21.0
2017-07-25,12.0
2017-07-26,27.0
2017-07-27,32.0
2017-07-28,9.0
2017-07-29,10.0
2017-07-30,15.0
2017-07-31,30.0
2017-08-01,9.0
2017-08-02,29.0
2017-08-03,30.0
2017-08-04,16.0
2017-08-05,8.0
2017-08-06,6.0
2017-08-07,10.0
2017-08-08,22.0
2017-08-09,35.0
2017-08-10,25.0
2017-08-11,25.0
2017-08-12,4.0
2017-08-13,8.0
2017-08-14,29.0
2017-08-15,18.0
2017-08-16,28.0
2017-08-17,11.0
2017-08-18,7.0
2017-08-19,4.0
2017-08-20,16.0
2017-08-21,24.0
2017-08-22,14.0
2017-08-23,24.0
2017-08-24,14.0
2017-08-25,22.0
2017-08-26,8.0
2017-08-27,12.0
2017-08-28,14.0
2017-08-29,7.0
2017-08-30,25.0
2017-08-31,21.0
2017-09-01,26.0
2017-09-02,12.0
2017-09-03,4.0
2017-09-04,18.0
2017-09-05,17.0
2017-09-06,7.0
2017-09-07,21.0
2017-09-08,18.0
2017-09-09,4.0
2017-09-10,24.0
2017-09-11,4.0
2017-09-12,17.0
2017-09-13,24.0
2017-09-14,14.0
2017-09-15,18.0
2017-09-16,12.0
2017-09-17,8.0
2017-09-18,14.0
2017-09-19,27.0
2017-09-20,21.0
2017-09-21,34.0
2017-09-22,14.0
2017-09-23,16.0
2017-09-24,16.0
2017-09-25,21.0
2017-09-26,17.0
2017-09-27,21.0
2017-09-28,7.0
2017-09-29,11.0
2017-09-30,4.0
2017-10-01,8.0
2017-10-02,14.0
2017-10-03,31.0
2017-10-04,27.0
2017-10-05,21.0
2017-10-06,4.0
2017-10-07,8.0
2017-10-08,16.0
2017-10-09,31.0
2017-10-10,27.0
2017-10-11,7.0
2017-10-12,24.0
2017-10-13,4.0
2017-10-14,4.0
2017-10-15,4.0
2017-10-16,7.0
2017-10-17,28.0
2017-10-18,10.0
2017-10-19,43.0
2017-10-20,2.0
2017-10-21,13.0
2017-10-22,18.0
2017-10-23,11.0
2017-10-24,13.0
2017-10-25,24.0
2017-10-26,23.0
2017-10-27,36.0
2017-10-28,9.0
2017-10-29,5.0
2017-10-30,13.0
2017-10-31,26.0
2017-11-01,7.0
2017-11-02,16.0
2017-11-03,34.0
2017-11-04,8.0
2017-11-05,8.0
2017-11-06,23.0
2017-11-07,40.0
2017-11-08,41.0
2017-11-09,29.0
2017-11-10,12.0
2017-11-11,16.0
2017-11-12,10.0
2017-11-13,37.0
2017-11-14,26.0
2017-11-15,33.0
2017-11-16,10.0
2017-11-17,23.0
2017-11-18,10.0
2017-11-19,8.0
2017-11-20,32.0
2017-11-21,32.0
2017-11-22,10.0
2017-11-23,23.0
2017-11-24,10.0
2017-11-25,12.0
2017-11-26,5.0
2017-11-27,21.0
2017-11-28,33.0
2017-11-29,35.0
2017-11-30,38.0
2017-12-01,28.0
2017-12-02,9.0
2017-12-03,7.0
2017-12-04,37.0
2017-12-05,32.0
2017-12-06,24.0
2017-12-07,42.0
2017-12-08,27.0
2017-12-09,10.0
2017-12-10,23.0
2017-12-11,23.0
2017-12-12,12.0
2017-12-13,34.0
2017-12-14,24.0
2017-12-15,59.0
