date,attention
2016-10-01,25.0
2016-10-02,25.0
2016-10-03,21.0
2016-10-04,21.0
2016-10-05,20.0
2016-10-06,23.0
2016-10-07,22.0
2016-10-08,25.0
2016-10-09,23.0
2016-10-10,22.0
2016-10-11,20.0
2016-10-12,22.0
2016-10-13,23.0
2016-10-14,24.0
2016-10-15,25.0
2016-10-16,25.0
2016-10-17,20.0
2016-10-18,21.0
2016-10-19,20.0
2016-10-20,22.0
2016-10-21,22.0
2016-10-22,23.0
2016-10-23,24.0
2016-10-24,22.0
2016-10-25,22.0
2016-10-26,22.0
2016-10-27,24.0
2016-10-28,23.0
2016-10-29,23.0
2016-10-30,22.0
2016-10-31,21.0
2016-11-01,23.0
2016-11-02,23.0
2016-11-03,24.0
2016-11-04,24.0
2016-11-05,22.0
2016-11-06,28.0
2016-11-07,23.0
2016-11-08,27.0
2016-11-09,22.0
2016-11-10,26.0
2016-11-11,27.0
2016-11-12,27.0
2016-11-13,28.0
2016-11-14,25.0
2016-11-15,24.0
2016-11-16,26.0
2016-11-17,26.0
2016-11-18,27.0
2016-11-19,32.0
2016-11-20,32.0
2016-11-21,29.0
2016-11-22,28.0
2016-11-23,31.0
2016-11-24,37.0
2016-11-25,61.0
2016-11-26,38.0
2016-11-27,37.0
2016-11-28,34.0
2016-11-29,27.0
2016-11-30,30.0
2016-12-01,30.0
2016-12-02,27.0
2016-12-03,32.0
2016-12-04,33.0
2016-12-05,29.0
2016-12-06,27.0
2016-12-07,28.0
2016-12-08,31.0
2016-12-09,26.0
2016-12-10,29.0
2016-12-11,33.0
2016-12-12,32.0
2016-12-13,29.0
2016-12-14,31.0
2016-12-15,31.0
2016-12-16,31.0
2016-12-17,33.0
2016-12-18,32.0
2016-12-19,32.0
2016-12-20,31.0
2016-12-21,31.0
2016-12-22,31.0
2016-12-23,34.0
2016-12-24,34.0
2016-12-25,48.0
2016-12-26,62.0
2016-12-27,43.0
2016-12-28,37.0
2016-12-29,34.0
2016-12-30,31.0
2016-12-31,26.0
2017-01-01,27.0
2017-01-02,29.0
2017-01-03,26.0
2017-01-04,25.0
2017-01-05,24.0
2017-01-06,25.0
2017-01-07,26.0
2017-01-08,26.0
2017-01-09,22.0
2017-01-10,23.0
2017-01-11,25.0
2017-01-12,23.0
2017-01-13,23.0
2017-01-14,28.0
2017-01-15,26.0
2017-01-16,24.0
2017-01-17,23.0
2017-01-18,22.0
2017-01-19,22.0
2017-01-20,20.0
2017-01-21,23.0
2017-01-22,24.0
2017-01-23,22.0
2017-01-24,22.0
