date,attention
2016-10-01,4.0
2016-10-02,5.0
2016-10-03,11.0
2016-10-04,12.0
2016-10-05,11.0
2016-10-06,11.0
2016-10-07,11.0
2016-10-08,3.0
2016-10-09,10.0
2016-10-10,13.0
2016-10-11,11.0
2016-10-12,11.0
2016-10-13,14.0
2016-10-14,20.0
2016-10-15,5.0
2016-10-16,8.0
2016-10-17,15.0
2016-10-18,16.0
2016-10-19,10.0
2016-10-20,13.0
2016-10-21,12.0
2016-10-22,6.0
2016-10-23,2.0
2016-10-24,14.0
2016-10-25,10.0
2016-10-26,19.0
2016-10-27,11.0
2016-10-28,11.0
2016-10-29,8.0
2016-10-30,3.0
2016-10-31,10.0
2016-11-01,13.0
2016-11-02,8.0
2016-11-03,8.0
2016-11-04,13.0
2016-11-05,8.0
2016-11-06,6.0
2016-11-07,19.0
2016-11-08,14.0
2016-11-09,22.0
2016-11-10,21.0
2016-11-11,12.0
2016-11-12,8.0
2016-11-13,5.0
2016-11-14,17.0
2016-11-15,20.0
2016-11-16,14.0
2016-11-17,18.0
2016-11-18,15.0
2016-11-19,6.0
2016-11-20,5.0
2016-11-21,15.0
2016-11-22,17.0
2016-11-23,10.0
2016-11-24,7.0
2016-11-25,10.0
2016-11-26,5.0
2016-11-27,5.0
2016-11-28,12.0
2016-11-29,13.0
2016-11-30,16.0
2016-12-01,14.0
2016-12-02,12.0
2016-12-03,5.0
2016-12-04,2.0
2016-12-05,12.0
2016-12-06,16.0
2016-12-07,16.0
2016-12-08,17.0
2016-12-09,14.0
2016-12-10,4.0
2016-12-11,3.0
2016-12-12,15.0
2016-12-13,17.0
2016-12-14,14.0
2016-12-15,11.0
2016-12-16,10.0
2016-12-17,4.0
2016-12-18,3.0
2016-12-19,12.0
2016-12-20,17.0
2016-12-21,16.0
2016-12-22,17.0
2016-12-23,14.0
2016-12-24,4.0
2016-12-25,5.0
2016-12-26,4.0
2016-12-27,12.0
2016-12-28,10.0
2016-12-29,13.0
2016-12-30,11.0
2016-12-31,5.0
2017-01-01,3.0
2017-01-02,8.0
2017-01-03,10.0
2017-01-04,18.0
2017-01-05,15.0
2017-01-06,15.0
2017-01-07,4.0
2017-01-08,8.0
2017-01-09,22.0
2017-01-10,18.0
2017-01-11,14.0
2017-01-12,17.0
2017-01-13,36.0
2017-01-14,12.0
2017-01-15,5.0
2017-01-16,10.0
2017-01-17,25.0
2017-01-18,16.0
2017-01-19,15.0
2017-01-20,17.0
2017-01-21,5.0
2017-01-22,4.0
2017-01-23,11.0
2017-01-24,13.0
2017-01-25,16.0
2017-01-26,14.0
2017-01-27,14.0
2017-01-28,6.0
2017-01-29,3.0
2017-01-30,16.0
2017-01-31,12.0
2017-02-01,16.0
2017-02-02,11.0
2017-02-03,22.0
2017-02-04,10.0
2017-02-05,6.0
2017-02-06,12.0
2017-02-07,13.0
2017-02-08,13.0
2017-02-09,14.0
2017-02-10,19.0
2017-02-11,5.0
2017-02-12,2.0
2017-02-13,14.0
2017-02-14,11.0
2017-02-15,18.0
2017-02-16,15.0
2017-02-17,16.0
2017-02-18,4.0
2017-02-19,3.0
2017-02-20,10.0
2017-02-21,12.0
2017-02-22,15.0
2017-02-23,14.0
2017-02-24,13.0
2017-02-25,7.0
2017-02-26,8.0
2017-02-27,13.0
2017-02-28,12.0
2017-03-01,16.0
2017-03-02,12.0
2017-03-03,15.0
2017-03-04,5.0
2017-03-05,5.0
2017-03-06,12.0
2017-03-07,13.0
2017-03-08,14.0
2017-03-09,12.0
