date,attention
2016-10-01,38.0
2016-10-02,39.0
2016-10-03,43.0
2016-10-04,43.0
2016-10-05,43.0
2016-10-06,42.0
2016-10-07,42.0
2016-10-08,38.0
2016-10-09,36.0
2016-10-10,42.0
2016-10-11,44.0
2016-10-12,43.0
2016-10-13,43.0
2016-10-14,41.0
2016-10-15,36.0
2016-10-16,38.0
2016-10-17,45.0
2016-10-18,46.0
2016-10-19,43.0
2016-10-20,43.0
2016-10-21,43.0
2016-10-22,36.0
2016-10-23,39.0
2016-10-24,46.0
2016-10-25,46.0
2016-10-26,46.0
2016-10-27,44.0
2016-10-28,43.0
2016-10-29,36.0
2016-10-30,36.0
2016-10-31,44.0
2016-11-01,46.0
2016-11-02,44.0
2016-11-03,43.0
2016-11-04,43.0
2016-11-05,38.0
2016-11-06,43.0
2016-11-07,49.0
2016-11-08,44.0
2016-11-09,40.0
2016-11-10,44.0
2016-11-11,43.0
2016-11-12,38.0
2016-11-13,39.0
2016-11-14,47.0
2016-11-15,47.0
2016-11-16,45.0
2016-11-17,45.0
2016-11-18,44.0
2016-11-19,40.0
2016-11-20,40.0
2016-11-21,45.0
2016-11-22,45.0
2016-11-23,41.0
2016-11-24,37.0
2016-11-25,37.0
2016-11-26,38.0
2016-11-27,38.0
2016-11-28,47.0
2016-11-29,47.0
2016-11-30,45.0
2016-12-01,46.0
2016-12-02,44.0
2016-12-03,37.0
2016-12-04,39.0
2016-12-05,51.0
2016-12-06,47.0
2016-12-07,43.0
2016-12-08,44.0
2016-12-09,42.0
2016-12-10,35.0
2016-12-11,38.0
2016-12-12,45.0
2016-12-13,45.0
2016-12-14,44.0
2016-12-15,43.0
2016-12-16,41.0
2016-12-17,38.0
2016-12-18,38.0
2016-12-19,43.0
2016-12-20,41.0
2016-12-21,44.0
2016-12-22,42.0
2016-12-23,39.0
2016-12-24,37.0
2016-12-25,37.0
2016-12-26,37.0
2016-12-27,43.0
2016-12-28,43.0
2016-12-29,42.0
2016-12-30,38.0
2016-12-31,36.0
2017-01-01,37.0
2017-01-02,39.0
2017-01-03,42.0
2017-01-04,45.0
2017-01-05,45.0
2017-01-06,45.0
2017-01-07,40.0
2017-01-08,41.0
2017-01-09,45.0
2017-01-10,45.0
2017-01-11,43.0
2017-01-12,45.0
2017-01-13,44.0
2017-01-14,38.0
2017-01-15,38.0
2017-01-16,41.0
2017-01-17,46.0
2017-01-18,46.0
2017-01-19,44.0
2017-01-20,42.0
2017-01-21,38.0
2017-01-22,39.0
2017-01-23,47.0
2017-01-24,48.0
2017-01-25,47.0
2017-01-26,46.0
2017-01-27,46.0
2017-01-28,40.0
2017-01-29,40.0
2017-01-30,46.0
2017-01-31,48.0
2017-02-01,46.0
2017-02-02,47.0
2017-02-03,46.0
2017-02-04,40.0
2017-02-05,42.0
2017-02-06,46.0
2017-02-07,48.0
2017-02-08,47.0
2017-02-09,45.0
2017-02-10,45.0
2017-02-11,39.0
2017-02-12,41.0
2017-02-13,46.0
2017-02-14,46.0
2017-02-15,47.0
2017-02-16,48.0
2017-02-17,45.0
2017-02-18,38.0
2017-02-19,40.0
2017-02-20,46.0
2017-02-21,47.0
2017-02-22,47.0
2017-02-23,47.0
2017-02-24,44.0
2017-02-25,42.0
2017-02-26,44.0
2017-02-27,50.0
2017-02-28,49.0
2017-03-01,50.0
2017-03-02,49.0
2017-03-03,46.0
2017-03-04,40.0
2017-03-05,40.0
2017-03-06,48.0
2017-03-07,46.0
2017-03-08,49.0
2017-03-09,48.0
2017-03-10,44.0
2017-03-11,40.0
2017-03-12,41.0
2017-03-13,45.0
2017-03-14,46.0
2017-03-15,47.0
2017-03-16,46.0
2017-03-17,44.0
2017-03-18,39.0
2017-03-19,40.0
2017-03-20,47.0
2017-03-21,47.0
2017-03-22,45.0
2017-03-23,46.0
2017-03-24,44.0
2017-03-25,40.0
2017-03-26,42.0
2017-03-27,47.0
2017-03-28,46.0
2017-03-29,46.0
2017-03-30,44.0
2017-03-31,43.0
2017-04-01,38.0
2017-04-02,50.0
2017-04-03,46.0
2017-04-04,44.0
2017-04-05,44.0
2017-04-06,44.0
2017-04-07,44.0
2017-04-08,38.0
2017-04-09,38.0
2017-04-10,46.0
2017-04-11,44.0
2017-04-12,47.0
2017-04-13,43.0
2017-04-14,40.0
2017-04-15,38.0
2017-04-16,36.0
2017-04-17,44.0
2017-04-18,46.0
2017-04-19,43.0
2017-04-20,45.0
2017-04-21,45.0
2017-04-22,38.0
2017-04-23,40.0
2017-04-24,48.0
2017-04-25,47.0
2017-04-26,46.0
2017-04-27,47.0
2017-04-28,44.0
2017-04-29,40.0
2017-04-30,44.0
2017-05-01,51.0
2017-05-02,51.0
2017-05-03,51.0
2017-05-04,49.0
2017-05-05,47.0
2017-05-06,41.0
2017-05-07,57.0
2017-05-08,55.0
2017-05-09,50.0
2017-05-10,47.0
2017-05-11,48.0
2017-05-12,48.0
2017-05-13,44.0
2017-05-14,42.0
2017-05-15,49.0
2017-05-16,46.0
2017-05-17,45.0
2017-05-18,44.0
