date,attention
2016-10-01,2.0
2016-10-02,1.0
2016-10-03,7.0
2016-10-04,10.0
2016-10-05,5.0
2016-10-06,7.0
2016-10-07,6.0
2016-10-08,2.0
2016-10-09,3.0
2016-10-10,5.0
2016-10-11,6.0
2016-10-12,7.0
2016-10-13,5.0
2016-10-14,7.0
2016-10-15,6.0
2016-10-16,2.0
2016-10-17,6.0
2016-10-18,7.0
2016-10-19,8.0
2016-10-20,33.0
2016-10-21,38.0
2016-10-22,12.0
2016-10-23,8.0
2016-10-24,20.0
2016-10-25,15.0
2016-10-26,16.0
2016-10-27,14.0
2016-10-28,15.0
2016-10-29,5.0
2016-10-30,2.0
2016-10-31,13.0
2016-11-01,11.0
2016-11-02,6.0
2016-11-03,12.0
2016-11-04,9.0
2016-11-05,0.0
2016-11-06,4.0
2016-11-07,11.0
2016-11-08,14.0
2016-11-09,24.0
2016-11-10,16.0
2016-11-11,13.0
2016-11-12,6.0
2016-11-13,3.0
2016-11-14,9.0
2016-11-15,11.0
2016-11-16,11.0
2016-11-17,11.0
2016-11-18,12.0
2016-11-19,2.0
2016-11-20,2.0
2016-11-21,11.0
2016-11-22,12.0
2016-11-23,10.0
2016-11-24,5.0
2016-11-25,5.0
2016-11-26,5.0
2016-11-27,4.0
2016-11-28,9.0
2016-11-29,11.0
2016-11-30,10.0
2016-12-01,10.0
2016-12-02,8.0
2016-12-03,4.0
2016-12-04,2.0
2016-12-05,8.0
2016-12-06,9.0
2016-12-07,9.0
2016-12-08,13.0
2016-12-09,11.0
2016-12-10,3.0
2016-12-11,3.0
2016-12-12,10.0
2016-12-13,12.0
2016-12-14,13.0
2016-12-15,7.0
2016-12-16,10.0
2016-12-17,3.0
2016-12-18,4.0
2016-12-19,8.0
2016-12-20,11.0
2016-12-21,7.0
2016-12-22,8.0
2016-12-23,6.0
2016-12-24,5.0
2016-12-25,3.0
2016-12-26,4.0
2016-12-27,6.0
2016-12-28,7.0
2016-12-29,5.0
2016-12-30,8.0
2016-12-31,2.0
2017-01-01,3.0
2017-01-02,4.0
2017-01-03,8.0
2017-01-04,11.0
2017-01-05,8.0
2017-01-06,9.0
2017-01-07,3.0
2017-01-08,4.0
2017-01-09,8.0
2017-01-10,7.0
2017-01-11,10.0
2017-01-12,13.0
2017-01-13,9.0
2017-01-14,3.0
2017-01-15,2.0
2017-01-16,4.0
2017-01-17,10.0
2017-01-18,7.0
