date,attention
2016-10-01,100.0
2016-10-02,91.0
2016-10-03,86.0
2016-10-04,77.0
2016-10-05,68.0
2016-10-06,67.0
2016-10-07,66.0
2016-10-08,61.0
2016-10-09,58.0
2016-10-10,56.0
2016-10-11,56.0
2016-10-12,55.0
2016-10-13,56.0
2016-10-14,52.0
2016-10-15,51.0
2016-10-16,49.0
2016-10-17,51.0
2016-10-18,50.0
2016-10-19,50.0
2016-10-20,49.0
2016-10-21,48.0
2016-10-22,46.0
2016-10-23,43.0
2016-10-24,49.0
2016-10-25,49.0
2016-10-26,48.0
2016-10-27,49.0
2016-10-28,47.0
2016-10-29,42.0
2016-10-30,40.0
2016-10-31,47.0
2016-11-01,48.0
2016-11-02,44.0
2016-11-03,46.0
2016-11-04,46.0
2016-11-05,41.0
2016-11-06,37.0
2016-11-07,46.0
2016-11-08,45.0
2016-11-09,39.0
2016-11-10,41.0
2016-11-11,46.0
2016-11-12,37.0
2016-11-13,35.0
2016-11-14,43.0
2016-11-15,41.0
2016-11-16,43.0
2016-11-17,41.0
2016-11-18,43.0
2016-11-19,37.0
2016-11-20,34.0
2016-11-21,42.0
2016-11-22,42.0
2016-11-23,40.0
2016-11-24,37.0
2016-11-25,38.0
2016-11-26,35.0
2016-11-27,35.0
2016-11-28,43.0
2016-11-29,44.0
2016-11-30,42.0
2016-12-01,42.0
2016-12-02,42.0
2016-12-03,36.0
2016-12-04,35.0
2016-12-05,43.0
2016-12-06,43.0
2016-12-07,40.0
2016-12-08,43.0
2016-12-09,39.0
2016-12-10,35.0
2016-12-11,32.0
2016-12-12,42.0
2016-12-13,41.0
2016-12-14,42.0
2016-12-15,41.0
2016-12-16,41.0
2016-12-17,36.0
2016-12-18,34.0
2016-12-19,41.0
2016-12-20,41.0
2016-12-21,40.0
2016-12-22,40.0
2016-12-23,39.0
2016-12-24,34.0
2016-12-25,30.0
2016-12-26,37.0
2016-12-27,41.0
2016-12-28,41.0
2016-12-29,41.0
2016-12-30,39.0
2016-12-31,35.0
2017-01-01,34.0
2017-01-02,40.0
2017-01-03,43.0
2017-01-04,47.0
2017-01-05,47.0
2017-01-06,43.0
2017-01-07,38.0
2017-01-08,35.0
2017-01-09,43.0
2017-01-10,44.0
2017-01-11,43.0
2017-01-12,43.0
2017-01-13,43.0
2017-01-14,37.0
2017-01-15,37.0
2017-01-16,43.0
2017-01-17,43.0
2017-01-18,45.0
2017-01-19,46.0
2017-01-20,42.0
2017-01-21,41.0
2017-01-22,38.0
2017-01-23,45.0
2017-01-24,44.0
2017-01-25,44.0
2017-01-26,50.0
2017-01-27,45.0
2017-01-28,38.0
2017-01-29,36.0
2017-01-30,53.0
2017-01-31,45.0
2017-02-01,44.0
2017-02-02,44.0
2017-02-03,45.0
2017-02-04,36.0
2017-02-05,36.0
2017-02-06,42.0
2017-02-07,44.0
2017-02-08,42.0
2017-02-09,42.0
2017-02-10,41.0
2017-02-11,37.0
2017-02-12,34.0
2017-02-13,43.0
2017-02-14,44.0
2017-02-15,40.0
2017-02-16,42.0
2017-02-17,42.0
2017-02-18,37.0
2017-02-19,37.0
2017-02-20,43.0
2017-02-21,42.0
2017-02-22,43.0
2017-02-23,43.0
2017-02-24,44.0
2017-02-25,38.0
2017-02-26,35.0
2017-02-27,42.0
2017-02-28,41.0
2017-03-01,44.0
2017-03-02,46.0
2017-03-03,44.0
2017-03-04,38.0
2017-03-05,35.0
2017-03-06,44.0
2017-03-07,45.0
2017-03-08,44.0
2017-03-09,45.0
2017-03-10,42.0
2017-03-11,37.0
2017-03-12,36.0
2017-03-13,42.0
2017-03-14,42.0
2017-03-15,41.0
2017-03-16,42.0
2017-03-17,44.0
2017-03-18,37.0
2017-03-19,38.0
