date,attention
2016-10-01,38.0
2016-10-02,48.0
2016-10-03,33.0
2016-10-04,35.0
2016-10-05,35.0
2016-10-06,35.0
2016-10-07,37.0
2016-10-08,36.0
2016-10-09,37.0
2016-10-10,34.0
2016-10-11,34.0
2016-10-12,35.0
2016-10-13,38.0
2016-10-14,38.0
2016-10-15,42.0
2016-10-16,45.0
2016-10-17,60.0
2016-10-18,43.0
2016-10-19,35.0
2016-10-20,44.0
2016-10-21,41.0
2016-10-22,43.0
2016-10-23,74.0
2016-10-24,44.0
2016-10-25,41.0
2016-10-26,52.0
2016-10-27,46.0
2016-10-28,40.0
2016-10-29,50.0
2016-10-30,40.0
2016-10-31,35.0
2016-11-01,34.0
2016-11-02,35.0
2016-11-03,40.0
2016-11-04,39.0
2016-11-05,36.0
2016-11-06,47.0
2016-11-07,35.0
2016-11-08,33.0
2016-11-09,33.0
2016-11-10,34.0
2016-11-11,33.0
2016-11-12,36.0
2016-11-13,35.0
2016-11-14,34.0
2016-11-15,32.0
2016-11-16,32.0
2016-11-17,32.0
2016-11-18,38.0
2016-11-19,69.0
2016-11-20,37.0
2016-11-21,32.0
2016-11-22,31.0
2016-11-23,31.0
2016-11-24,36.0
2016-11-25,34.0
2016-11-26,34.0
2016-11-27,42.0
2016-11-28,31.0
2016-11-29,30.0
2016-11-30,36.0
2016-12-01,35.0
2016-12-02,31.0
2016-12-03,36.0
2016-12-04,47.0
2016-12-05,33.0
2016-12-06,32.0
2016-12-07,30.0
2016-12-08,37.0
2016-12-09,33.0
2016-12-10,38.0
2016-12-11,47.0
2016-12-12,33.0
2016-12-13,34.0
2016-12-14,37.0
2016-12-15,33.0
2016-12-16,32.0
2016-12-17,40.0
2016-12-18,37.0
2016-12-19,32.0
2016-12-20,33.0
2016-12-21,31.0
2016-12-22,34.0
2016-12-23,36.0
2016-12-24,37.0
2016-12-25,38.0
2016-12-26,47.0
2016-12-27,37.0
2016-12-28,35.0
2016-12-29,35.0
2016-12-30,34.0
2016-12-31,45.0
2017-01-01,38.0
2017-01-02,42.0
2017-01-03,36.0
2017-01-04,32.0
2017-01-05,36.0
2017-01-06,33.0
2017-01-07,49.0
2017-01-08,37.0
2017-01-09,32.0
2017-01-10,39.0
2017-01-11,37.0
2017-01-12,32.0
2017-01-13,33.0
2017-01-14,38.0
2017-01-15,64.0
2017-01-16,37.0
2017-01-17,31.0
2017-01-18,33.0
2017-01-19,31.0
2017-01-20,32.0
2017-01-21,46.0
2017-01-22,34.0
2017-01-23,30.0
2017-01-24,29.0
2017-01-25,30.0
2017-01-26,37.0
2017-01-27,33.0
2017-01-28,34.0
2017-01-29,39.0
2017-01-30,34.0
2017-01-31,30.0
2017-02-01,36.0
2017-02-02,33.0
2017-02-03,31.0
2017-02-04,36.0
2017-02-05,42.0
2017-02-06,35.0
2017-02-07,31.0
2017-02-08,31.0
2017-02-09,32.0
2017-02-10,31.0
2017-02-11,45.0
2017-02-12,35.0
2017-02-13,32.0
2017-02-14,33.0
2017-02-15,28.0
2017-02-16,37.0
2017-02-17,34.0
2017-02-18,36.0
2017-02-19,43.0
2017-02-20,34.0
2017-02-21,34.0
2017-02-22,37.0
2017-02-23,34.0
2017-02-24,34.0
2017-02-25,39.0
2017-02-26,61.0
2017-02-27,37.0
2017-02-28,36.0
