date,attention
2016-10-01,37.0
2016-10-02,34.0
2016-10-03,35.0
2016-10-04,51.0
2016-10-05,53.0
2016-10-06,43.0
2016-10-07,52.0
2016-10-08,43.0
2016-10-09,35.0
2016-10-10,49.0
2016-10-11,58.0
2016-10-12,43.0
2016-10-13,42.0
2016-10-14,56.0
2016-10-15,59.0
2016-10-16,29.0
2016-10-17,46.0
2016-10-18,56.0
2016-10-19,43.0
2016-10-20,54.0
2016-10-21,55.0
2016-10-22,43.0
2016-10-23,44.0
2016-10-24,47.0
2016-10-25,62.0
2016-10-26,50.0
2016-10-27,48.0
2016-10-28,34.0
2016-10-29,39.0
2016-10-30,25.0
2016-10-31,66.0
2016-11-01,56.0
2016-11-02,43.0
2016-11-03,48.0
2016-11-04,39.0
2016-11-05,35.0
2016-11-06,30.0
2016-11-07,54.0
2016-11-08,53.0
2016-11-09,28.0
2016-11-10,60.0
2016-11-11,60.0
2016-11-12,38.0
2016-11-13,33.0
2016-11-14,40.0
2016-11-15,52.0
2016-11-16,46.0
2016-11-17,45.0
2016-11-18,52.0
2016-11-19,43.0
2016-11-20,50.0
2016-11-21,37.0
2016-11-22,59.0
2016-11-23,48.0
2016-11-24,47.0
2016-11-25,48.0
2016-11-26,42.0
2016-11-27,32.0
2016-11-28,45.0
2016-11-29,40.0
2016-11-30,45.0
2016-12-01,46.0
2016-12-02,51.0
2016-12-03,24.0
2016-12-04,32.0
2016-12-05,52.0
2016-12-06,54.0
2016-12-07,46.0
2016-12-08,46.0
2016-12-09,43.0
2016-12-10,47.0
2016-12-11,37.0
2016-12-12,59.0
2016-12-13,43.0
2016-12-14,53.0
2016-12-15,38.0
2016-12-16,49.0
2016-12-17,41.0
2016-12-18,32.0
2016-12-19,46.0
2016-12-20,42.0
2016-12-21,57.0
2016-12-22,32.0
2016-12-23,40.0
2016-12-24,30.0
2016-12-25,29.0
2016-12-26,55.0
2016-12-27,35.0
2016-12-28,46.0
2016-12-29,39.0
2016-12-30,39.0
2016-12-31,36.0
2017-01-01,25.0
2017-01-02,41.0
2017-01-03,38.0
2017-01-04,36.0
2017-01-05,38.0
2017-01-06,44.0
2017-01-07,37.0
2017-01-08,39.0
2017-01-09,43.0
2017-01-10,53.0
2017-01-11,47.0
2017-01-12,39.0
2017-01-13,48.0
2017-01-14,34.0
2017-01-15,36.0
