date,attention
2017-01-01,6.0
2017-01-02,9.0
2017-01-03,10.0
2017-01-04,10.0
2017-01-05,14.0
2017-01-06,14.0
2017-01-07,9.0
2017-01-08,6.0
2017-01-09,8.0
2017-01-10,11.0
2017-01-11,11.0
2017-01-12,14.0
2017-01-13,12.0
2017-01-14,6.0
2017-01-15,7.0
2017-01-16,8.0
2017-01-17,10.0
2017-01-18,13.0
2017-01-19,14.0
2017-01-20,13.0
2017-01-21,9.0
2017-01-22,7.0
2017-01-23,11.0
2017-01-24,12.0
2017-01-25,9.0
2017-01-26,9.0
2017-01-27,14.0
2017-01-28,7.0
2017-01-29,4.0
2017-01-30,13.0
2017-01-31,10.0
2017-02-01,11.0
2017-02-02,12.0
2017-02-03,14.0
2017-02-04,11.0
2017-02-05,7.0
2017-02-06,11.0
2017-02-07,10.0
2017-02-08,9.0
2017-02-09,10.0
2017-02-10,12.0
2017-02-11,8.0
2017-02-12,7.0
2017-02-13,7.0
2017-02-14,12.0
2017-02-15,11.0
2017-02-16,10.0
2017-02-17,13.0
2017-02-18,8.0
2017-02-19,8.0
2017-02-20,5.0
2017-02-21,14.0
2017-02-22,13.0
2017-02-23,7.0
2017-02-24,14.0
2017-02-25,8.0
2017-02-26,8.0
2017-02-27,14.0
2017-02-28,9.0
2017-03-01,12.0
2017-03-02,11.0
2017-03-03,9.0
2017-03-04,9.0
2017-03-05,2.0
2017-03-06,9.0
2017-03-07,8.0
2017-03-08,10.0
2017-03-09,9.0
2017-03-10,9.0
2017-03-11,8.0
2017-03-12,7.0
2017-03-13,9.0
2017-03-14,13.0
2017-03-15,11.0
2017-03-16,15.0
2017-03-17,14.0
2017-03-18,4.0
2017-03-19,5.0
2017-03-20,12.0
2017-03-21,8.0
2017-03-22,10.0
2017-03-23,9.0
2017-03-24,10.0
2017-03-25,8.0
2017-03-26,10.0
2017-03-27,11.0
2017-03-28,12.0
2017-03-29,11.0
2017-03-30,13.0
2017-03-31,11.0
2017-04-01,5.0
2017-04-02,8.0
2017-04-03,12.0
2017-04-04,9.0
2017-04-05,12.0
2017-04-06,7.0
2017-04-07,10.0
2017-04-08,4.0
2017-04-09,5.0
2017-04-10,8.0
2017-04-11,9.0
2017-04-12,8.0
2017-04-13,8.0
2017-04-14,8.0
2017-04-15,5.0
2017-04-16,7.0
2017-04-17,7.0
2017-04-18,10.0
2017-04-19,10.0
2017-04-20,13.0
2017-04-21,10.0
2017-04-22,6.0
2017-04-23,8.0
2017-04-24,8.0
2017-04-25,8.0
2017-04-26,11.0
2017-04-27,15.0
2017-04-28,16.0
2017-04-29,9.0
2017-04-30,10.0
2017-05-01,13.0
2017-05-02,10.0
2017-05-03,14.0
2017-05-04,15.0
2017-05-05,11.0
2017-05-06,7.0
2017-05-07,9.0
2017-05-08,9.0
2017-05-09,12.0
2017-05-10,10.0
2017-05-11,12.0
2017-05-12,10.0
2017-05-13,5.0
2017-05-14,8.0
2017-05-15,10.0
2017-05-16,11.0
2017-05-17,12.0
2017-05-18,13.0
2017-05-19,13.0
2017-05-20,7.0
2017-05-21,6.0
2017-05-22,13.0
2017-05-23,12.0
2017-05-24,9.0
2017-05-25,12.0
2017-05-26,11.0
2017-05-27,6.0
2017-05-28,10.0
2017-05-29,5.0
2017-05-30,12.0
2017-05-31,12.0
2017-06-01,10.0
2017-06-02,9.0
2017-06-03,9.0
2017-06-04,7.0
2017-06-05,12.0
2017-06-06,13.0
2017-06-07,15.0
2017-06-08,13.0
2017-06-09,15.0
2017-06-10,8.0
2017-06-11,11.0
2017-06-12,20.0
2017-06-13,12.0
2017-06-14,16.0
2017-06-15,16.0
2017-06-16,14.0
2017-06-17,10.0
2017-06-18,4.0
2017-06-19,11.0
2017-06-20,12.0
2017-06-21,14.0
2017-06-22,15.0
2017-06-23,14.0
2017-06-24,8.0
2017-06-25,5.0
2017-06-26,13.0
2017-06-27,13.0
2017-06-28,15.0
2017-06-29,17.0
2017-06-30,15.0
2017-07-01,8.0
2017-07-02,10.0
2017-07-03,13.0
2017-07-04,10.0
2017-07-05,13.0
2017-07-06,12.0
2017-07-07,15.0
2017-07-08,10.0
2017-07-09,10.0
2017-07-10,17.0
2017-07-11,16.0
2017-07-12,14.0
2017-07-13,8.0
2017-07-14,10.0
2017-07-15,7.0
2017-07-16,7.0
2017-07-17,12.0
2017-07-18,11.0
2017-07-19,16.0
2017-07-20,12.0
2017-07-21,16.0
2017-07-22,5.0
2017-07-23,7.0
2017-07-24,12.0
2017-07-25,18.0
2017-07-26,15.0
2017-07-27,12.0
2017-07-28,16.0
2017-07-29,7.0
2017-07-30,9.0
2017-07-31,11.0
2017-08-01,11.0
2017-08-02,14.0
2017-08-03,14.0
2017-08-04,13.0
2017-08-05,7.0
2017-08-06,6.0
2017-08-07,9.0
2017-08-08,15.0
2017-08-09,13.0
2017-08-10,17.0
2017-08-11,18.0
2017-08-12,9.0
2017-08-13,4.0
2017-08-14,11.0
2017-08-15,20.0
2017-08-16,11.0
2017-08-17,9.0
2017-08-18,14.0
2017-08-19,5.0
2017-08-20,5.0
2017-08-21,8.0
2017-08-22,15.0
2017-08-23,10.0
2017-08-24,12.0
2017-08-25,16.0
2017-08-26,10.0
2017-08-27,5.0
2017-08-28,9.0
2017-08-29,7.0
2017-08-30,14.0
2017-08-31,11.0
