date,attention
2016-10-01,55.0
2016-10-02,47.0
2016-10-03,54.0
2016-10-04,61.0
2016-10-05,60.0
2016-10-06,61.0
2016-10-07,55.0
2016-10-08,55.0
2016-10-09,54.0
2016-10-10,66.0
2016-10-11,55.0
2016-10-12,65.0
2016-10-13,65.0
2016-10-14,56.0
2016-10-15,53.0
2016-10-16,53.0
2016-10-17,56.0
2016-10-18,59.0
2016-10-19,54.0
2016-10-20,59.0
2016-10-21,64.0
2016-10-22,61.0
2016-10-23,46.0
2016-10-24,58.0
2016-10-25,59.0
2016-10-26,75.0
2016-10-27,61.0
2016-10-28,57.0
2016-10-29,49.0
2016-10-30,49.0
2016-10-31,54.0
2016-11-01,58.0
2016-11-02,62.0
2016-11-03,59.0
2016-11-04,58.0
2016-11-05,45.0
2016-11-06,44.0
2016-11-07,62.0
2016-11-08,61.0
2016-11-09,52.0
2016-11-10,71.0
2016-11-11,64.0
2016-11-12,53.0
2016-11-13,53.0
2016-11-14,65.0
2016-11-15,68.0
2016-11-16,64.0
2016-11-17,69.0
2016-11-18,54.0
2016-11-19,57.0
2016-11-20,50.0
2016-11-21,62.0
2016-11-22,59.0
2016-11-23,61.0
2016-11-24,63.0
2016-11-25,56.0
2016-11-26,54.0
2016-11-27,49.0
2016-11-28,68.0
2016-11-29,62.0
2016-11-30,66.0
2016-12-01,63.0
2016-12-02,53.0
2016-12-03,51.0
2016-12-04,57.0
2016-12-05,63.0
2016-12-06,60.0
2016-12-07,60.0
2016-12-08,58.0
2016-12-09,59.0
2016-12-10,50.0
2016-12-11,52.0
2016-12-12,59.0
2016-12-13,60.0
2016-12-14,58.0
2016-12-15,54.0
2016-12-16,59.0
2016-12-17,56.0
2016-12-18,50.0
2016-12-19,62.0
2016-12-20,58.0
2016-12-21,58.0
2016-12-22,57.0
2016-12-23,57.0
2016-12-24,50.0
2016-12-25,52.0
2016-12-26,54.0
2016-12-27,60.0
2016-12-28,58.0
2016-12-29,59.0
2016-12-30,58.0
2016-12-31,48.0
2017-01-01,51.0
2017-01-02,58.0
2017-01-03,61.0
2017-01-04,66.0
2017-01-05,60.0
2017-01-06,58.0
2017-01-07,52.0
2017-01-08,55.0
2017-01-09,59.0
2017-01-10,59.0
2017-01-11,60.0
2017-01-12,63.0
2017-01-13,60.0
2017-01-14,51.0
2017-01-15,52.0
2017-01-16,62.0
2017-01-17,67.0
2017-01-18,64.0
2017-01-19,60.0
2017-01-20,65.0
2017-01-21,45.0
2017-01-22,62.0
2017-01-23,67.0
2017-01-24,62.0
2017-01-25,67.0
2017-01-26,72.0
2017-01-27,63.0
2017-01-28,59.0
2017-01-29,56.0
2017-01-30,65.0
2017-01-31,72.0
2017-02-01,72.0
2017-02-02,72.0
2017-02-03,66.0
2017-02-04,61.0
2017-02-05,59.0
2017-02-06,68.0
2017-02-07,63.0
2017-02-08,53.0
2017-02-09,62.0
2017-02-10,59.0
2017-02-11,55.0
2017-02-12,56.0
2017-02-13,63.0
2017-02-14,59.0
2017-02-15,63.0
2017-02-16,59.0
2017-02-17,60.0
2017-02-18,62.0
2017-02-19,50.0
2017-02-20,63.0
2017-02-21,69.0
2017-02-22,65.0
2017-02-23,67.0
2017-02-24,70.0
2017-02-25,63.0
2017-02-26,53.0
2017-02-27,66.0
2017-02-28,71.0
2017-03-01,72.0
2017-03-02,77.0
2017-03-03,68.0
2017-03-04,62.0
2017-03-05,64.0
2017-03-06,72.0
2017-03-07,72.0
2017-03-08,82.0
2017-03-09,65.0
2017-03-10,70.0
2017-03-11,57.0
2017-03-12,65.0
2017-03-13,65.0
2017-03-14,77.0
2017-03-15,73.0
2017-03-16,59.0
2017-03-17,67.0
2017-03-18,60.0
2017-03-19,53.0
2017-03-20,77.0
2017-03-21,66.0
2017-03-22,74.0
2017-03-23,69.0
2017-03-24,66.0
2017-03-25,62.0
2017-03-26,61.0
2017-03-27,75.0
2017-03-28,69.0
2017-03-29,73.0
2017-03-30,69.0
2017-03-31,70.0
2017-04-01,61.0
2017-04-02,62.0
2017-04-03,64.0
2017-04-04,71.0
2017-04-05,68.0
2017-04-06,60.0
2017-04-07,63.0
2017-04-08,55.0
2017-04-09,53.0
2017-04-10,66.0
2017-04-11,69.0
2017-04-12,73.0
2017-04-13,62.0
2017-04-14,57.0
2017-04-15,60.0
2017-04-16,59.0
2017-04-17,67.0
2017-04-18,64.0
2017-04-19,78.0
2017-04-20,64.0
2017-04-21,61.0
2017-04-22,53.0
2017-04-23,52.0
2017-04-24,67.0
2017-04-25,72.0
2017-04-26,67.0
2017-04-27,69.0
2017-04-28,66.0
2017-04-29,53.0
2017-04-30,53.0
2017-05-01,60.0
2017-05-02,58.0
2017-05-03,63.0
2017-05-04,70.0
2017-05-05,64.0
2017-05-06,59.0
2017-05-07,58.0
2017-05-08,67.0
2017-05-09,66.0
2017-05-10,60.0
2017-05-11,66.0
2017-05-12,63.0
2017-05-13,57.0
2017-05-14,48.0
2017-05-15,71.0
2017-05-16,60.0
2017-05-17,66.0
2017-05-18,64.0
2017-05-19,54.0
2017-05-20,55.0
2017-05-21,50.0
2017-05-22,60.0
2017-05-23,58.0
2017-05-24,64.0
2017-05-25,55.0
2017-05-26,56.0
2017-05-27,58.0
2017-05-28,52.0
2017-05-29,64.0
2017-05-30,62.0
2017-05-31,74.0
2017-06-01,100.0
2017-06-02,69.0
2017-06-03,64.0
2017-06-04,55.0
2017-06-05,72.0
2017-06-06,63.0
2017-06-07,64.0
2017-06-08,68.0
2017-06-09,57.0
2017-06-10,50.0
2017-06-11,50.0
2017-06-12,55.0
2017-06-13,62.0
2017-06-14,59.0
2017-06-15,56.0
2017-06-16,55.0
2017-06-17,49.0
2017-06-18,51.0
2017-06-19,64.0
2017-06-20,64.0
2017-06-21,63.0
2017-06-22,55.0
2017-06-23,57.0
2017-06-24,53.0
2017-06-25,52.0
2017-06-26,58.0
2017-06-27,58.0
2017-06-28,65.0
2017-06-29,60.0
2017-06-30,55.0
2017-07-01,46.0
2017-07-02,48.0
2017-07-03,62.0
2017-07-04,53.0
2017-07-05,64.0
2017-07-06,59.0
2017-07-07,52.0
2017-07-08,49.0
2017-07-09,49.0
2017-07-10,55.0
2017-07-11,60.0
2017-07-12,63.0
2017-07-13,66.0
2017-07-14,62.0
2017-07-15,49.0
2017-07-16,58.0
2017-07-17,57.0
2017-07-18,65.0
2017-07-19,60.0
2017-07-20,59.0
2017-07-21,55.0
2017-07-22,46.0
2017-07-23,54.0
2017-07-24,56.0
2017-07-25,57.0
2017-07-26,58.0
2017-07-27,62.0
2017-07-28,49.0
2017-07-29,46.0
2017-07-30,48.0
2017-07-31,62.0
2017-08-01,62.0
2017-08-02,58.0
2017-08-03,55.0
2017-08-04,58.0
2017-08-05,54.0
2017-08-06,52.0
2017-08-07,57.0
2017-08-08,63.0
2017-08-09,60.0
2017-08-10,52.0
2017-08-11,49.0
2017-08-12,53.0
2017-08-13,45.0
2017-08-14,52.0
2017-08-15,61.0
2017-08-16,57.0
2017-08-17,51.0
2017-08-18,57.0
2017-08-19,48.0
2017-08-20,43.0
2017-08-21,51.0
2017-08-22,60.0
2017-08-23,56.0
2017-08-24,59.0
2017-08-25,43.0
2017-08-26,41.0
2017-08-27,48.0
2017-08-28,45.0
2017-08-29,54.0
2017-08-30,59.0
2017-08-31,57.0
2017-09-01,54.0
2017-09-02,45.0
2017-09-03,47.0
2017-09-04,52.0
2017-09-05,56.0
2017-09-06,56.0
2017-09-07,59.0
2017-09-08,44.0
2017-09-09,43.0
2017-09-10,39.0
2017-09-11,58.0
2017-09-12,59.0
2017-09-13,54.0
2017-09-14,57.0
2017-09-15,53.0
2017-09-16,48.0
2017-09-17,46.0
2017-09-18,59.0
2017-09-19,54.0
2017-09-20,58.0
2017-09-21,59.0
2017-09-22,62.0
2017-09-23,52.0
