date,attention
2016-10-01,32.0
2016-10-02,36.0
2016-10-03,32.0
2016-10-04,30.0
2016-10-05,31.0
2016-10-06,31.0
2016-10-07,30.0
2016-10-08,34.0
2016-10-09,31.0
2016-10-10,31.0
2016-10-11,32.0
2016-10-12,36.0
2016-10-13,31.0
2016-10-14,31.0
2016-10-15,28.0
2016-10-16,32.0
2016-10-17,33.0
2016-10-18,33.0
2016-10-19,29.0
2016-10-20,31.0
2016-10-21,31.0
2016-10-22,30.0
2016-10-23,32.0
2016-10-24,32.0
2016-10-25,32.0
2016-10-26,32.0
2016-10-27,31.0
2016-10-28,34.0
2016-10-29,29.0
2016-10-30,31.0
2016-10-31,31.0
2016-11-01,30.0
2016-11-02,34.0
2016-11-03,33.0
2016-11-04,29.0
2016-11-05,31.0
2016-11-06,31.0
2016-11-07,31.0
2016-11-08,29.0
2016-11-09,27.0
2016-11-10,28.0
2016-11-11,28.0
2016-11-12,33.0
2016-11-13,32.0
2016-11-14,30.0
2016-11-15,31.0
2016-11-16,32.0
2016-11-17,33.0
2016-11-18,31.0
2016-11-19,30.0
2016-11-20,33.0
2016-11-21,34.0
2016-11-22,32.0
2016-11-23,30.0
2016-11-24,27.0
2016-11-25,29.0
2016-11-26,30.0
2016-11-27,31.0
2016-11-28,33.0
2016-11-29,30.0
2016-11-30,30.0
2016-12-01,32.0
2016-12-02,32.0
2016-12-03,31.0
2016-12-04,35.0
2016-12-05,33.0
2016-12-06,33.0
2016-12-07,32.0
2016-12-08,31.0
2016-12-09,30.0
2016-12-10,34.0
2016-12-11,34.0
2016-12-12,32.0
2016-12-13,34.0
2016-12-14,32.0
2016-12-15,33.0
2016-12-16,32.0
2016-12-17,34.0
2016-12-18,36.0
2016-12-19,33.0
2016-12-20,31.0
2016-12-21,33.0
2016-12-22,33.0
2016-12-23,31.0
2016-12-24,30.0
2016-12-25,40.0
2016-12-26,33.0
2016-12-27,34.0
2016-12-28,32.0
2016-12-29,41.0
2016-12-30,43.0
2016-12-31,31.0
2017-01-01,34.0
2017-01-02,34.0
2017-01-03,36.0
2017-01-04,32.0
2017-01-05,35.0
2017-01-06,31.0
2017-01-07,32.0
2017-01-08,37.0
2017-01-09,38.0
2017-01-10,33.0
2017-01-11,32.0
2017-01-12,31.0
2017-01-13,33.0
2017-01-14,34.0
2017-01-15,34.0
2017-01-16,31.0
