date,attention
2017-01-01,63.0
2017-01-02,60.0
2017-01-03,58.0
2017-01-04,60.0
2017-01-05,56.0
2017-01-06,60.0
2017-01-07,62.0
2017-01-08,65.0
2017-01-09,57.0
2017-01-10,54.0
2017-01-11,55.0
2017-01-12,61.0
2017-01-13,57.0
2017-01-14,61.0
2017-01-15,65.0
2017-01-16,58.0
2017-01-17,54.0
2017-01-18,53.0
2017-01-19,56.0
2017-01-20,54.0
2017-01-21,61.0
2017-01-22,66.0
2017-01-23,58.0
2017-01-24,60.0
2017-01-25,57.0
2017-01-26,57.0
2017-01-27,54.0
2017-01-28,61.0
2017-01-29,62.0
2017-01-30,57.0
2017-01-31,52.0
2017-02-01,52.0
2017-02-02,57.0
2017-02-03,61.0
2017-02-04,61.0
2017-02-05,54.0
2017-02-06,57.0
2017-02-07,56.0
2017-02-08,54.0
2017-02-09,60.0
2017-02-10,57.0
2017-02-11,60.0
2017-02-12,63.0
2017-02-13,58.0
2017-02-14,61.0
2017-02-15,82.0
2017-02-16,83.0
2017-02-17,70.0
2017-02-18,66.0
2017-02-19,66.0
2017-02-20,56.0
2017-02-21,56.0
2017-02-22,55.0
2017-02-23,55.0
2017-02-24,58.0
2017-02-25,61.0
2017-02-26,61.0
2017-02-27,51.0
2017-02-28,55.0
2017-03-01,54.0
2017-03-02,56.0
2017-03-03,59.0
2017-03-04,61.0
2017-03-05,56.0
2017-03-06,51.0
2017-03-07,58.0
2017-03-08,56.0
2017-03-09,56.0
2017-03-10,60.0
2017-03-11,54.0
2017-03-12,61.0
2017-03-13,54.0
2017-03-14,58.0
2017-03-15,61.0
2017-03-16,56.0
2017-03-17,56.0
2017-03-18,62.0
2017-03-19,61.0
2017-03-20,52.0
2017-03-21,56.0
2017-03-22,54.0
2017-03-23,57.0
2017-03-24,56.0
2017-03-25,63.0
2017-03-26,58.0
2017-03-27,61.0
2017-03-28,57.0
2017-03-29,58.0
2017-03-30,57.0
2017-03-31,59.0
2017-04-01,55.0
2017-04-02,61.0
2017-04-03,56.0
2017-04-04,58.0
2017-04-05,51.0
2017-04-06,56.0
2017-04-07,61.0
2017-04-08,63.0
2017-04-09,68.0
2017-04-10,63.0
2017-04-11,62.0
2017-04-12,61.0
2017-04-13,68.0
2017-04-14,67.0
2017-04-15,69.0
2017-04-16,64.0
2017-04-17,61.0
2017-04-18,56.0
2017-04-19,58.0
2017-04-20,56.0
2017-04-21,60.0
2017-04-22,59.0
2017-04-23,56.0
2017-04-24,60.0
2017-04-25,56.0
2017-04-26,59.0
2017-04-27,62.0
2017-04-28,55.0
2017-04-29,63.0
2017-04-30,58.0
2017-05-01,60.0
2017-05-02,57.0
2017-05-03,54.0
2017-05-04,54.0
2017-05-05,57.0
2017-05-06,62.0
2017-05-07,61.0
2017-05-08,53.0
2017-05-09,58.0
2017-05-10,53.0
2017-05-11,54.0
2017-05-12,57.0
2017-05-13,60.0
2017-05-14,63.0
2017-05-15,51.0
2017-05-16,54.0
2017-05-17,59.0
2017-05-18,62.0
2017-05-19,62.0
2017-05-20,59.0
2017-05-21,61.0
2017-05-22,54.0
2017-05-23,61.0
2017-05-24,62.0
2017-05-25,52.0
2017-05-26,57.0
2017-05-27,60.0
2017-05-28,63.0
2017-05-29,55.0
2017-05-30,54.0
2017-05-31,52.0
2017-06-01,51.0
2017-06-02,55.0
2017-06-03,62.0
2017-06-04,54.0
2017-06-05,54.0
2017-06-06,52.0
2017-06-07,52.0
2017-06-08,53.0
2017-06-09,51.0
2017-06-10,57.0
2017-06-11,64.0
2017-06-12,59.0
2017-06-13,51.0
2017-06-14,53.0
2017-06-15,53.0
2017-06-16,54.0
2017-06-17,58.0
2017-06-18,54.0
2017-06-19,52.0
2017-06-20,55.0
2017-06-21,54.0
2017-06-22,55.0
2017-06-23,54.0
2017-06-24,58.0
2017-06-25,58.0
2017-06-26,53.0
2017-06-27,58.0
2017-06-28,54.0
2017-06-29,55.0
2017-06-30,54.0
2017-07-01,57.0
2017-07-02,56.0
2017-07-03,53.0
2017-07-04,53.0
2017-07-05,52.0
2017-07-06,52.0
2017-07-07,54.0
2017-07-08,56.0
2017-07-09,56.0
2017-07-10,52.0
2017-07-11,53.0
2017-07-12,51.0
2017-07-13,53.0
2017-07-14,59.0
2017-07-15,59.0
2017-07-16,61.0
2017-07-17,51.0
2017-07-18,56.0
2017-07-19,53.0
2017-07-20,55.0
2017-07-21,58.0
2017-07-22,57.0
