date,attention
2016-10-01,20.0
2016-10-02,7.0
2016-10-03,36.0
2016-10-04,33.0
2016-10-05,59.0
2016-10-06,100.0
2016-10-07,54.0
2016-10-08,11.0
2016-10-09,4.0
2016-10-10,56.0
2016-10-11,47.0
2016-10-12,40.0
2016-10-13,18.0
2016-10-14,42.0
2016-10-15,11.0
2016-10-16,4.0
2016-10-17,29.0
2016-10-18,30.0
2016-10-19,26.0
2016-10-20,16.0
2016-10-21,37.0
2016-10-22,11.0
2016-10-23,9.0
2016-10-24,33.0
2016-10-25,42.0
2016-10-26,37.0
2016-10-27,70.0
2016-10-28,36.0
2016-10-29,5.0
2016-10-30,0.0
2016-10-31,17.0
2016-11-01,21.0
2016-11-02,19.0
2016-11-03,18.0
2016-11-04,21.0
2016-11-05,3.0
2016-11-06,4.0
2016-11-07,20.0
2016-11-08,14.0
2016-11-09,31.0
2016-11-10,24.0
2016-11-11,14.0
2016-11-12,4.0
2016-11-13,4.0
2016-11-14,18.0
2016-11-15,19.0
2016-11-16,21.0
2016-11-17,19.0
2016-11-18,13.0
2016-11-19,3.0
2016-11-20,5.0
2016-11-21,16.0
2016-11-22,12.0
2016-11-23,15.0
2016-11-24,4.0
2016-11-25,7.0
2016-11-26,2.0
2016-11-27,3.0
2016-11-28,14.0
2016-11-29,13.0
2016-11-30,12.0
2016-12-01,13.0
2016-12-02,11.0
2016-12-03,2.0
2016-12-04,2.0
2016-12-05,10.0
2016-12-06,12.0
2016-12-07,16.0
2016-12-08,15.0
2016-12-09,12.0
2016-12-10,6.0
2016-12-11,6.0
2016-12-12,16.0
2016-12-13,13.0
2016-12-14,14.0
2016-12-15,13.0
2016-12-16,19.0
2016-12-17,2.0
2016-12-18,2.0
2016-12-19,9.0
2016-12-20,9.0
2016-12-21,19.0
2016-12-22,22.0
2016-12-23,17.0
2016-12-24,4.0
2016-12-25,3.0
2016-12-26,3.0
2016-12-27,11.0
2016-12-28,10.0
2016-12-29,12.0
2016-12-30,13.0
2016-12-31,5.0
2017-01-01,4.0
2017-01-02,6.0
2017-01-03,11.0
2017-01-04,13.0
2017-01-05,14.0
2017-01-06,15.0
2017-01-07,7.0
2017-01-08,3.0
2017-01-09,11.0
2017-01-10,10.0
2017-01-11,10.0
2017-01-12,10.0
2017-01-13,12.0
2017-01-14,3.0
2017-01-15,4.0
2017-01-16,8.0
2017-01-17,13.0
2017-01-18,14.0
2017-01-19,10.0
2017-01-20,10.0
2017-01-21,2.0
2017-01-22,2.0
2017-01-23,12.0
2017-01-24,10.0
2017-01-25,14.0
2017-01-26,14.0
2017-01-27,9.0
2017-01-28,2.0
2017-01-29,2.0
2017-01-30,10.0
2017-01-31,15.0
2017-02-01,17.0
2017-02-02,11.0
2017-02-03,13.0
2017-02-04,5.0
2017-02-05,5.0
2017-02-06,13.0
2017-02-07,19.0
2017-02-08,22.0
2017-02-09,52.0
2017-02-10,30.0
2017-02-11,7.0
2017-02-12,6.0
2017-02-13,11.0
2017-02-14,18.0
2017-02-15,24.0
2017-02-16,23.0
2017-02-17,13.0
2017-02-18,2.0
2017-02-19,3.0
2017-02-20,5.0
2017-02-21,14.0
2017-02-22,6.0
2017-02-23,11.0
2017-02-24,16.0
2017-02-25,4.0
2017-02-26,3.0
2017-02-27,13.0
2017-02-28,11.0
2017-03-01,18.0
2017-03-02,16.0
2017-03-03,12.0
2017-03-04,4.0
2017-03-05,2.0
2017-03-06,11.0
2017-03-07,11.0
2017-03-08,15.0
2017-03-09,9.0
2017-03-10,8.0
2017-03-11,2.0
2017-03-12,2.0
2017-03-13,10.0
2017-03-14,10.0
2017-03-15,17.0
2017-03-16,9.0
2017-03-17,12.0
2017-03-18,3.0
2017-03-19,2.0
2017-03-20,8.0
2017-03-21,9.0
2017-03-22,14.0
2017-03-23,12.0
2017-03-24,17.0
2017-03-25,4.0
2017-03-26,5.0
2017-03-27,9.0
2017-03-28,12.0
2017-03-29,8.0
2017-03-30,7.0
2017-03-31,14.0
2017-04-01,4.0
2017-04-02,4.0
2017-04-03,6.0
2017-04-04,9.0
2017-04-05,9.0
2017-04-06,11.0
2017-04-07,12.0
2017-04-08,4.0
2017-04-09,4.0
2017-04-10,9.0
2017-04-11,11.0
2017-04-12,10.0
2017-04-13,11.0
2017-04-14,5.0
2017-04-15,2.0
2017-04-16,3.0
2017-04-17,12.0
2017-04-18,5.0
2017-04-19,5.0
2017-04-20,4.0
2017-04-21,7.0
2017-04-22,2.0
2017-04-23,3.0
2017-04-24,9.0
2017-04-25,12.0
2017-04-26,35.0
2017-04-27,23.0
2017-04-28,17.0
2017-04-29,4.0
2017-04-30,2.0
2017-05-01,27.0
2017-05-02,30.0
2017-05-03,24.0
2017-05-04,20.0
2017-05-05,22.0
2017-05-06,7.0
2017-05-07,3.0
2017-05-08,18.0
2017-05-09,18.0
2017-05-10,17.0
2017-05-11,19.0
2017-05-12,16.0
2017-05-13,3.0
2017-05-14,4.0
2017-05-15,15.0
2017-05-16,26.0
2017-05-17,28.0
2017-05-18,20.0
2017-05-19,10.0
2017-05-20,6.0
2017-05-21,7.0
2017-05-22,14.0
2017-05-23,10.0
2017-05-24,15.0
2017-05-25,10.0
2017-05-26,12.0
2017-05-27,5.0
2017-05-28,2.0
2017-05-29,2.0
2017-05-30,15.0
2017-05-31,11.0
2017-06-01,14.0
2017-06-02,8.0
2017-06-03,2.0
2017-06-04,1.0
2017-06-05,11.0
2017-06-06,9.0
2017-06-07,10.0
2017-06-08,6.0
2017-06-09,9.0
2017-06-10,4.0
2017-06-11,6.0
2017-06-12,9.0
2017-06-13,8.0
2017-06-14,11.0
2017-06-15,10.0
2017-06-16,9.0
2017-06-17,3.0
2017-06-18,3.0
2017-06-19,9.0
2017-06-20,7.0
2017-06-21,14.0
2017-06-22,11.0
2017-06-23,12.0
2017-06-24,3.0
2017-06-25,5.0
2017-06-26,10.0
2017-06-27,12.0
2017-06-28,11.0
2017-06-29,7.0
2017-06-30,9.0
2017-07-01,5.0
2017-07-02,2.0
2017-07-03,7.0
2017-07-04,2.0
2017-07-05,5.0
2017-07-06,8.0
2017-07-07,13.0
2017-07-08,4.0
2017-07-09,3.0
2017-07-10,9.0
2017-07-11,10.0
2017-07-12,13.0
2017-07-13,13.0
2017-07-14,8.0
2017-07-15,3.0
2017-07-16,3.0
2017-07-17,17.0
2017-07-18,15.0
2017-07-19,17.0
2017-07-20,15.0
2017-07-21,13.0
2017-07-22,5.0
2017-07-23,3.0
2017-07-24,17.0
2017-07-25,14.0
