date,attention
2017-01-01,17.0
2017-01-02,25.0
2017-01-03,28.0
2017-01-04,31.0
2017-01-05,28.0
2017-01-06,26.0
2017-01-07,22.0
2017-01-08,25.0
2017-01-09,31.0
2017-01-10,34.0
2017-01-11,34.0
2017-01-12,34.0
2017-01-13,34.0
2017-01-14,27.0
2017-01-15,27.0
2017-01-16,37.0
2017-01-17,36.0
2017-01-18,37.0
2017-01-19,37.0
2017-01-20,33.0
2017-01-21,27.0
2017-01-22,28.0
2017-01-23,38.0
2017-01-24,38.0
2017-01-25,38.0
2017-01-26,36.0
2017-01-27,36.0
2017-01-28,29.0
2017-01-29,28.0
2017-01-30,39.0
2017-01-31,41.0
2017-02-01,42.0
2017-02-02,42.0
2017-02-03,37.0
2017-02-04,30.0
2017-02-05,28.0
2017-02-06,36.0
2017-02-07,39.0
2017-02-08,44.0
2017-02-09,44.0
2017-02-10,38.0
2017-02-11,30.0
2017-02-12,34.0
2017-02-13,41.0
2017-02-14,41.0
2017-02-15,44.0
2017-02-16,47.0
2017-02-17,42.0
2017-02-18,33.0
2017-02-19,32.0
2017-02-20,45.0
2017-02-21,47.0
2017-02-22,49.0
2017-02-23,44.0
2017-02-24,39.0
2017-02-25,26.0
2017-02-26,29.0
2017-02-27,36.0
2017-02-28,37.0
2017-03-01,41.0
2017-03-02,48.0
2017-03-03,41.0
2017-03-04,29.0
2017-03-05,34.0
2017-03-06,47.0
2017-03-07,48.0
2017-03-08,44.0
2017-03-09,46.0
2017-03-10,41.0
2017-03-11,32.0
2017-03-12,37.0
2017-03-13,48.0
2017-03-14,47.0
2017-03-15,51.0
2017-03-16,47.0
2017-03-17,40.0
2017-03-18,28.0
2017-03-19,34.0
2017-03-20,44.0
2017-03-21,48.0
2017-03-22,52.0
2017-03-23,48.0
2017-03-24,43.0
2017-03-25,35.0
2017-03-26,39.0
2017-03-27,51.0
2017-03-28,52.0
2017-03-29,49.0
2017-03-30,49.0
2017-03-31,41.0
2017-04-01,32.0
2017-04-02,36.0
2017-04-03,48.0
2017-04-04,49.0
2017-04-05,49.0
2017-04-06,50.0
2017-04-07,40.0
2017-04-08,28.0
2017-04-09,32.0
2017-04-10,42.0
2017-04-11,39.0
2017-04-12,37.0
2017-04-13,31.0
2017-04-14,27.0
2017-04-15,27.0
2017-04-16,29.0
2017-04-17,40.0
2017-04-18,46.0
2017-04-19,43.0
2017-04-20,43.0
2017-04-21,35.0
2017-04-22,31.0
2017-04-23,35.0
2017-04-24,49.0
2017-04-25,47.0
2017-04-26,48.0
2017-04-27,46.0
2017-04-28,39.0
2017-04-29,31.0
2017-04-30,28.0
2017-05-01,36.0
2017-05-02,45.0
2017-05-03,48.0
2017-05-04,46.0
2017-05-05,42.0
2017-05-06,32.0
2017-05-07,37.0
2017-05-08,48.0
2017-05-09,48.0
2017-05-10,48.0
2017-05-11,51.0
2017-05-12,42.0
2017-05-13,30.0
2017-05-14,30.0
2017-05-15,43.0
2017-05-16,48.0
2017-05-17,46.0
2017-05-18,44.0
2017-05-19,43.0
2017-05-20,32.0
2017-05-21,33.0
2017-05-22,46.0
2017-05-23,51.0
2017-05-24,50.0
2017-05-25,48.0
2017-05-26,42.0
2017-05-27,32.0
2017-05-28,35.0
2017-05-29,45.0
2017-05-30,50.0
2017-05-31,52.0
2017-06-01,46.0
2017-06-02,38.0
2017-06-03,31.0
2017-06-04,32.0
2017-06-05,49.0
2017-06-06,47.0
2017-06-07,48.0
2017-06-08,46.0
2017-06-09,41.0
2017-06-10,31.0
2017-06-11,31.0
2017-06-12,44.0
2017-06-13,46.0
2017-06-14,46.0
2017-06-15,39.0
2017-06-16,36.0
2017-06-17,31.0
2017-06-18,31.0
2017-06-19,42.0
2017-06-20,44.0
2017-06-21,46.0
2017-06-22,48.0
2017-06-23,38.0
2017-06-24,27.0
2017-06-25,32.0
2017-06-26,46.0
2017-06-27,43.0
2017-06-28,41.0
2017-06-29,38.0
2017-06-30,32.0
2017-07-01,26.0
2017-07-02,27.0
2017-07-03,36.0
2017-07-04,47.0
2017-07-05,43.0
2017-07-06,42.0
2017-07-07,36.0
2017-07-08,31.0
2017-07-09,29.0
2017-07-10,39.0
2017-07-11,42.0
2017-07-12,40.0
2017-07-13,37.0
2017-07-14,33.0
2017-07-15,28.0
2017-07-16,26.0
2017-07-17,37.0
2017-07-18,40.0
2017-07-19,39.0
2017-07-20,35.0
2017-07-21,33.0
2017-07-22,29.0
2017-07-23,26.0
2017-07-24,36.0
2017-07-25,42.0
2017-07-26,40.0
2017-07-27,40.0
2017-07-28,31.0
2017-07-29,26.0
2017-07-30,28.0
2017-07-31,37.0
2017-08-01,41.0
2017-08-02,38.0
2017-08-03,39.0
2017-08-04,36.0
2017-08-05,30.0
2017-08-06,26.0
2017-08-07,40.0
2017-08-08,48.0
2017-08-09,39.0
2017-08-10,39.0
2017-08-11,35.0
2017-08-12,32.0
2017-08-13,27.0
2017-08-14,43.0
2017-08-15,46.0
2017-08-16,40.0
2017-08-17,46.0
2017-08-18,39.0
2017-08-19,32.0
2017-08-20,34.0
2017-08-21,39.0
2017-08-22,46.0
2017-08-23,46.0
2017-08-24,44.0
2017-08-25,39.0
2017-08-26,31.0
2017-08-27,30.0
2017-08-28,47.0
2017-08-29,51.0
2017-08-30,46.0
2017-08-31,47.0
2017-09-01,42.0
2017-09-02,31.0
2017-09-03,36.0
2017-09-04,47.0
2017-09-05,48.0
2017-09-06,44.0
2017-09-07,40.0
2017-09-08,37.0
2017-09-09,31.0
2017-09-10,31.0
2017-09-11,43.0
2017-09-12,50.0
2017-09-13,49.0
2017-09-14,47.0
2017-09-15,38.0
2017-09-16,29.0
2017-09-17,35.0
2017-09-18,50.0
2017-09-19,50.0
2017-09-20,43.0
2017-09-21,46.0
2017-09-22,42.0
2017-09-23,33.0
2017-09-24,35.0
2017-09-25,45.0
2017-09-26,50.0
2017-09-27,49.0
2017-09-28,48.0
2017-09-29,41.0
2017-09-30,33.0
2017-10-01,34.0
2017-10-02,44.0
2017-10-03,47.0
2017-10-04,49.0
2017-10-05,48.0
2017-10-06,41.0
2017-10-07,31.0
2017-10-08,32.0
2017-10-09,43.0
2017-10-10,44.0
2017-10-11,46.0
2017-10-12,38.0
2017-10-13,41.0
2017-10-14,32.0
2017-10-15,30.0
2017-10-16,45.0
2017-10-17,48.0
2017-10-18,51.0
2017-10-19,50.0
2017-10-20,46.0
2017-10-21,35.0
2017-10-22,36.0
2017-10-23,48.0
2017-10-24,50.0
2017-10-25,49.0
2017-10-26,48.0
2017-10-27,43.0
2017-10-28,33.0
2017-10-29,33.0
2017-10-30,46.0
2017-10-31,46.0
2017-11-01,39.0
2017-11-02,36.0
2017-11-03,39.0
2017-11-04,32.0
2017-11-05,33.0
2017-11-06,46.0
2017-11-07,49.0
2017-11-08,50.0
2017-11-09,46.0
2017-11-10,45.0
2017-11-11,33.0
2017-11-12,35.0
2017-11-13,47.0
2017-11-14,48.0
2017-11-15,43.0
2017-11-16,49.0
2017-11-17,42.0
2017-11-18,34.0
2017-11-19,36.0
2017-11-20,44.0
2017-11-21,49.0
2017-11-22,51.0
2017-11-23,49.0
2017-11-24,41.0
2017-11-25,32.0
2017-11-26,32.0
2017-11-27,45.0
2017-11-28,48.0
2017-11-29,47.0
2017-11-30,44.0
2017-12-01,37.0
2017-12-02,29.0
2017-12-03,31.0
2017-12-04,40.0
2017-12-05,40.0
2017-12-06,39.0
2017-12-07,35.0
2017-12-08,31.0
2017-12-09,29.0
2017-12-10,28.0
2017-12-11,37.0
2017-12-12,36.0
2017-12-13,37.0
2017-12-14,36.0
2017-12-15,32.0
2017-12-16,24.0
2017-12-17,35.0
2017-12-18,31.0
2017-12-19,30.0
2017-12-20,28.0
2017-12-21,29.0
2017-12-22,24.0
2017-12-23,20.0
2017-12-24,16.0
2017-12-25,19.0
2017-12-26,28.0
2017-12-27,28.0
2017-12-28,28.0
2017-12-29,26.0
2017-12-30,20.0
2017-12-31,18.0
2018-01-01,16.0
2018-01-02,27.0
2018-01-03,29.0
2018-01-04,30.0
2018-01-05,28.0
2018-01-06,24.0
2018-01-07,24.0
2018-01-08,31.0
2018-01-09,35.0
2018-01-10,36.0
2018-01-11,35.0
2018-01-12,32.0
2018-01-13,24.0
2018-01-14,24.0
2018-01-15,34.0
2018-01-16,36.0
2018-01-17,38.0
2018-01-18,34.0
2018-01-19,34.0
2018-01-20,25.0
2018-01-21,27.0
2018-01-22,35.0
2018-01-23,37.0
2018-01-24,37.0
2018-01-25,37.0
2018-01-26,32.0
2018-01-27,27.0
2018-01-28,28.0
2018-01-29,37.0
2018-01-30,38.0
