date,attention
2016-10-01,9.0
2016-10-02,15.0
2016-10-03,45.0
2016-10-04,41.0
2016-10-05,45.0
2016-10-06,58.0
2016-10-07,18.0
2016-10-08,15.0
2016-10-09,6.0
2016-10-10,22.0
2016-10-11,29.0
2016-10-12,82.0
2016-10-13,84.0
2016-10-14,65.0
2016-10-15,29.0
2016-10-16,18.0
2016-10-17,29.0
2016-10-18,26.0
2016-10-19,39.0
2016-10-20,28.0
2016-10-21,26.0
2016-10-22,8.0
2016-10-23,11.0
2016-10-24,44.0
2016-10-25,39.0
2016-10-26,18.0
2016-10-27,36.0
2016-10-28,28.0
2016-10-29,8.0
2016-10-30,17.0
2016-10-31,35.0
2016-11-01,30.0
2016-11-02,27.0
2016-11-03,36.0
2016-11-04,29.0
2016-11-05,13.0
2016-11-06,11.0
2016-11-07,28.0
2016-11-08,35.0
2016-11-09,60.0
2016-11-10,64.0
2016-11-11,76.0
2016-11-12,32.0
2016-11-13,18.0
2016-11-14,50.0
2016-11-15,49.0
2016-11-16,35.0
2016-11-17,50.0
2016-11-18,39.0
2016-11-19,22.0
2016-11-20,19.0
2016-11-21,34.0
2016-11-22,31.0
2016-11-23,29.0
2016-11-24,14.0
2016-11-25,24.0
2016-11-26,18.0
2016-11-27,13.0
2016-11-28,19.0
2016-11-29,35.0
2016-11-30,29.0
2016-12-01,28.0
2016-12-02,20.0
2016-12-03,22.0
2016-12-04,18.0
2016-12-05,26.0
2016-12-06,45.0
2016-12-07,42.0
2016-12-08,42.0
2016-12-09,33.0
2016-12-10,21.0
2016-12-11,17.0
2016-12-12,36.0
2016-12-13,43.0
2016-12-14,42.0
2016-12-15,33.0
2016-12-16,23.0
2016-12-17,12.0
2016-12-18,12.0
2016-12-19,30.0
2016-12-20,30.0
2016-12-21,28.0
2016-12-22,12.0
2016-12-23,22.0
2016-12-24,10.0
2016-12-25,4.0
2016-12-26,17.0
2016-12-27,20.0
2016-12-28,23.0
2016-12-29,20.0
2016-12-30,27.0
2016-12-31,21.0
2017-01-01,15.0
2017-01-02,18.0
2017-01-03,20.0
2017-01-04,21.0
2017-01-05,45.0
2017-01-06,30.0
2017-01-07,9.0
2017-01-08,10.0
2017-01-09,27.0
2017-01-10,38.0
2017-01-11,21.0
2017-01-12,26.0
2017-01-13,46.0
2017-01-14,16.0
2017-01-15,9.0
2017-01-16,13.0
2017-01-17,25.0
2017-01-18,26.0
2017-01-19,17.0
2017-01-20,27.0
2017-01-21,12.0
2017-01-22,13.0
2017-01-23,29.0
2017-01-24,26.0
2017-01-25,33.0
2017-01-26,23.0
2017-01-27,27.0
2017-01-28,12.0
2017-01-29,10.0
2017-01-30,27.0
2017-01-31,27.0
2017-02-01,24.0
2017-02-02,29.0
2017-02-03,32.0
2017-02-04,11.0
2017-02-05,10.0
2017-02-06,25.0
2017-02-07,25.0
2017-02-08,27.0
2017-02-09,26.0
2017-02-10,26.0
2017-02-11,15.0
2017-02-12,21.0
2017-02-13,27.0
2017-02-14,21.0
2017-02-15,27.0
2017-02-16,19.0
2017-02-17,34.0
2017-02-18,16.0
2017-02-19,15.0
2017-02-20,17.0
2017-02-21,27.0
2017-02-22,23.0
2017-02-23,25.0
2017-02-24,25.0
2017-02-25,11.0
2017-02-26,13.0
2017-02-27,22.0
2017-02-28,21.0
2017-03-01,29.0
2017-03-02,14.0
2017-03-03,31.0
2017-03-04,20.0
2017-03-05,13.0
2017-03-06,23.0
2017-03-07,31.0
2017-03-08,32.0
2017-03-09,24.0
2017-03-10,20.0
2017-03-11,9.0
2017-03-12,9.0
