date,attention
2016-10-01,46.0
2016-10-02,36.0
2016-10-03,48.0
2016-10-04,52.0
2016-10-05,43.0
2016-10-06,48.0
2016-10-07,50.0
2016-10-08,35.0
2016-10-09,37.0
2016-10-10,42.0
2016-10-11,46.0
2016-10-12,43.0
2016-10-13,46.0
2016-10-14,39.0
2016-10-15,43.0
2016-10-16,33.0
2016-10-17,52.0
2016-10-18,42.0
2016-10-19,43.0
2016-10-20,43.0
2016-10-21,41.0
2016-10-22,39.0
2016-10-23,38.0
2016-10-24,40.0
2016-10-25,46.0
2016-10-26,34.0
2016-10-27,34.0
2016-10-28,47.0
2016-10-29,36.0
2016-10-30,36.0
2016-10-31,41.0
2016-11-01,39.0
2016-11-02,43.0
2016-11-03,40.0
2016-11-04,37.0
2016-11-05,32.0
2016-11-06,36.0
2016-11-07,42.0
2016-11-08,45.0
2016-11-09,39.0
2016-11-10,31.0
2016-11-11,39.0
2016-11-12,35.0
2016-11-13,36.0
2016-11-14,43.0
2016-11-15,48.0
2016-11-16,40.0
2016-11-17,49.0
2016-11-18,43.0
2016-11-19,39.0
2016-11-20,34.0
2016-11-21,43.0
2016-11-22,43.0
2016-11-23,39.0
2016-11-24,32.0
2016-11-25,34.0
2016-11-26,33.0
2016-11-27,34.0
2016-11-28,48.0
2016-11-29,43.0
2016-11-30,43.0
2016-12-01,41.0
2016-12-02,41.0
2016-12-03,40.0
2016-12-04,41.0
2016-12-05,43.0
2016-12-06,43.0
2016-12-07,42.0
2016-12-08,43.0
2016-12-09,44.0
2016-12-10,36.0
2016-12-11,36.0
2016-12-12,46.0
2016-12-13,51.0
2016-12-14,40.0
2016-12-15,45.0
2016-12-16,46.0
2016-12-17,41.0
2016-12-18,43.0
2016-12-19,42.0
2016-12-20,46.0
2016-12-21,44.0
2016-12-22,48.0
2016-12-23,43.0
2016-12-24,39.0
2016-12-25,36.0
2016-12-26,42.0
2016-12-27,46.0
2016-12-28,43.0
2016-12-29,45.0
2016-12-30,46.0
2016-12-31,44.0
2017-01-01,41.0
2017-01-02,44.0
2017-01-03,55.0
2017-01-04,42.0
2017-01-05,50.0
2017-01-06,50.0
2017-01-07,42.0
2017-01-08,40.0
2017-01-09,45.0
2017-01-10,48.0
2017-01-11,45.0
2017-01-12,48.0
2017-01-13,48.0
2017-01-14,43.0
2017-01-15,39.0
2017-01-16,38.0
2017-01-17,43.0
2017-01-18,42.0
2017-01-19,36.0
2017-01-20,45.0
2017-01-21,37.0
2017-01-22,34.0
2017-01-23,46.0
2017-01-24,44.0
2017-01-25,41.0
2017-01-26,41.0
2017-01-27,40.0
2017-01-28,38.0
2017-01-29,37.0
2017-01-30,43.0
2017-01-31,44.0
2017-02-01,46.0
2017-02-02,45.0
2017-02-03,43.0
2017-02-04,42.0
2017-02-05,35.0
2017-02-06,40.0
2017-02-07,49.0
2017-02-08,51.0
2017-02-09,48.0
2017-02-10,47.0
2017-02-11,41.0
2017-02-12,37.0
2017-02-13,42.0
2017-02-14,38.0
2017-02-15,42.0
2017-02-16,44.0
2017-02-17,41.0
2017-02-18,39.0
2017-02-19,39.0
2017-02-20,44.0
2017-02-21,46.0
2017-02-22,46.0
2017-02-23,53.0
2017-02-24,43.0
2017-02-25,42.0
2017-02-26,39.0
2017-02-27,47.0
2017-02-28,46.0
2017-03-01,46.0
2017-03-02,44.0
2017-03-03,48.0
2017-03-04,38.0
2017-03-05,40.0
2017-03-06,55.0
2017-03-07,46.0
2017-03-08,49.0
2017-03-09,47.0
2017-03-10,41.0
2017-03-11,46.0
2017-03-12,44.0
2017-03-13,44.0
2017-03-14,48.0
2017-03-15,41.0
2017-03-16,51.0
2017-03-17,45.0
2017-03-18,44.0
2017-03-19,39.0
2017-03-20,48.0
2017-03-21,44.0
2017-03-22,38.0
2017-03-23,44.0
2017-03-24,44.0
2017-03-25,42.0
2017-03-26,38.0
2017-03-27,48.0
2017-03-28,45.0
2017-03-29,43.0
2017-03-30,44.0
2017-03-31,48.0
2017-04-01,42.0
2017-04-02,39.0
2017-04-03,53.0
2017-04-04,45.0
2017-04-05,42.0
2017-04-06,46.0
2017-04-07,43.0
2017-04-08,44.0
2017-04-09,38.0
2017-04-10,46.0
2017-04-11,44.0
2017-04-12,44.0
2017-04-13,44.0
2017-04-14,59.0
2017-04-15,46.0
2017-04-16,36.0
2017-04-17,49.0
2017-04-18,40.0
2017-04-19,46.0
2017-04-20,46.0
2017-04-21,46.0
2017-04-22,42.0
2017-04-23,44.0
2017-04-24,47.0
2017-04-25,50.0
2017-04-26,51.0
2017-04-27,51.0
2017-04-28,47.0
2017-04-29,42.0
2017-04-30,42.0
2017-05-01,55.0
2017-05-02,45.0
2017-05-03,42.0
2017-05-04,42.0
2017-05-05,48.0
2017-05-06,46.0
2017-05-07,45.0
2017-05-08,51.0
2017-05-09,47.0
2017-05-10,46.0
2017-05-11,48.0
2017-05-12,46.0
2017-05-13,43.0
2017-05-14,42.0
2017-05-15,60.0
2017-05-16,50.0
2017-05-17,45.0
2017-05-18,59.0
2017-05-19,58.0
2017-05-20,48.0
2017-05-21,39.0
2017-05-22,56.0
2017-05-23,52.0
2017-05-24,48.0
2017-05-25,47.0
2017-05-26,58.0
2017-05-27,52.0
2017-05-28,48.0
2017-05-29,41.0
2017-05-30,54.0
2017-05-31,49.0
2017-06-01,52.0
2017-06-02,53.0
2017-06-03,49.0
2017-06-04,47.0
2017-06-05,54.0
2017-06-06,51.0
2017-06-07,56.0
2017-06-08,47.0
2017-06-09,50.0
2017-06-10,51.0
2017-06-11,48.0
2017-06-12,58.0
2017-06-13,62.0
2017-06-14,55.0
2017-06-15,53.0
2017-06-16,57.0
2017-06-17,50.0
2017-06-18,42.0
2017-06-19,52.0
2017-06-20,52.0
2017-06-21,52.0
2017-06-22,56.0
2017-06-23,56.0
2017-06-24,51.0
2017-06-25,44.0
2017-06-26,61.0
2017-06-27,55.0
2017-06-28,59.0
2017-06-29,53.0
2017-06-30,57.0
2017-07-01,52.0
2017-07-02,48.0
2017-07-03,56.0
2017-07-04,46.0
2017-07-05,58.0
2017-07-06,58.0
2017-07-07,58.0
2017-07-08,59.0
2017-07-09,52.0
2017-07-10,64.0
2017-07-11,63.0
2017-07-12,57.0
2017-07-13,57.0
2017-07-14,56.0
2017-07-15,56.0
2017-07-16,51.0
2017-07-17,63.0
2017-07-18,54.0
2017-07-19,60.0
2017-07-20,58.0
2017-07-21,60.0
2017-07-22,55.0
2017-07-23,46.0
2017-07-24,58.0
2017-07-25,63.0
2017-07-26,62.0
2017-07-27,56.0
2017-07-28,59.0
2017-07-29,51.0
2017-07-30,50.0
2017-07-31,57.0
2017-08-01,58.0
2017-08-02,55.0
2017-08-03,58.0
2017-08-04,57.0
2017-08-05,56.0
2017-08-06,49.0
2017-08-07,64.0
2017-08-08,60.0
2017-08-09,52.0
2017-08-10,58.0
2017-08-11,59.0
2017-08-12,47.0
2017-08-13,49.0
2017-08-14,57.0
2017-08-15,61.0
2017-08-16,54.0
2017-08-17,62.0
2017-08-18,56.0
2017-08-19,64.0
2017-08-20,72.0
2017-08-21,100.0
2017-08-22,65.0
2017-08-23,58.0
2017-08-24,51.0
2017-08-25,54.0
2017-08-26,44.0
2017-08-27,43.0
2017-08-28,46.0
2017-08-29,47.0
2017-08-30,44.0
2017-08-31,48.0
2017-09-01,50.0
2017-09-02,49.0
2017-09-03,46.0
2017-09-04,45.0
2017-09-05,48.0
2017-09-06,44.0
2017-09-07,51.0
2017-09-08,49.0
2017-09-09,48.0
2017-09-10,40.0
2017-09-11,56.0
2017-09-12,48.0
2017-09-13,51.0
2017-09-14,49.0
2017-09-15,57.0
2017-09-16,51.0
2017-09-17,39.0
2017-09-18,45.0
2017-09-19,51.0
2017-09-20,50.0
2017-09-21,50.0
2017-09-22,47.0
2017-09-23,42.0
2017-09-24,45.0
2017-09-25,50.0
2017-09-26,45.0
2017-09-27,40.0
2017-09-28,42.0
2017-09-29,46.0
2017-09-30,42.0
