date,attention
2017-01-01,2.0
2017-01-02,9.0
2017-01-03,26.0
2017-01-04,12.0
2017-01-05,11.0
2017-01-06,13.0
2017-01-07,2.0
2017-01-08,4.0
2017-01-09,17.0
2017-01-10,7.0
2017-01-11,17.0
2017-01-12,8.0
2017-01-13,24.0
2017-01-14,15.0
2017-01-15,5.0
2017-01-16,8.0
2017-01-17,11.0
2017-01-18,11.0
2017-01-19,21.0
2017-01-20,10.0
2017-01-21,11.0
2017-01-22,4.0
2017-01-23,16.0
2017-01-24,10.0
2017-01-25,26.0
2017-01-26,7.0
2017-01-27,48.0
2017-01-28,10.0
2017-01-29,11.0
2017-01-30,14.0
2017-01-31,18.0
2017-02-01,16.0
2017-02-02,8.0
2017-02-03,20.0
2017-02-04,22.0
2017-02-05,9.0
2017-02-06,14.0
2017-02-07,13.0
2017-02-08,18.0
2017-02-09,11.0
2017-02-10,17.0
2017-02-11,5.0
2017-02-12,4.0
2017-02-13,17.0
2017-02-14,11.0
2017-02-15,21.0
2017-02-16,15.0
2017-02-17,12.0
2017-02-18,6.0
2017-02-19,6.0
2017-02-20,0.0
2017-02-21,16.0
2017-02-22,10.0
2017-02-23,16.0
2017-02-24,10.0
2017-02-25,4.0
2017-02-26,0.0
2017-02-27,16.0
2017-02-28,13.0
2017-03-01,9.0
2017-03-02,38.0
2017-03-03,16.0
2017-03-04,11.0
2017-03-05,3.0
2017-03-06,9.0
2017-03-07,15.0
2017-03-08,19.0
2017-03-09,10.0
2017-03-10,16.0
2017-03-11,15.0
2017-03-12,7.0
2017-03-13,24.0
2017-03-14,6.0
2017-03-15,19.0
2017-03-16,13.0
2017-03-17,13.0
2017-03-18,0.0
2017-03-19,14.0
2017-03-20,13.0
2017-03-21,22.0
2017-03-22,16.0
2017-03-23,13.0
2017-03-24,20.0
2017-03-25,4.0
2017-03-26,4.0
2017-03-27,10.0
2017-03-28,26.0
2017-03-29,16.0
2017-03-30,13.0
2017-03-31,7.0
2017-04-01,7.0
2017-04-02,4.0
2017-04-03,3.0
2017-04-04,13.0
2017-04-05,10.0
2017-04-06,0.0
2017-04-07,24.0
2017-04-08,15.0
2017-04-09,4.0
2017-04-10,3.0
2017-04-11,16.0
2017-04-12,3.0
2017-04-13,21.0
2017-04-14,11.0
2017-04-15,4.0
2017-04-16,4.0
2017-04-17,7.0
2017-04-18,9.0
2017-04-19,16.0
2017-04-20,13.0
2017-04-21,13.0
2017-04-22,4.0
2017-04-23,11.0
2017-04-24,13.0
2017-04-25,16.0
2017-04-26,22.0
2017-04-27,6.0
2017-04-28,13.0
2017-04-29,4.0
2017-04-30,0.0
2017-05-01,11.0
2017-05-02,10.0
2017-05-03,15.0
2017-05-04,12.0
2017-05-05,6.0
2017-05-06,4.0
2017-05-07,2.0
2017-05-08,5.0
2017-05-09,24.0
2017-05-10,5.0
2017-05-11,9.0
2017-05-12,13.0
2017-05-13,10.0
2017-05-14,2.0
2017-05-15,7.0
2017-05-16,20.0
2017-05-17,25.0
2017-05-18,19.0
2017-05-19,11.0
2017-05-20,4.0
2017-05-21,6.0
2017-05-22,11.0
2017-05-23,3.0
2017-05-24,11.0
2017-05-25,11.0
2017-05-26,12.0
2017-05-27,2.0
2017-05-28,0.0
2017-05-29,21.0
2017-05-30,4.0
2017-05-31,25.0
2017-06-01,11.0
2017-06-02,4.0
2017-06-03,2.0
2017-06-04,4.0
2017-06-05,9.0
2017-06-06,23.0
2017-06-07,16.0
2017-06-08,7.0
2017-06-09,11.0
2017-06-10,4.0
2017-06-11,2.0
2017-06-12,16.0
2017-06-13,13.0
2017-06-14,18.0
2017-06-15,26.0
2017-06-16,6.0
2017-06-17,6.0
2017-06-18,2.0
2017-06-19,15.0
2017-06-20,19.0
2017-06-21,12.0
2017-06-22,12.0
2017-06-23,8.0
2017-06-24,4.0
2017-06-25,0.0
2017-06-26,13.0
2017-06-27,8.0
2017-06-28,17.0
2017-06-29,32.0
2017-06-30,12.0
2017-07-01,4.0
2017-07-02,2.0
2017-07-03,21.0
2017-07-04,7.0
2017-07-05,8.0
2017-07-06,12.0
2017-07-07,18.0
2017-07-08,6.0
2017-07-09,9.0
2017-07-10,15.0
2017-07-11,10.0
2017-07-12,18.0
2017-07-13,17.0
2017-07-14,14.0
2017-07-15,7.0
2017-07-16,4.0
2017-07-17,15.0
2017-07-18,11.0
2017-07-19,13.0
2017-07-20,7.0
2017-07-21,4.0
2017-07-22,2.0
2017-07-23,11.0
2017-07-24,11.0
2017-07-25,9.0
2017-07-26,11.0
2017-07-27,17.0
2017-07-28,9.0
2017-07-29,4.0
2017-07-30,0.0
2017-07-31,9.0
2017-08-01,7.0
2017-08-02,5.0
2017-08-03,4.0
2017-08-04,21.0
2017-08-05,4.0
2017-08-06,2.0
2017-08-07,9.0
2017-08-08,10.0
2017-08-09,4.0
2017-08-10,15.0
2017-08-11,12.0
2017-08-12,9.0
2017-08-13,9.0
2017-08-14,12.0
2017-08-15,16.0
2017-08-16,8.0
2017-08-17,8.0
2017-08-18,8.0
2017-08-19,4.0
2017-08-20,0.0
2017-08-21,4.0
2017-08-22,7.0
2017-08-23,11.0
2017-08-24,19.0
2017-08-25,16.0
2017-08-26,4.0
2017-08-27,0.0
2017-08-28,4.0
2017-08-29,15.0
2017-08-30,11.0
2017-08-31,11.0
2017-09-01,8.0
2017-09-02,4.0
2017-09-03,0.0
2017-09-04,4.0
2017-09-05,11.0
2017-09-06,11.0
2017-09-07,19.0
2017-09-08,19.0
2017-09-09,0.0
2017-09-10,4.0
2017-09-11,18.0
2017-09-12,4.0
2017-09-13,14.0
2017-09-14,4.0
2017-09-15,27.0
2017-09-16,4.0
2017-09-17,0.0
2017-09-18,11.0
2017-09-19,15.0
2017-09-20,15.0
2017-09-21,33.0
2017-09-22,4.0
2017-09-23,9.0
2017-09-24,8.0
2017-09-25,7.0
2017-09-26,4.0
2017-09-27,15.0
2017-09-28,4.0
2017-09-29,8.0
2017-09-30,4.0
2017-10-01,13.0
2017-10-02,30.0
2017-10-03,7.0
2017-10-04,11.0
2017-10-05,22.0
2017-10-06,4.0
2017-10-07,4.0
2017-10-08,0.0
2017-10-09,15.0
2017-10-10,4.0
2017-10-11,11.0
2017-10-12,30.0
2017-10-13,19.0
2017-10-14,0.0
2017-10-15,4.0
2017-10-16,12.0
2017-10-17,17.0
2017-10-18,5.0
2017-10-19,13.0
2017-10-20,10.0
2017-10-21,4.0
2017-10-22,2.0
2017-10-23,23.0
2017-10-24,9.0
2017-10-25,4.0
2017-10-26,11.0
2017-10-27,8.0
2017-10-28,0.0
2017-10-29,11.0
2017-10-30,1.0
2017-10-31,14.0
2017-11-01,10.0
2017-11-02,8.0
2017-11-03,8.0
2017-11-04,11.0
2017-11-05,0.0
2017-11-06,11.0
2017-11-07,8.0
2017-11-08,12.0
2017-11-09,19.0
2017-11-10,5.0
2017-11-11,1.0
2017-11-12,0.0
2017-11-13,14.0
2017-11-14,5.0
2017-11-15,14.0
2017-11-16,6.0
2017-11-17,3.0
2017-11-18,4.0
2017-11-19,0.0
2017-11-20,10.0
2017-11-21,2.0
2017-11-22,3.0
2017-11-23,1.0
2017-11-24,7.0
2017-11-25,5.0
2017-11-26,6.0
2017-11-27,1.0
2017-11-28,10.0
2017-11-29,9.0
2017-11-30,18.0
2017-12-01,8.0
2017-12-02,0.0
2017-12-03,5.0
2017-12-04,16.0
2017-12-05,17.0
2017-12-06,10.0
2017-12-07,7.0
2017-12-08,3.0
