,Open,High,Low,Close,Adj Close,Volume,Sym,ExpirationDate,index,Unnamed: 0,OptionType,Time,Expiration,Strike,StockPrice,Date,Spent,Sector,ChainLocation,Spent/contract,Spent/share,break_even,Contract period in hrs,Contract period in days,attention,Profit
0,256.619995,257.22000099999997,255.63000499999998,256.440002,240.434677,80811500,SPY,2017-11-15,42821,42821,call,09:19:30.0000000,11/15-17 W,257.0,256.45,2017-11-15,16000,ETF,OTM,160.0,1.6,258.6,6.674722222222222,0,43.0,False
1,256.619995,257.22000099999997,255.63000499999998,256.440002,240.434677,80811500,SPY,2017-11-15,42830,42830,call,10:01:11.0000000,11/15-17 W,257.0,256.95,2017-11-15,36000,ETF,OTM,360.0,3.6,260.6,5.98,0,43.0,False
2,256.619995,257.22000099999997,255.63000499999998,256.440002,240.434677,80811500,SPY,2017-11-15,42909,42909,call,08:54:07.0000000,11/15-17 W,257.5,257.5,2017-11-14,65000,ETF,ATM,650.0,6.5,264.0,31.097777777777782,1,43.0,False
3,256.619995,257.22000099999997,255.63000499999998,256.440002,240.434677,80811500,SPY,2017-11-15,42920,42920,call,09:47:06.0000000,11/15-17 W,257.5,257.63,2017-11-14,65000,ETF,ITM,650.0,6.5,264.0,30.214722222222218,1,43.0,False
4,256.619995,257.22000099999997,255.63000499999998,256.440002,240.434677,80811500,SPY,2017-11-15,42921,42921,call,09:47:49.0000000,11/15-17 W,257.5,257.72,2017-11-14,90000,ETF,ITM,900.0,9.0,266.5,30.202777777777772,1,43.0,False
5,258.22000099999997,258.589996,257.769989,257.859985,241.76602200000002,75756800,SPY,2017-11-17,42901,42901,call,14:54:39.0000000,11-17 M,257.5,256.38,2017-11-15,98000,ETF,OTM,980.0,9.8,267.3,49.088888888888896,2,46.0,False
6,260.0,260.149994,259.570007,259.76001,243.54747000000003,45033400,SPY,2017-11-22,42396,42396,call,09:38:46.0000000,11/22-17 W,260.0,259.77,2017-11-22,63000,ETF,OTM,630.0,6.3,266.3,6.353611111111111,0,48.0,False
7,260.0,260.149994,259.570007,259.76001,243.54747000000003,45033400,SPY,2017-11-22,42484,42484,call,09:14:03.0000000,11/22-17 W,260.0,259.86,2017-11-21,28000,ETF,OTM,280.0,2.8,262.8,30.765555555555554,1,48.0,False
8,260.0,260.149994,259.570007,259.76001,243.54747000000003,45033400,SPY,2017-11-22,42485,42485,call,09:14:03.0000000,11/22-17 W,260.0,259.81,2017-11-21,60000,ETF,OTM,600.0,6.0,266.0,30.765555555555554,1,48.0,False
9,260.0,260.149994,259.570007,259.76001,243.54747000000003,45033400,SPY,2017-11-22,42635,42635,call,11:33:19.0000000,11/22-17 W,258.0,258.2,2017-11-20,142000,ETF,ITM,1420.0,14.2,272.2,52.444444444444436,2,48.0,False
10,260.0,260.149994,259.570007,259.76001,243.54747000000003,45033400,SPY,2017-11-22,42645,42645,call,12:26:27.0000000,11/22-17 W,258.5,258.48,2017-11-20,48000,ETF,OTM,480.0,4.8,263.3,51.558888888888895,2,48.0,False
11,260.320007,260.480011,260.160004,260.359985,244.10997000000003,27856500,SPY,2017-11-24,42554,42554,call,13:54:19.0000000,11/24-17 W,260.5,260.04,2017-11-21,96000,ETF,OTM,960.0,9.6,270.1,74.09444444444446,3,50.0,False
12,260.320007,260.480011,260.160004,260.359985,244.10997000000003,27856500,SPY,2017-11-24,42572,42572,call,14:55:40.0000000,11/24-17 W,260.0,259.89,2017-11-21,48000,ETF,OTM,480.0,4.8,264.8,73.07194444444444,3,50.0,False
13,260.320007,260.480011,260.160004,260.359985,244.10997000000003,27856500,SPY,2017-11-24,42639,42639,call,11:40:25.0000000,11/24-17 W,258.5,258.26,2017-11-20,148000,ETF,OTM,1480.0,14.8,273.3,100.32611111111113,4,50.0,False
14,263.019989,263.630005,262.200012,262.709991,246.31332400000002,77512100,SPY,2017-11-29,42026,42026,call,09:37:44.0000000,11/29-17 W,263.0,263.13,2017-11-29,320000,ETF,ITM,3200.0,32.0,295.0,6.370833333333334,0,49.0,False
15,263.019989,263.630005,262.200012,262.709991,246.31332400000002,77512100,SPY,2017-11-29,42048,42048,call,10:35:48.0000000,11/29-17 W,263.0,262.65,2017-11-29,22000,ETF,OTM,220.0,2.2,265.2,5.403055555555556,0,49.0,False
16,263.019989,263.630005,262.200012,262.709991,246.31332400000002,77512100,SPY,2017-11-29,42230,42230,call,14:13:41.0000000,11/29-17 W,263.0,262.7,2017-11-28,31000,ETF,OTM,310.0,3.1,266.1,25.77166666666667,1,49.0,False
17,263.019989,263.630005,262.200012,262.709991,246.31332400000002,77512100,SPY,2017-11-29,42243,42243,call,14:26:42.0000000,11/29-17 W,262.0,262.73,2017-11-28,90000,ETF,ITM,900.0,9.0,271.0,25.554722222222217,1,49.0,False
18,263.019989,263.630005,262.200012,262.709991,246.31332400000002,77512100,SPY,2017-11-29,42248,42248,call,14:35:06.0000000,11/29-17 W,263.0,262.59,2017-11-28,60000,ETF,OTM,600.0,6.0,269.0,25.414722222222228,1,49.0,False
19,263.019989,263.630005,262.200012,262.709991,246.31332400000002,77512100,SPY,2017-11-29,42304,42304,call,11:24:54.0000000,11/29-17 W,261.0,260.27,2017-11-27,89000,ETF,OTM,890.0,8.9,269.9,52.584722222222226,2,49.0,False
20,263.019989,263.630005,262.200012,262.709991,246.31332400000002,77512100,SPY,2017-11-29,42737,42737,call,13:50:46.0000000,11/29-17 W,260.0,258.13,2017-11-17,370000,ETF,OTM,3700.0,37.0,297.0,290.1536111111111,12,49.0,False
21,263.019989,263.630005,262.200012,262.709991,246.31332400000002,77512100,SPY,2017-11-29,42746,42746,call,14:29:15.0000000,11/29-17 W,260.0,258.05,2017-11-17,74000,ETF,OTM,740.0,7.4,267.4,289.51222222222225,12,49.0,False
22,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41818,41818,call,12:38:14.0000000,12/01-17 W,265.0,264.13,2017-12-01,23000,ETF,OTM,230.0,2.3,267.3,3.3625,0,49.0,False
23,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41842,41842,call,14:40:37.0000000,12/01-17 W,264.0,264.31,2017-12-01,71000,ETF,ITM,710.0,7.1,271.1,1.3227777777777778,0,49.0,False
24,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41869,41869,call,08:57:52.0000000,12/01-17 W,264.0,264.0,2017-11-30,65000,ETF,ATM,650.0,6.5,270.5,31.035277777777782,1,49.0,False
25,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41886,41886,call,09:22:53.0000000,12/01-17 W,266.0,264.08,2017-11-30,22000,ETF,OTM,220.0,2.2,268.2,30.61833333333333,1,49.0,False
26,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41891,41891,call,09:28:58.0000000,12/01-17 W,266.0,264.02,2017-11-30,13000,ETF,OTM,130.0,1.3,267.3,30.516944444444448,1,49.0,False
27,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41892,41892,call,09:30:02.0000000,12/01-17 W,266.0,264.03,2017-11-30,20000,ETF,OTM,200.0,2.0,268.0,30.49916666666667,1,49.0,False
28,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41897,41897,call,09:43:06.0000000,12/01-17 W,266.0,263.86,2017-11-30,18000,ETF,OTM,180.0,1.8,267.8,30.281388888888888,1,49.0,False
29,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41912,41912,call,10:05:36.0000000,12/01-17 W,264.5,264.57,2017-11-30,234000,ETF,ITM,2340.0,23.4,287.9,29.906388888888888,1,49.0,False
30,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41965,41965,call,13:06:20.0000000,12/01-17 W,266.0,265.08,2017-11-30,192000,ETF,OTM,1920.0,19.2,285.2,26.89416666666667,1,49.0,False
31,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41969,41969,call,13:13:44.0000000,12/01-17 W,266.0,265.03,2017-11-30,100000,ETF,OTM,1000.0,10.0,276.0,26.77083333333333,1,49.0,False
32,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,41988,41988,call,14:53:08.0000000,12/01-17 W,266.0,265.22,2017-11-30,66000,ETF,OTM,660.0,6.6,272.6,25.114166666666666,1,49.0,False
33,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42173,42173,call,12:04:20.0000000,12/01-17 W,262.5,262.13,2017-11-28,112000,ETF,OTM,1120.0,11.2,273.7,75.9275,3,49.0,False
34,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42175,42175,call,12:08:58.0000000,12/01-17 W,262.5,262.16,2017-11-28,59000,ETF,OTM,590.0,5.9,268.4,75.85027777777778,3,49.0,False
35,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42178,42178,call,12:12:39.0000000,12/01-17 W,263.0,262.22,2017-11-28,282000,ETF,OTM,2820.0,28.2,291.2,75.78888888888889,3,49.0,False
36,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42179,42179,call,12:12:41.0000000,12/01-17 W,263.0,262.22,2017-11-28,80000,ETF,OTM,800.0,8.0,271.0,75.78833333333333,3,49.0,False
37,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42180,42180,call,12:12:42.0000000,12/01-17 W,262.5,262.21,2017-11-28,63000,ETF,OTM,630.0,6.3,268.8,75.78805555555556,3,49.0,False
38,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42197,42197,call,13:42:51.0000000,12/01-17 W,262.0,262.11,2017-11-28,152000,ETF,ITM,1520.0,15.2,277.2,74.28555555555556,3,49.0,False
39,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42217,42217,call,14:00:07.0000000,12/01-17 W,263.0,262.44,2017-11-28,65000,ETF,OTM,650.0,6.5,269.5,73.99777777777777,3,49.0,False
40,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42224,42224,call,14:11:06.0000000,12/01-17 W,264.0,262.53,2017-11-28,24000,ETF,OTM,240.0,2.4,266.4,73.81472222222223,3,49.0,False
41,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42225,42225,call,14:11:51.0000000,12/01-17 W,264.0,262.67,2017-11-28,26000,ETF,OTM,260.0,2.6,266.6,73.80222222222223,3,49.0,False
42,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42359,42359,call,10:26:24.0000000,12/01-17 W,263.0,260.39,2017-11-24,136000,ETF,OTM,1360.0,13.6,276.6,173.55972222222226,7,49.0,False
43,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42856,42856,call,11:14:49.0000000,12/01-17 W,258.5,256.85,2017-11-15,110000,ETF,OTM,1100.0,11.0,269.5,388.7527777777778,16,49.0,False
44,264.76001,265.309998,260.76001,264.459991,247.954117,164390900,SPY,2017-12-01,42898,42898,call,14:52:25.0000000,12/01-17 W,256.5,256.44,2017-11-15,208000,ETF,OTM,2080.0,20.8,277.3,385.12611111111113,16,49.0,False
45,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,41507,41507,call,08:57:29.0000000,12/06-17 W,263.5,263.17,2017-12-06,24000,ETF,OTM,240.0,2.4,265.9,7.041666666666668,0,47.0,False
46,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,41554,41554,call,13:37:44.0000000,12/06-17 W,263.5,263.68,2017-12-06,30000,ETF,ITM,300.0,3.0,266.5,2.370833333333333,0,47.0,False
47,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,41856,41856,call,08:32:56.0000000,12/06-17 W,264.5,263.91,2017-11-30,88000,ETF,OTM,880.0,8.8,273.3,151.45083333333332,6,47.0,False
48,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,41921,41921,call,10:30:14.0000000,12/06-17 W,269.0,264.48,2017-11-30,28000,ETF,OTM,280.0,2.8,271.8,149.49583333333334,6,47.0,False
49,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,41947,41947,call,11:49:10.0000000,12/06-17 W,269.5,265.95,2017-11-30,43000,ETF,OTM,430.0,4.3,273.8,148.18027777777775,6,47.0,False
50,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,41948,41948,call,11:50:32.0000000,12/06-17 W,271.0,265.89,2017-11-30,21000,ETF,OTM,210.0,2.1,273.1,148.1575,6,47.0,False
51,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,41968,41968,call,13:11:18.0000000,12/06-17 W,270.0,264.86,2017-11-30,26000,ETF,OTM,260.0,2.6,272.6,146.8113888888889,6,47.0,False
52,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,42156,42156,call,11:10:30.0000000,12/06-17 W,264.0,261.64,2017-11-28,26000,ETF,OTM,260.0,2.6,266.6,196.82472222222225,8,47.0,False
53,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,42162,42162,call,11:36:28.0000000,12/06-17 W,262.0,261.82,2017-11-28,1190000,ETF,OTM,11900.0,119.0,381.0,196.39194444444442,8,47.0,False
54,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,42163,42163,call,11:37:21.0000000,12/06-17 W,263.0,261.79,2017-11-28,158000,ETF,OTM,1580.0,15.8,278.8,196.37722222222226,8,47.0,False
55,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,42526,42526,call,11:55:52.0000000,12/06-17 W,261.0,259.92,2017-11-21,406000,ETF,OTM,4060.0,40.6,301.6,364.0686111111111,15,47.0,False
56,263.299988,263.730011,262.709991,263.23999,246.81025699999998,75898600,SPY,2017-12-06,42613,42613,call,10:01:21.0000000,12/06-17 W,259.0,258.26,2017-11-20,159000,ETF,OTM,1590.0,15.9,274.9,389.9772222222222,16,47.0,False
57,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,41361,41361,call,11:28:43.0000000,12/08-17 W,265.0,265.45,2017-12-08,62000,ETF,ITM,620.0,6.2,271.2,4.521111111111111,0,47.0,False
58,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,41386,41386,call,13:47:32.0000000,12/08-17 W,265.0,265.08,2017-12-08,18000,ETF,ITM,180.0,1.8,266.8,2.2075,0,47.0,False
59,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,41396,41396,call,14:51:51.0000000,12/08-17 W,265.0,265.26,2017-12-08,77000,ETF,ITM,770.0,7.7,272.7,1.1355555555555557,0,47.0,False
60,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,41495,41495,call,14:52:19.0000000,12/08-17 W,265.0,263.87,2017-12-07,15000,ETF,OTM,150.0,1.5,266.5,25.127777777777773,1,47.0,False
61,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,41496,41496,call,14:52:23.0000000,12/08-17 W,265.0,263.87,2017-12-07,11000,ETF,OTM,110.0,1.1,266.1,25.126666666666665,1,47.0,False
62,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,41855,41855,call,14:59:04.0000000,12/08-17 W,267.5,264.43,2017-12-01,84000,ETF,OTM,840.0,8.4,275.9,169.01527777777778,7,47.0,False
63,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,41857,41857,call,08:35:34.0000000,12/08-17 W,266.5,264.11,2017-11-30,66000,ETF,OTM,660.0,6.6,273.1,199.40694444444443,8,47.0,False
64,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,41858,41858,call,08:37:01.0000000,12/08-17 W,266.5,264.06,2017-11-30,508000,ETF,OTM,5080.0,50.8,317.3,199.38277777777782,8,47.0,False
65,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,42087,42087,call,13:31:52.0000000,12/08-17 W,267.0,262.67,2017-11-29,163000,ETF,OTM,1630.0,16.3,283.3,218.4686111111111,9,47.0,False
66,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,42172,42172,call,12:01:51.0000000,12/08-17 W,267.5,262.04,2017-11-28,18000,ETF,OTM,180.0,1.8,269.3,243.9688888888889,10,47.0,False
67,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,42196,42196,call,13:42:19.0000000,12/08-17 W,263.0,262.03,2017-11-28,134000,ETF,OTM,1340.0,13.4,276.4,242.29444444444442,10,47.0,False
68,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,42211,42211,call,13:55:10.0000000,12/08-17 W,264.0,262.47,2017-11-28,177000,ETF,OTM,1770.0,17.7,281.7,242.08027777777775,10,47.0,False
69,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,42434,42434,call,12:03:23.0000000,12/08-17 W,262.5,259.75,2017-11-22,90000,ETF,OTM,900.0,9.0,271.5,387.94333333333327,16,47.0,False
70,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,42440,42440,call,12:59:02.0000000,12/08-17 W,262.5,259.8,2017-11-22,190000,ETF,OTM,1900.0,19.0,281.5,387.01583333333326,16,47.0,False
71,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,42652,42652,call,13:41:55.0000000,12/08-17 W,261.0,258.45,2017-11-20,197000,ETF,OTM,1970.0,19.7,280.7,434.30111111111114,18,47.0,False
72,265.160004,265.519989,264.02999900000003,265.51001,248.938614,76563900,SPY,2017-12-08,42768,42768,call,09:51:25.0000000,12/08-17 W,265.0,258.32,2017-11-16,24000,ETF,OTM,240.0,2.4,267.4,534.1427777777777,22,47.0,False
73,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,40408,40408,call,14:09:09.0000000,12-17 M,274.0,270.27,2018-01-03,240000,ETF,OTM,2400.0,24.0,298.0,-454.15277777777777,-19,48.0,False
74,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,41006,41006,call,13:40:34.0000000,12-17 M,266.5,266.89,2017-12-15,48000,ETF,ITM,480.0,4.8,271.3,2.3236111111111106,0,48.0,False
75,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,41007,41007,call,13:40:47.0000000,12-17 M,267.0,266.89,2017-12-15,20000,ETF,OTM,200.0,2.0,269.0,2.32,0,48.0,False
76,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42122,42122,call,09:11:50.0000000,12-17 M,264.5,261.02,2017-11-28,453000,ETF,OTM,4530.0,45.3,309.8,414.8025,17,48.0,False
77,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42182,42182,call,12:17:00.0000000,12-17 M,266.0,262.1,2017-11-28,351000,ETF,OTM,3510.0,35.1,301.1,411.71638888888884,17,48.0,False
78,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42203,42203,call,13:50:03.0000000,12-17 M,266.0,262.26,2017-11-28,52000,ETF,OTM,520.0,5.2,271.2,410.16555555555567,17,48.0,False
79,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42246,42246,call,14:31:26.0000000,12-17 M,262.5,262.61,2017-11-28,272000,ETF,ITM,2720.0,27.2,289.7,409.47583333333336,17,48.0,False
80,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42249,42249,call,14:39:42.0000000,12-17 M,266.0,262.53,2017-11-28,302000,ETF,OTM,3020.0,30.2,296.2,409.3380555555556,17,48.0,False
81,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42409,42409,call,10:06:06.0000000,12-17 M,263.5,259.96,2017-11-22,43000,ETF,OTM,430.0,4.3,267.8,557.8980555555555,23,48.0,False
82,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42540,42540,call,12:55:27.0000000,12-17 M,267.5,260.13,2017-11-21,19000,ETF,OTM,190.0,1.9,269.4,579.0755555555555,24,48.0,False
83,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42568,42568,call,14:48:29.0000000,12-17 M,259.5,259.86,2017-11-21,318000,ETF,ITM,3180.0,31.8,291.3,577.1916666666667,24,48.0,False
84,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42573,42573,call,14:55:49.0000000,12-17 M,259.5,259.85,2017-11-21,277000,ETF,ITM,2770.0,27.7,287.2,577.0694444444445,24,48.0,False
85,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42587,42587,call,08:50:43.0000000,12-17 M,262.5,258.12,2017-11-20,36000,ETF,OTM,360.0,3.6,266.1,607.1544444444445,25,48.0,True
86,265.450012,267.040009,265.390015,266.51001,251.153397,144610300,SPY,2017-12-15,42646,42646,call,12:32:49.0000000,12-17 M,261.5,258.41,2017-11-20,63000,ETF,OTM,630.0,6.3,267.8,603.4527777777778,25,48.0,False
87,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,40997,40997,call,12:56:41.0000000,12/20-17 W,267.5,266.74,2017-12-15,235000,ETF,OTM,2350.0,23.5,291.0,123.055,5,52.0,False
88,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,40998,40998,call,12:56:45.0000000,12/20-17 W,268.0,266.76,2017-12-15,66000,ETF,OTM,660.0,6.6,274.6,123.05388888888888,5,52.0,False
89,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,41011,41011,call,14:18:35.0000000,12/20-17 W,269.0,267.01,2017-12-15,80000,ETF,OTM,800.0,8.0,277.0,121.69,5,52.0,False
90,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,41021,41021,call,15:00:29.0000000,12/20-17 W,267.0,266.45,2017-12-15,115000,ETF,OTM,1150.0,11.5,278.5,120.99166666666666,5,52.0,False
91,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,41111,41111,call,11:48:56.0000000,12/20-17 W,270.0,267.14,2017-12-13,16000,ETF,OTM,160.0,1.6,271.6,172.18416666666667,7,52.0,False
92,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,41799,41799,call,11:39:14.0000000,12/20-17 W,265.0,263.13,2017-12-01,765000,ETF,OTM,7650.0,76.5,341.5,460.34583333333336,19,52.0,False
93,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,42392,42392,call,09:19:08.0000000,12/20-17 W,264.0,259.85,2017-11-22,364000,ETF,OTM,3640.0,36.4,300.4,678.6808333333332,28,52.0,False
94,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,42393,42393,call,09:19:12.0000000,12/20-17 W,265.0,259.85,2017-11-22,144000,ETF,OTM,1440.0,14.4,279.4,678.6797222222223,28,52.0,False
95,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,42403,42403,call,09:51:51.0000000,12/20-17 W,265.0,259.87,2017-11-22,61000,ETF,OTM,610.0,6.1,271.1,678.1355555555557,28,52.0,False
96,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,42404,42404,call,09:51:53.0000000,12/20-17 W,266.0,259.88,2017-11-22,196000,ETF,OTM,1960.0,19.6,285.6,678.135,28,52.0,False
97,268.269989,268.329987,266.690002,267.02999900000003,251.643448,76751500,SPY,2017-12-20,42405,42405,call,09:52:00.0000000,12/20-17 W,266.0,259.88,2017-11-22,65000,ETF,OTM,650.0,6.5,272.5,678.1330555555555,28,52.0,False
98,267.73999,268.390015,267.299988,267.579987,252.16175800000002,67032300,SPY,2017-12-21,40747,40747,call,12:15:10.0000000,12/21-17 W,269.0,268.37,2017-12-21,22000,ETF,OTM,220.0,2.2,271.2,3.746944444444445,0,46.0,False
99,267.73999,268.390015,267.299988,267.579987,252.16175800000002,67032300,SPY,2017-12-21,40857,40857,call,14:41:08.0000000,12/21-17 W,268.5,267.48,2017-12-19,36000,ETF,OTM,360.0,3.6,272.1,49.31416666666666,2,46.0,False
100,267.600006,267.640015,266.899994,267.51001,252.09581,78720900,SPY,2017-12-22,41002,41002,call,13:14:59.0000000,12/22-17 W,268.0,266.78,2017-12-15,98000,ETF,OTM,980.0,9.8,277.8,170.75,7,47.0,False
101,267.600006,267.640015,266.899994,267.51001,252.09581,78720900,SPY,2017-12-22,41098,41098,call,10:12:56.0000000,12/22-17 W,271.0,267.49,2017-12-13,15000,ETF,OTM,150.0,1.5,272.5,221.78416666666664,9,47.0,False
102,267.600006,267.640015,266.899994,267.51001,252.09581,78720900,SPY,2017-12-22,41120,41120,call,12:42:10.0000000,12/22-17 W,270.0,266.95,2017-12-13,16000,ETF,OTM,160.0,1.6,271.6,219.29694444444442,9,47.0,False
103,267.600006,267.640015,266.899994,267.51001,252.09581,78720900,SPY,2017-12-22,41413,41413,call,09:07:41.0000000,12/22-17 W,270.0,263.46,2017-12-07,18000,ETF,OTM,180.0,1.8,271.8,366.8716666666666,15,47.0,False
104,267.600006,267.640015,266.899994,267.51001,252.09581,78720900,SPY,2017-12-22,41421,41421,call,09:31:58.0000000,12/22-17 W,270.0,263.79,2017-12-07,14000,ETF,OTM,140.0,1.4,271.4,366.4669444444445,15,47.0,False
105,267.600006,267.640015,266.899994,267.51001,252.09581,78720900,SPY,2017-12-22,41422,41422,call,09:32:03.0000000,12/22-17 W,270.0,263.8,2017-12-07,22000,ETF,OTM,220.0,2.2,272.2,366.4655555555556,15,47.0,False
106,267.600006,267.640015,266.899994,267.51001,252.09581,78720900,SPY,2017-12-22,41424,41424,call,09:33:53.0000000,12/22-17 W,270.0,263.76,2017-12-07,11000,ETF,OTM,110.0,1.1,271.1,366.435,15,47.0,False
107,267.600006,267.640015,266.899994,267.51001,252.09581,78720900,SPY,2017-12-22,41425,41425,call,09:33:54.0000000,12/22-17 W,270.0,263.76,2017-12-07,12000,ETF,OTM,120.0,1.2,271.2,366.4347222222222,15,47.0,False
