Date,Open,High,Low,Close,Adj Close,Volume
2016-05-02,16.940001,17.530001,16.940001,17.320000,12.741931,532800
2016-05-03,17.160000,17.160000,16.639999,16.990000,12.499158,447200
2016-05-04,16.820000,17.100000,16.600000,16.760000,12.329949,673300
2016-05-05,16.490000,16.809999,16.000000,16.639999,12.241668,623300
2016-05-06,16.520000,17.150000,16.520000,17.070000,12.558011,760100
2016-05-09,16.980000,17.080000,16.700001,17.059999,12.550656,493800
2016-05-10,17.200001,17.280001,17.049999,17.209999,12.661006,517600
2016-05-11,17.170000,17.180000,16.770000,16.900000,12.432946,815900
2016-05-12,16.920000,17.139999,16.610001,17.100000,12.580081,766400
2016-05-13,17.020000,17.270000,16.559999,16.629999,12.234313,474500
2016-05-16,16.670000,16.750000,16.320000,16.400000,12.065106,965600
2016-05-17,16.309999,16.600000,16.219999,16.469999,12.116605,1044100
2016-05-18,16.170000,16.740000,16.170000,16.629999,12.422882,941800
2016-05-19,16.520000,16.520000,15.750000,15.980000,11.937320,1145000
2016-05-20,15.850000,16.309999,15.790000,16.000000,11.952262,1686900
2016-05-23,16.020000,16.209999,15.980000,16.180000,12.086724,1975100
2016-05-24,16.309999,16.510000,16.209999,16.299999,12.176366,993700
2016-05-25,16.309999,16.799999,16.219999,16.639999,12.430348,698900
2016-05-26,16.590000,16.740000,16.360001,16.389999,12.243598,704200
2016-05-27,16.469999,16.639999,16.379999,16.570000,12.378061,373000
2016-05-31,16.680000,16.700001,16.420000,16.420000,12.266007,828800
2016-06-01,16.389999,16.680000,16.120001,16.530001,12.348181,1081800
2016-06-02,16.450001,16.719999,16.410000,16.639999,12.430348,620700
2016-06-03,16.299999,16.430000,16.219999,16.240000,12.131543,609300
2016-06-06,16.240000,16.610001,16.150000,16.389999,12.243598,874300
2016-06-07,16.379999,16.459999,16.280001,16.280001,12.161427,703800
2016-06-08,16.280001,16.410000,16.170000,16.350000,12.213718,519100
2016-06-09,16.180000,16.320000,16.000000,16.240000,12.131543,559300
2016-06-10,15.990000,16.129999,15.850000,16.100000,12.026965,774000
2016-06-13,15.940000,16.290001,15.760000,15.810000,11.810328,959300
2016-06-14,15.720000,15.850000,15.150000,15.490000,11.571282,934700
2016-06-15,16.270000,16.270000,15.430000,15.440000,11.533931,811100
2016-06-16,15.240000,15.570000,15.160000,15.530000,11.601164,636800
2016-06-17,15.400000,15.670000,15.360000,15.380000,11.489111,573700
2016-06-20,15.530000,15.870000,15.370000,15.390000,11.496581,1100900
2016-06-21,15.350000,15.470000,15.210000,15.360000,11.474171,644800
2016-06-22,15.410000,15.560000,15.200000,15.290000,11.421881,559800
2016-06-23,15.470000,15.810000,15.390000,15.690000,11.720686,949400
2016-06-24,14.970000,15.200000,14.820000,15.010000,11.212716,2208400
2016-06-27,14.750000,14.750000,14.260000,14.480000,10.816796,1016500
2016-06-28,14.710000,15.060000,14.710000,15.040000,11.235125,870300
2016-06-29,15.110000,15.260000,14.880000,15.150000,11.317294,686000
2016-06-30,15.210000,15.210000,15.000000,15.150000,11.317294,546000
2016-07-01,15.000000,15.220000,14.940000,15.010000,11.212716,252500
2016-07-05,14.890000,14.890000,14.470000,14.580000,10.891498,660900
2016-07-06,14.440000,14.830000,14.250000,14.740000,11.011020,565700
2016-07-07,14.790000,15.070000,14.710000,14.990000,11.197774,418700
2016-07-08,15.170000,15.460000,15.080000,15.450000,11.541404,408500
2016-07-11,15.450000,15.670000,15.320000,15.430000,11.526463,596200
2016-07-12,15.400000,15.710000,15.400000,15.590000,11.645985,534400
2016-07-13,15.560000,15.900000,15.470000,15.710000,11.735627,758200
2016-07-14,15.980000,15.980000,15.690000,15.750000,11.765507,393300
2016-07-15,15.740000,15.910000,15.640000,15.910000,11.885030,579900
2016-07-18,15.870000,16.150000,15.800000,16.020000,11.967201,487700
2016-07-19,16.000000,16.030001,15.820000,15.990000,11.944792,498800
2016-07-20,16.000000,16.389999,15.830000,16.250000,12.139015,419400
2016-07-21,16.150000,16.469999,16.110001,16.459999,12.295889,585000
2016-07-22,16.330000,16.650000,16.330000,16.549999,12.363116,266400
2016-07-25,16.580000,16.760000,16.469999,16.490000,12.318298,618600
2016-07-26,16.450001,16.709999,16.340000,16.700001,12.475172,362600
2016-07-27,16.709999,16.990000,16.639999,16.990000,12.691809,770900
2016-07-28,16.950001,17.110001,16.750000,17.010000,12.706751,650900
2016-07-29,17.000000,17.200001,16.930000,17.150000,12.811328,880500
2016-08-01,17.020000,17.290001,16.930000,17.150000,12.811328,866500
2016-08-02,17.070000,17.500000,16.840000,16.959999,12.669395,1326100
2016-08-03,17.290001,17.820000,17.230000,17.610001,13.154957,1306500
2016-08-04,17.889999,18.379999,17.709999,18.110001,13.528465,1577300
2016-08-05,18.129999,18.559999,18.020000,18.420000,13.760039,964300
2016-08-08,18.670000,18.700001,18.370001,18.400000,13.745101,1834000
2016-08-09,18.420000,18.870001,18.420000,18.650000,13.931857,1093400
2016-08-10,18.750000,18.780001,18.389999,18.500000,13.819802,968600
2016-08-11,18.780001,18.850000,18.590000,18.690001,13.961735,466500
2016-08-12,18.510000,18.730000,18.420000,18.690001,13.961735,505500
2016-08-15,18.379999,18.930000,18.299999,18.879999,14.103668,662000
2016-08-16,18.879999,18.940001,18.530001,18.549999,13.857151,729000
2016-08-17,18.500000,18.660000,18.330000,18.620001,13.909442,917400
2016-08-18,18.209999,18.680000,18.209999,18.639999,14.206686,867700
2016-08-19,18.580000,18.620001,18.170000,18.260000,13.917067,683800
2016-08-22,18.250000,18.440001,18.110001,18.299999,13.947553,655700
2016-08-23,18.420000,18.430000,18.219999,18.330000,13.970417,943900
2016-08-24,18.309999,18.549999,18.309999,18.440001,14.054258,449100
2016-08-25,18.360001,18.480000,18.280001,18.469999,14.077120,419000
2016-08-26,18.580000,18.650000,18.260000,18.459999,14.069499,640900
2016-08-29,18.459999,18.660000,18.400000,18.660000,14.221929,301200
2016-08-30,18.629999,18.930000,18.629999,18.719999,14.267662,443000
2016-08-31,18.809999,18.879999,18.309999,18.620001,14.191444,946100
2016-09-01,18.559999,18.760000,18.440001,18.760000,14.298147,816500
2016-09-02,18.740000,19.010000,18.740000,18.900000,14.404846,784200
2016-09-06,18.900000,18.980000,18.400000,18.510000,14.107606,783400
2016-09-07,18.530001,18.629999,18.309999,18.590000,14.168580,680100
2016-09-08,18.500000,18.870001,18.459999,18.520000,14.115230,564000
2016-09-09,18.459999,18.590000,18.090000,18.360001,13.993279,588500
2016-09-12,18.150000,18.840000,18.030001,18.660000,14.221929,514500
2016-09-13,18.510000,18.559999,18.120001,18.450001,14.061877,785100
2016-09-14,18.430000,18.490000,17.879999,18.059999,13.764634,849800
2016-09-15,18.010000,18.250000,17.940001,18.139999,13.825604,320300
2016-09-16,18.070000,18.070000,17.840000,17.959999,13.688416,424800
2016-09-19,18.030001,18.150000,17.840000,17.940001,13.673177,575200
2016-09-20,18.000000,18.080000,17.900000,17.940001,13.673177,279600
2016-09-21,17.920000,18.100000,17.770000,18.049999,13.757013,324500
2016-09-22,18.059999,18.230000,17.920000,17.969999,13.696040,266400
2016-09-23,17.860001,17.969999,17.780001,17.930000,13.665551,260500
2016-09-26,17.799999,17.820000,17.410000,17.620001,13.429285,466500
2016-09-27,17.580000,17.709999,17.400000,17.660000,13.459768,367200
2016-09-28,17.650000,17.860001,17.520000,17.830000,13.589337,356400
2016-09-29,17.830000,18.090000,17.700001,17.780001,13.551229,847000
2016-09-30,17.910000,18.139999,17.830000,17.959999,13.688416,1865500
2016-10-03,17.959999,18.360001,17.959999,18.200001,13.871337,746000
2016-10-04,18.200001,18.240000,17.959999,18.150000,13.833226,917700
2016-10-05,18.330000,18.620001,18.250000,18.510000,14.107606,669900
2016-10-06,18.570000,18.879999,18.430000,18.770000,14.305769,812300
2016-10-07,18.830000,18.900000,18.420000,18.639999,14.206686,731900
2016-10-10,18.719999,19.090000,18.650000,18.799999,14.328634,888300
2016-10-11,19.100000,19.100000,18.440001,18.639999,14.206686,679900
2016-10-12,18.770000,18.820000,18.309999,18.690001,14.244794,887600
2016-10-13,18.510000,18.559999,17.990000,18.139999,13.825604,574400
2016-10-14,18.219999,18.410000,17.719999,17.900000,13.642688,603700
2016-10-17,17.900000,18.000000,17.480000,17.490000,13.330200,520100
2016-10-18,17.639999,17.740000,17.540001,17.610001,13.421660,344000
