Date,Open,High,Low,Close,Adj Close,Volume
2016-05-02,9.450000,9.480000,9.280000,9.450000,8.075249,18427900
2016-05-03,9.300000,9.320000,9.100000,9.240000,7.895800,23707300
2016-05-04,9.090000,9.220000,8.920000,9.040000,7.724895,25300200
2016-05-05,9.090000,9.150000,8.980000,9.040000,7.724895,16834400
2016-05-06,8.950000,9.090000,8.920000,9.080000,7.759076,20046400
2016-05-09,9.060000,9.140000,8.980000,9.050000,7.733441,13770900
2016-05-10,9.100000,9.260000,9.080000,9.230000,7.887254,13378600
2016-05-11,9.180000,9.390000,9.180000,9.220000,7.878712,14905100
2016-05-12,9.270000,9.360000,9.060000,9.130000,7.801805,17652700
2016-05-13,9.130000,9.260000,8.890000,8.990000,7.682168,16600700
2016-05-16,8.940000,9.090000,8.920000,9.050000,7.733441,12127300
2016-05-17,9.010000,9.310000,8.950000,9.170000,7.835983,26396900
2016-05-18,9.150000,9.660000,9.140000,9.640000,8.237610,36225600
2016-05-19,9.520000,9.700000,9.340000,9.470000,8.092341,19345700
2016-05-20,9.520000,9.620000,9.450000,9.510000,8.126520,14869000
2016-05-23,9.490000,9.560000,9.360000,9.470000,8.092341,14037600
2016-05-24,9.530000,9.680000,9.520000,9.650000,8.246155,14450000
2016-05-25,9.730000,9.900000,9.720000,9.850000,8.417061,17412600
2016-05-26,9.850000,9.860000,9.680000,9.730000,8.314518,13385400
2016-05-27,9.800000,9.870000,9.710000,9.870000,8.434149,13114800
2016-05-31,9.900000,9.990000,9.770000,9.830000,8.399969,24980000
2016-06-01,9.670000,9.960000,9.600000,9.930000,8.485420,20315400
2016-06-02,9.880000,10.000000,9.820000,10.000000,8.545239,11752800
2016-06-03,9.710000,9.770000,9.500000,9.730000,8.314518,20465100
2016-06-06,9.820000,10.000000,9.770000,9.950000,8.502509,14497500
2016-06-07,9.950000,9.970000,9.820000,9.830000,8.399969,12400100
2016-06-08,9.760000,9.880000,9.750000,9.820000,8.447281,16659900
2016-06-09,9.710000,9.730000,9.540000,9.700000,8.344052,13663200
2016-06-10,9.530000,9.550000,9.450000,9.520000,8.189217,16682700
2016-06-13,9.460000,9.570000,9.360000,9.360000,8.051582,17829600
2016-06-14,9.310000,9.420000,9.020000,9.090000,7.819327,20246500
2016-06-15,9.150000,9.360000,9.060000,9.100000,7.827928,29858700
2016-06-16,9.010000,9.040000,8.790000,8.970000,7.716101,44564800
2016-06-17,8.970000,9.130000,8.950000,9.090000,7.819327,20699000
2016-06-20,9.310000,9.410000,9.160000,9.170000,7.888142,12534900
2016-06-21,9.200000,9.250000,9.060000,9.170000,7.888142,13159200
2016-06-22,9.190000,9.310000,9.110000,9.120000,7.845132,14676100
2016-06-23,9.260000,9.450000,9.240000,9.450000,8.129004,12912800
2016-06-24,8.890000,9.000000,8.520000,8.530000,7.337608,31847600
2016-06-27,8.370000,8.370000,7.860000,7.910000,6.804276,30320400
2016-06-28,8.140000,8.260000,8.010000,8.230000,7.079545,26919000
2016-06-29,8.250000,8.430000,8.220000,8.420000,7.242985,20291700
2016-06-30,8.490000,8.510000,8.340000,8.510000,7.320403,26525500
2016-07-01,8.440000,8.490000,8.290000,8.360000,7.191371,15101200
2016-07-05,8.240000,8.250000,7.960000,8.020000,6.898900,17939400
2016-07-06,7.950000,8.200000,7.800000,8.190000,7.045134,26737200
2016-07-07,8.180000,8.400000,8.170000,8.250000,7.096748,21554000
2016-07-08,8.390000,8.530000,8.370000,8.440000,7.260187,23632600
2016-07-11,8.540000,8.630000,8.500000,8.570000,7.372015,18732000
2016-07-12,8.680000,8.860000,8.680000,8.830000,7.595672,21033400
2016-07-13,8.800000,8.870000,8.730000,8.860000,7.621478,18219500
2016-07-14,9.060000,9.120000,9.010000,9.080000,7.810724,20403000
2016-07-15,9.130000,9.180000,9.020000,9.120000,7.845132,21362600
2016-07-18,9.120000,9.240000,9.090000,9.160000,7.879539,21831200
2016-07-19,9.000000,9.100000,8.850000,8.880000,7.638682,33691900
2016-07-20,8.930000,8.970000,8.800000,8.920000,7.673090,26129500
2016-07-21,8.950000,9.090000,8.910000,8.940000,7.690292,21061300
2016-07-22,8.940000,9.090000,8.910000,9.030000,7.767712,19156900
2016-07-25,9.010000,9.050000,8.950000,8.970000,7.716101,11725200
2016-07-26,8.980000,9.170000,8.950000,9.150000,7.870939,20471100
2016-07-27,9.180000,9.290000,9.050000,9.100000,7.827928,23562400
2016-07-28,9.060000,9.190000,9.000000,9.160000,7.879539,13576500
